,method,source,native,parents,p_value,description,intersection_size
0,DT_score_c45,GO:CC,GO:1990204,['GO:1902494'],8.456166539660326e-21,"""Any protein complex that possesses oxidoreductase activity."" [GOC:bhm, PMID:18982432]",14
1,DT_score_c45,GO:CC,GO:0030964,"['GO:0098796', 'GO:1990204']",3.614749416305746e-18,"""An integral membrane complex that possesses NADH oxidoreductase activity. The complex is one of the components of the electron transport chain. It catalyzes the transfer of a pair of electrons from NADH to a quinone."" [GOC:mah]",10
2,DT_score_c45,GO:CC,GO:0045271,"['GO:0030964', 'GO:0098803', 'GO:1902495']",3.614749416305746e-18,"""Respiratory chain complex I is an enzyme of the respiratory chain. It consists of several polypeptide chains and is L-shaped, with a horizontal arm lying in the membrane and a vertical arm that projects into the matrix. The electrons of NADH enter the chain at this complex."" [GOC:imk, GOC:jid, ISBN:0716749556]",10
3,DT_score_c45,GO:MF,GO:0008137,"['GO:0003954', 'GO:0009055', 'GO:0015078', 'GO:0015453', 'GO:0016655', 'GO:0022853']",8.350228606099245e-18,"""Catalysis of the reaction: NADH + ubiquinone + 5 H+(in) = NAD+ + ubiquinol + 4 H+(out)."" [RHEA:29091]",10
4,DT_score_c45,GO:MF,GO:0015453,['GO:0015399'],8.510437610756268e-18,"""Primary active transport of a solute across a membrane, driven by exothermic flow of electrons from a reduced substrate to an oxidized substrate. Primary active transport is catalysis of the transport of a solute across a membrane, up the solute's concentration gradient, by binding the solute and undergoing a series of conformational changes. Transport works equally well in either direction and is driven by a primary energy source."" [GOC:mtg_transport, ISBN:0815340729, TC:3.D.-.-.-]",11
5,DT_score_c45,GO:MF,GO:0003954,['GO:0016651'],1.842621347343741e-17,"""Catalysis of the reaction: NADH + H+ + acceptor = NAD+ + reduced acceptor."" [RHEA:11356]",10
6,DT_score_c45,GO:BP,GO:0006753,"['GO:0006796', 'GO:0019637', 'GO:0055086']",1.0470914156020414e-16,"""The chemical reactions and pathways involving any phosphorylated nucleoside."" [GOC:mah]",18
7,DT_score_c45,GO:CC,GO:0098803,['GO:0032991'],1.8299582803010127e-16,"""Any protein complex that is part of a respiratory chain."" [GOC:dos]",11
8,DT_score_c45,GO:BP,GO:0055086,"['GO:0006139', 'GO:0044281']",2.173691364711241e-16,"""The cellular chemical reactions and pathways involving a nucleobase-containing small molecule: a nucleobase, a nucleoside, or a nucleotide."" [GOC:vw]",18
9,DT_score_c45,GO:MF,GO:0016655,['GO:0016651'],3.8215798441475824e-16,"""Catalysis of an oxidation-reduction (redox) reaction in which NADH or NADPH acts as a hydrogen or electron donor and reduces a quinone or a similar acceptor molecule."" [GOC:ai]",10
10,DT_score_c45,GO:BP,GO:0072521,['GO:0008152'],4.3145869230203664e-16,"""The chemical reactions and pathways involving a purine-containing compound, i.e. any compound that contains purine or a formal derivative thereof."" [GOC:mah]",17
