,DT_score_c45,RandomForest_gini,LassoLars,multi_Lasso,SVM,ensemble
CMC1,0.991727487437707,0.00952543194717756,0.792282585682869,0.792282585682869,,9.05626872974398
NDUFV1,0.991727487437707,0.00828360569747326,,0.804634418069461,,5.10045412014126
SPTBN2,0.991727487437707,,0.484419711605793,0.484419711605793,,3.1477762145276
SUOX,0.991727487437707,0.00928263412287606,,,,3.107658001084
LLGL2,0.991727487437707,0.00809263774361407,,,,2.28153700496518
NDUFA8,0.960857741965108,,,0.486511472292724,,0.508815426829817
GPD1L,0.960709312922104,0.00915410987843018,0.545556761185578,0.545556761185578,,3.90099757070181
PFKP,0.951129968223876,0.00734507868925234,0.163992405149083,0.43749915374832,,-0.945598239751675
PYGL,0.951011232623126,0.00689118418901628,,,,-0.224304571805424
ACOT11,0.95049469696559,0.00851492142647022,,,,0.881720213137678
NDUFS5,0.950491289996,0.00955115198842702,0.182483788683679,0.719884443163767,,3.15370616391063
NDUFA10,0.950491289996,0.00773108416131182,,0.69438179370927,,2.05347848486767
FHIT,0.950491289996,,0.233171887944791,0.456632637393808,,-0.26908909651994
NDUFA3,0.950491289996,0.0057677239896414,,,,-1.02558302504984
MPP7,0.949713320997362,0.00693400071168192,,,,-0.247871315445671
AIF1L,0.948967968083226,0.00945180410427396,,,,1.46943836342989
PARD3B,0.948931405803299,,0.342230938093137,,,0.685221120891645
CNP,0.948613069251493,0.00840712559854692,,,,0.729628376059031
PDHA1,0.932076185955886,0.00933174095455793,,0.509899003717159,,0.785026244794142
RASSF8,0.927782499663469,0.0081660799451901,0.444673513063604,0.444673513063604,,0.381368825459488
PFKFB2,0.925031886649727,,,,,-0.848829723972345
NDUFS4,0.925018984854507,,0.58792336015374,0.58792336015374,,1.9290602547667
NDUFA12,0.925018984854507,0.00631352928126574,,,,-1.69253945288629
SIGIRR,0.924912162121941,,,,,-0.853745487646889
COX6B1,0.923946712474913,,0.203136088346203,0.621223810122314,,-0.0873161071389976
GGH,0.923468687963323,0.00817665757422584,,,,-0.462769418621976
NDUFS6,0.923400120815543,,0.227794383939002,0.534629056418531,,-0.726669274795845
P4HA1,0.922900514454492,,,,,-0.93634163325242
TJP3,0.922788833730714,0.00710018323169472,,,,-1.2379950858026
HK2,0.920194899835397,0.00658507013469019,,,,-1.70210184814097
NDUFS2,0.91749930827401,,,,,-1.15810950013454
NDUFS1,0.91749930827401,0.00582810834914261,,,,-2.33827911177306
CHP1,,0.0101116224106921,,0.403683965195375,,0.951279709874448
LAMC3,,,,,0.000494950648968863,0.74560766159537
UMOD,,,,,0.000491402226598023,0.719646000302418
SIAE,,,0.443618238254623,0.443618238254623,,0.65886095824937
ITGB6,,,,,0.00044204097494047,0.358499563209495
SLPI,,,,,0.000440072333689096,0.344096205312889
NTN4,,,,,0.00043896561615095,0.335999022151036
GPX3,,,0.299407613651392,,,0.300641690895906
ERMP1,,,,,0.000417826283246749,0.181335303049309
FGF1,,,,0.514692927984025,,0.134686537926516
LARS2,,0.00767724162493965,,,,0.103538347796869
FAM169A,,,,,0.000404684929224246,0.0851879602564376
CTNNAL1,,,,,0.00040458785974225,0.0844777615399115
ADK,,,,,0.000399362902472858,0.0462499079414113
MAP6,,,0.244297377692066,0.506093572751478,,0.0351903743409628
CRISPLD2,,,,,0.000387397267411218,-0.0412954099943041
MACROH2A2,,,,,0.000386067536110993,-0.0510242500305945
EPS8L1,,,,,0.000385471853952024,-0.0553824962688363
NR2F1,,,,,0.000380722404805403,-0.0901313444008873
FBLN5,,,,,0.000380560503470152,-0.0913158785936548
INPP4B,,,,,0.000376191185869925,-0.12328353400881
CPXM1,,,,,0.000375408137404248,-0.129012626241166
NAALADL2,,,,,0.000375134272032058,-0.131016333604497
SPON1,,,,,0.000370445664837993,-0.165320037951623
MFAP4,,,,,0.000370375054757717,-0.165836649221759
TACSTD2,,,,,0.00036785935038,-0.184242537287459
TWSG1,,,,,0.000367689832871207,-0.185482794417689
WFDC2,,,,,0.000366563502066749,-0.193723475991973
SFRP1,,,0.154490811845881,,0.000440501816496514,-0.205309436006073
GALNT3,,,,,0.000364569967571474,-0.208308962705019
MT2A,,,,,0.000363694599528296,-0.21471350147425
C1orf116,,,,,0.000362725732901201,-0.22180211285755
RAB11FIP4,,,,,0.00036232740605787,-0.22471642956219
GRB14,,,,,0.000361502393596768,-0.230752546979781
PRKAR2B,,,,,0.000357046174636155,-0.263356007112768
PLCD1,,,,0.469098356275758,,-0.266572649213126
NDUFS8,,0.00714318037972206,,,,-0.267218417161727
PAPLN,,,0.374826099724462,0.374826099724462,,-0.351560415269014
FRAS1,,,0.187917972474397,,,-0.355747361183163
ACAD10,,0.00699809191443026,,,,-0.367941939990041
NDUFA6,,,,0.440880998242405,,-0.514902082377609
KCP,,,0.135022133781311,,0.00040723289324752,-0.563338792365252
CDK18,,,0.150758220901502,,,-0.574523328644605
CLIC5,,,,0.431349099399649,,-0.598788427577075
COL4A4,,,,0.422874448920972,,-0.673370362113587
CTSA,,,,0.420875207273987,,-0.690964870584852
CGNL1,,,0.12050964361266,,,-0.752610142484493
CORO2B,,,0.156639638602504,0.471548492972961,,-0.784906807269724
NPNT,,,,0.428834594122214,0.000366482827435304,-0.815231284125401
GIT2,,,0.109687962603314,,,-0.816322186622748
GLA,,,0.107003092165797,,,-0.832129211767254
PIP4K2C,,0.00627890802605033,,,,-0.867214812256685
CCND1,,,0.100747968088201,,,-0.86895590634251
CHL1,,0.00625660297498626,,,,-0.882699456852795
CASR,,0.00623694429888929,,,,-0.896346931217113
RAB25,,,0.126775367893762,,0.000367463726619039,-0.902858116974105
PHYHD1,,,0.0943055852728801,,,-0.906885076305177
RP2,,,0.0941786141157868,,,-0.90763261191984
LAD1,,,0.169489191799339,0.4224358678026,,-1.14147591611224
TINAG,,0.00603582236170381,,0.484946483157729,,-1.16306985444059
ENO2,,0.00584276244636192,,,,-1.1699964232129
PSMB9,,,0.205041867636679,0.393386316555214,,-1.1878147429758
PALM3,,,0.178076344030542,0.393675981377417,,-1.34402353944695
NDUFS7,,0.00608690040431181,,0.453243549383462,,-1.40661494271821
F9,,,0.173501201139018,0.384221449048286,,-1.45416491250932
NDUFA4,,0.00579721174675711,0.113006812125362,,,-1.99840134026961
