,precision,recall,f1-score,support
LAYING,1.0,1.0,1.0,179.0
LIE_TO_SIT,0.42857142857142855,0.2727272727272727,0.3333333333333333,11.0
LIE_TO_STAND,0.4375,0.5833333333333334,0.5,12.0
SITTING,0.9006211180124224,0.9602649006622517,0.9294871794871795,151.0
SIT_TO_LIE,0.75,0.9,0.8181818181818182,10.0
SIT_TO_STAND,1.0,0.6666666666666666,0.8,6.0
STANDING,0.9590643274853801,0.8961748633879781,0.9265536723163842,183.0
STAND_TO_LIE,0.5555555555555556,0.7894736842105263,0.6521739130434783,19.0
STAND_TO_SIT,0.6666666666666666,0.26666666666666666,0.38095238095238093,15.0
WALKING,0.9532163742690059,0.9476744186046512,0.9504373177842566,172.0
WALKING_DOWNSTAIRS,0.9389312977099237,0.9609375,0.9498069498069498,128.0
WALKING_UPSTAIRS,0.9433962264150944,0.9493670886075949,0.9463722397476341,158.0
   , , , , 
macro avg,0.7944602495571232,0.7661071995722452,0.7656082337211179,1044.0
weighted avg,0.9269304868527449,0.9252873563218391,0.9236046773576311,1044.0
accuracy, , ,0.9252873563218391,1044.0
