,DT_score_id3,DT_score_c45,RandomForest_gini,RandomForest_entropy,LassoLinear,multi_Lasso,SVM,multi_svm,Volcano Plot_p,Volcano Plot_fold
0,S100A6,MVP,P4HA1,MICAL2,ALB,AMY2A,HMGCS2,TFF3,PNLIPRP2,PRSS3
1,COL8A1,PLOD3,PLEC,LGALS3BP,CPB1,DEFA3,NEFH,FRMPD1,SPCS1,CEL
2,IL4I1,S100A6,MMP14,ADAMTS12,DEFA3,DES,LILRB1,PGC,CUZD1,AQP8
3,INHBA,FLNB,CYB5A,CNN2,DES,HBB,S100A14,GSTA1,FXYD2,CPA2
4,FGL1,IL4I1,ARPC1B,PLEC,FABP1,PRSS1,ARMC5,SPINK4,FOXL2,AMY2B
5,SERPINH1,INHBA,FHL2,ARPC1B,FN1,CPB1,MUC13,ERAP2,PRSS3,PNLIP
6,FLNB,SERPINH1,ALDH1A1,P4HA1,GATM,GSTA2,SCEL,PPY,HOGA1,PRSS1
7,FN1,PPL,LGALS3BP,PLOD3,GSTA2,HBA2,ALDOB,CLCA1,MAT1A,SYCN
8,LAMA3,FN1,PLOD3,FHL2,HBA2,PNLIP,H1-1,CEACAM5,GNMT,CPA1
9,PPL,LAMA3,COL12A1,OSBPL3,HBB,S100A6,ERAP2,REG4,CBS,PLA2G1B
10,PLOD2,PLOD2,LAMC2,MXRA5,KRT19,ACTB,CLCA1,CDH17,PTF1A,KLK1
11,P4HA1,LAMB3,MXRA5,STAT2,MYH9,CPA1,WASH6P,S100A14,ACADL,AMY2A
12,LAMB3,P4HA1,OSBPL3,HK2,P4HB,FN1,PPY,MUC13,CTRL,AQP12B
13,LAMC2,ANTXR1,STAT2,LAMC2,POSTN,MYH11,CEACAM5,ALDOB,CEL,PRSS2
14,ANTXR1,LAMC2,SAMD9,SAMD9,PRSS1,P4HB,REG4,WASH6P,DHRS2,SERPINI2
15,COL12A1,COL12A1,HK2,MYO1E,PRSS2,CELA2A,TFF3,H1-1,CLPS,PNLIPRP1
16,TNFAIP6,TNFAIP6,PGM2L1,PGM2L1,REG1A,CLPS,FRMPD1,ARMC5,CELA3A,PAIP2B
17,AEBP1,AEBP1,MYO1E,COL12A1,S100A6,GATM,PGC,SDR16C5,MTUS2,SLC43A1
18,LGALS3BP,LGALS3BP,THBS2,THBS2,SST,POSTN,GSTA1,PRG2,IMPA2,GSTA2
19,LOXL2,LOXL2,SULF1,SULF1,VCAN,S100A11,SPINK4,SCEL,CELA3B,S100P
