,DT_score_c45,RandomForest_gini,AdaBoost64,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
CMC1,0.6146624956701046,0.008912173964414422,,0.47000000000000003,0.06456494426297306,,,
PYGL,0.614208810338326,0.0077612185911963205,,,,,,
NDUFA10,0.6109758608963491,0.005905195999072537,,,0.06934688829296642,,,
HAPLN1,0.6085804106135038,,,,,,,
NDUFA6,0.6084166259902264,0.004237738766851804,,,0.009988201949445724,,,
TRADD,0.6062879520092427,0.008300609130258194,,,,,,
MTARC2,0.6057686767134646,,,,,,,
EGFR,0.6051607198076264,0.005199529070664248,,,,,,
METTL26,0.6048874832003871,,,,,,,
NCEH1,0.604252172680595,,,,,,,
GBP5,0.6039858194489675,,,,,,,
NDUFS3,0.6038779497302671,0.0035964810655526526,,,0.08233483233833558,,,
NT5DC3,0.6036332920732014,,,,,,,
SLC22A8,0.6035976651969133,,,,,,,
PGK2,0.6035630025967433,,,,,,,
MGAM,0.6029636410504764,,,,,,,
PRDX4,0.6029030984350628,0.010408568155742936,1.0,,,,,
NDUFB9,0.6024256655224214,,,,0.001743621540014363,,,
TAPBP,0.6023936576676745,,,,,,,
PPIP5K2,0.6023521028263914,,,,,,,
ADPRS,0.6021641159388491,,,,,,,
FLT1,0.6020242447430904,,,,,,,
PLOD2,0.6019957441269812,,,,,,,
NNMT,0.6016745993096703,,,,,,,
P4HA2,0.6016379189502803,,,,,,,
YWHAG,0.6014929438300285,,,,,,,
ACLY,0.6012177033354755,0.005611901870475783,,,,,,
PHKB,0.6010355349397923,,,,,,,
SPATA18,0.6009386964155067,,,,,,,
HSD3B7,0.6006056698783551,,,,,,,
TMEM87A,0.6002245673544517,,,,,,,
CALCRL,0.6001622824539969,,,,,,,
NDUFB11,0.5999223334942422,,,,,,,
SEMA5B,0.5995873663200932,,,,,,,
NDUFA8,0.5995844543191243,0.005713537884813087,,,0.004605644603249993,,,
CD70,0.5995540084160494,,,,,,,
MICAL3,0.5994454028293007,,,,,,,
PPAT,0.5993941242541705,,,,,,,
SCGN,0.5993749657761872,,,,,,,
GBP1,0.5991438895586093,,,,,,,
HPD,0.599035198207799,,,,,,,
LPGAT1,0.5988852353603252,,,,,,,
TJP3,0.5988201915336218,0.008543240345729513,,0.25,0.005037806275778611,0.0003450016894470072,1.0,100.0
P4HB,0.5988187737102845,0.00484164080502411,,,,,,
LOX,0.5987076724999456,,,,,,,
ADD2,0.5986317443659754,,,,,,,
ERO1A,0.5985145847172816,0.006993471596628887,,,,,,
SLC2A1,0.5984042728467568,,,,,,,
HK2,0.5983945818440445,0.006212404793144402,,,,,,
GRAMD4,0.5983129952008169,,,,,,,
LGALS3,0.5982036847178142,,,0.02,,,,
LPCAT1,0.5979151293527845,,,,,,,
MYDGF,0.5977320190091681,,,,,,,
PLIN2,0.5975905521753373,,,,,,,
TBC1D9B,0.5975307074575456,,,,,,,
DPEP1,0.5975299707755184,,,,,,,
APOL2,0.5974269695100772,,,,,,,
GEMIN5,0.5972288272073462,,,,,,,
DIAPH2,0.5971982666478063,0.0034711524609696023,,,,,,
DIAPH1,0.597195632637409,,,,,,,
HLA-F,0.5969643610934742,,,,,,,
PFKP,0.596900095815595,0.007042802232094352,,,,,,
RIOK2,0.5968054805023283,,,,,,,
NDUFB4,0.596671086270484,,,,,,,
DCTPP1,0.5964084960589262,,,,,,,
VEGFA,0.596261563837418,,,,,,,
HLA-DRA,0.5960900272413749,,,,,,,
MGAT1,0.5960750830373396,,,,,,,
CD93,0.5960003681075616,,,,,,,
