,DT_score_c45,RandomForest_gini,AdaBoost64,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
0,CMC1,PRDX4,PRDX4,CMC1,NDUFS3,UMOD,TJP3,TSPAN6
1,PYGL,DPP9,,SPTBN2,NDUFA10,ITGB6,,TJP3
2,NDUFA10,CMC1,,PARD3B,CMC1,LAMC3,,DPM1
3,HAPLN1,TJP3,,QARS1,NDUFS1,INPP4B,,SCYL3
4,NDUFA6,TRADD,,PAPLN,COX6B1,CIP2A,,CFH
5,TRADD,PYGL,,SIAE,NDUFS2,TLE1,,FUCA2
6,MTARC2,SPTBN2,,TJP3,NDUFV1,MARF1,,LAS1L
7,EGFR,PSMB8,,GPD1L,NDUFS7,CPXM1,,MSLN
8,METTL26,PLOD3,,RAB25,PDHB,SFRP1,,
9,NCEH1,CNP,,MAP4K3,NDUFS4,WFDC2,,
10,GBP5,P4HA1,,SFRP1,SPTBN2,NTN4,,
11,NDUFS3,AIF1L,,PSMB9,NDUFS5,NR2F1,,
12,NT5DC3,PARD3B,,LAD1,PAPLN,ADCK5,,
13,SLC22A8,DOCK4,,NTN4,PTGR3,SMARCC1,,
14,PGK2,PSMB9,,FGF1,NDUFA12,SLPI,,
15,MGAM,PFKP,,COL4A4,PCCB,TENT2,,
16,PRDX4,ERO1A,,FRAS1,SUCLA2,SVEP1,,
17,NDUFB9,GPD1L,,PKN1,PDHA1,ZCCHC24,,
18,TAPBP,NDUFA3,,IP6K1,NDUFA4,MFAP4,,
19,PPIP5K2,EPB41L5,,PSMD10,FHIT,RBM6,,
20,ADPRS,TPD52L2,,PRKAR2B,ACOT11,ITIH3,,
21,FLT1,ANXA4,,ACSL4,LLGL2,MASP2,,
22,PLOD2,MPP7,,GAK,CBR4,CRISPLD2,,
23,NNMT,PFKFB2,,MAGI2,GPD1L,MT2A,,
24,P4HA2,IPO9,,SMARCC1,PCCA,KCP,,
25,YWHAG,NDUFA4,,KCP,AUH,TNRC6A,,
26,ACLY,PDHA1,,CTSH,SUCLG2,LMO4,,
27,PHKB,HK2,,TUBB6,NDUFV2,PTEN,,
28,SPATA18,NDUFS4,,MAP6,CHP1,EYA3,,
29,HSD3B7,GIT2,,MARS1,MRPS6,ARID1B,,
30,TMEM87A,NUDT9,,CGNL1,PARD3B,ADK,,
31,CALCRL,NDUFA10,,UMOD,MRPS18B,TTC9,,
32,NDUFB11,NDUFS5,,SOS1,NDUFB10,RAB11FIP4,,
33,SEMA5B,NDUFA8,,DOCK4,PIP4K2C,MARS1,,
34,NDUFA8,PSMD10,,YWHAH,SDHB,IGLV2-11,,
35,CD70,COX6B1,,TRAPPC6B,SIAE,LYPLA2,,
36,MICAL3,NDUFA4L2,,PCMTD1,MRPS22,MACROH2A2,,
37,PPAT,GGH,,KATNAL1,LARS2,LUC7L,,
38,SCGN,ACLY,,CAMSAP1,NDUFA5,SLC20A2,,
39,GBP1,SLC16A3,,EHBP1L1,RASSF8,NPNT,,
40,HPD,KIF13B,,DDX56,PLCD1,PJA1,,
41,LPGAT1,NCOR2,,GULP1,NDUFS6,MUC1,,
42,TJP3,LARS2,,ABI3,NDUFA6,LAMA2,,
43,P4HB,EGFR,,RP2,GPX3,FBLN5,,
44,LOX,LLGL2,,TBK1,SUOX,ERMP1,,
45,ADD2,TNIP1,,RASSF8,NUDT9,DACH1,,
46,ERO1A,LDHA,,LGALS3,PALM3,DCDC2,,
47,SLC2A1,COLGALT1,,RAD23A,MRPL19,CTNNAL1,,
48,HK2,NDUFV1,,PDLIM1,MRPS31,RALGAPA2,,
49,GRAMD4,SIAE,,LAMC3,NDUFA2,GMDS,,
50,LGALS3,SIGIRR,,MECOM,DLD,VWA5A,,
51,LPCAT1,PDK1,,PAPPA2,ACAD8,APIP,,
52,MYDGF,P4HB,,ADH1A,PSMB9,SHROOM2,,
53,PLIN2,NDUFS1,,NIFK,NDUFS8,DCAF1,,
54,TBC1D9B,QARS1,,ANXA7,KIF13B,REN,,
55,DPEP1,PLEKHA2,,NDRG1,DBT,MEGF8,,
56,APOL2,NDUFA12,,ACOT11,TJP3,MAGI2,,
57,GEMIN5,NDUFS6,,SMPD1,NDUFA8,EPS8L1,,
58,DIAPH2,PLCL1,,PDXP,MRPS28,ACSL4,,
59,DIAPH1,PSMB10,,DACH1,MISP3,PTN,,
60,HLA-F,IKBIP,,CORO2B,MPP7,TOP2B,,
61,PFKP,ACP3,,NOL10,MRPS2,PCMTD1,,
62,RIOK2,NUDCD3,,LACC1,NDUFC2,CAMK4,,
63,NDUFB4,NOL3,,MCAM,MRPS35,PDXP,,
64,DCTPP1,NDUFS7,,RRN3,SMPD1,PRG3,,
65,VEGFA,NDUFA6,,NFAT5,COX5A,OLFM4,,
66,HLA-DRA,CDK18,,MACROH2A2,MRPL53,SORT1,,
67,MGAT1,NMNAT1,,TRAF2,PLEKHA6,NPM3,,
68,CD93,PAPLN,,PECAM1,TINAG,UBL5,,
69,PRKAR2B,EBNA1BP2,,SHROOM1,WDR48,ATXN7,,
70,HSPA13,ICAM1,,SAT2,BDH2,PAGR1,,
71,ANKRD13A,SUOX,,DEFB1,CHCHD4,HGF,,
72,DOCK4,MAP6,,AP4S1,NDUFA9,ACTR8,,
73,ITGAX,BCR,,GFRA1,NDUFA3,TJP3,,
74,LRRK2,L1CAM,,FMR1,MRPS23,QARS1,,
75,CA9,NDRG1,,DNAJC28,COX7A2L,NUDT18,,
76,KIF2A,PKM,,SYNE2,DHX30,SBSPON,,
77,ANGPT2,NDUFS3,,TMEM109,NDUFB9,COL4A1,,
78,TAP1,WDR48,,ITIH3,MRPS26,ZMIZ1,,
79,XPOT,EHBP1L1,,PDAP1,TBC1D13,TACSTD2,,
80,GAPDH,NAPSA,,REG1A,PLCL1,YY1,,
81,RCN1,ITGA5,,CPNE2,MAP6,GFRA1,,
82,SLC9A9,DIAPH2,,POLR2M,GGH,PTBP3,,
83,PLEKHA2,RIC8A,,FXYD4,GLB1,PROM1,,
84,FAM114A2,IFI35,,ITPR3,PHYHD1,PTK7,,
85,TNFAIP6,RASSF8,,PPP1R11,GLOD5,UCHL1,,
86,ALDOC,COA5,,SDSL,ADD3,CABIN1,,
87,C19orf33,NDUFS8,,PAPPA,MAP4K3,UBOX5,,
88,AAR2,RECQL,,GALNT3,MRPS25,GRB7,,
89,OAS3,AP1M2,,BUD23,UQCRB,MMP7,,
90,CYP4A11,PTPN23,,ADK,PKN1,USP4,,
91,TXNDC12,LMO7,,SH3GLB1,UQCRC1,MTARC1,,
92,UMOD,GPX3,,TGS1,COA5,MT1E,,
93,TBC1D2,EPB41L1,,INPP4B,FGF1,VWF,,
94,IFI35,TYMP,,LMAN2,QARS1,CMTM6,,
95,ERGIC1,TSR1,,ITGB6,PTPN23,GTF2F1,,
96,MIF,NDUFA2,,ITGA4,COX5B,STXBP4,,
97,ENO1,RAB25,,TMOD3,CGNL1,LASP1,,
98,PPP1R13L,TINAG,,FUT11,EPB41L5,ELP6,,
99,MVP,FHIT,,MT2A,PPM1K,DEFB1,,
