,Volcano Plot_p
NDUFA4L2,3.1992091167492496
NNMT,2.5452625644648443
FTL,2.4202155436966004
FABP7,2.3890927645918456
PLIN2,2.3284060910126536
SCGN,2.21822342162258
SEMA5B,2.1524579393719367
FABP6,2.130683674747035
FCER1G,2.101643819551051
PLOD2,2.0793104496914085
HBE1,2.0676887714408734
HAPLN1,2.0657736069436075
RAB42,2.045393622802563
CA9,2.02057611233466
CD70,2.007811070974083
ENO2,1.9848373957409875
THBS2,1.9291872254263174
AHNAK2,1.9092303062698124
SLC16A3,1.902582954590141
SLC2A1,1.8758397130332154
PFKP,1.858186258795977
HK2,1.854611902203338
FTH1,1.8447713196638547
TYROBP,1.8323849714950378
COL23A1,1.831301972878592
IL32,1.7937794562058347
NT5DC3,1.7696803664231708
PYGL,1.7434316970394959
POSTN,1.6714943055549187
SCARB1,1.6705920009391435
LOXL2,1.6678561923930844
NOL3,1.655735560820307
CYP2J2,1.652520585353346
ANGPTL4,1.6432948624553458
ITGAX,1.6241780020698346
SLC4A1,1.615274822287461
PNMA2,1.6119427079044124
HAVCR1,1.578703992416825
SPTA1,1.5685598782122812
GBP5,1.5674784524808993
LOX,1.5442054458023877
LPCAT1,1.536994874844048
FCGR3A,1.5345230484689296
H1-5,1.5332396241830422
SDS,1.5326381551314805
CTHRC1,1.527267649162014
SERPINE1,1.5245289818485876
P4HA1,1.5230244337529801
CAV1,1.5148287927569537
IKBIP,1.511075009521766
P4HA2,1.4980858575649063
NEFL,1.487090066474193
TMSB10,1.4723761192638483
TGM2,1.461785290769909
ANXA4,1.4566113094593223
ANGPT2,1.4536704153815623
CYBB,1.4462356172107709
ALOX5,1.4417912341728876
SPTB,1.4391763742833035
SPATA18,1.4295670799064624
TYMP,1.4255027525001143
GBP2,1.411671672364502
ENPP3,1.4064676267306335
ANK1,1.3920771899613442
IDO1,1.386918367565264
VEGFA,1.3768760477637008
LDHA,1.3719423538719893
GYPA,1.3590411579346866
PARVG,1.354756551783133
EPB42,1.3491267346163027
SCD,1.347997325736902
DCLK1,1.344818615695406
C4orf3,1.3425880229147964
GPX8,1.3424823403081434
APBB1IP,1.3390688768320396
HBD,1.337417089086989
MT3,1.3366834017677236
EMILIN2,1.333400839629861
C19orf33,1.3315859998625257
ABCG1,1.326386000778487
COL3A1,1.3234183700302091
PDK1,1.3193743184485962
ITGB2,1.3159232282213187
GYS1,1.3158302693310995
GBP1,1.3124326748399286
ESM1,1.3121638367759065
HBG2,1.3038419014078282
TAP1,1.3024292107836666
COL5A3,1.292778087438117
ERO1A,1.2902109380112436
PLOD3,1.284772270194072
FKBP10,1.27945403202123
VCAM1,1.2759564853495609
NUPR1,1.275932497873701
MCAM,1.2661277222559768
SIRPA,1.2615862666143873
PTPRC,1.2553248653681308
COL21A1,1.2509658294352828
CCND1,1.2458012826056064
PSMB10,1.2403765226876575
LCP2,1.2401334125825751
ICAM1,1.239347261962929
ALDOC,1.2389955364156724
EPX,1.23748093669912
FYB1,1.2363405834328187
DDB2,1.234049753801843
ITGAL,1.2322954662124117
P2RX7,1.2289005898861567
SFN,1.2287740085089531
VCAN,1.225224914319517
S100A9,1.2223291960756326
APOBR,1.2203563600584215
TNFAIP6,1.2143475144791536
PKM,1.2090617893292612
CSPG4,1.2079807932333553
CAV2,1.200506535357243
PYCARD,1.197148115492519
PTGS1,1.1966484671123183
NDRG1,1.194365497901498
CSTA,1.1901744215890215
COL8A1,1.1891973444125683
GIMAP2,1.1883797552505753
ADSS1,1.1796055763616091
AHSP,1.1749890704145827
NCKAP1L,1.1717011033954676
CDH13,1.1659444919061401
HPCAL1,1.163979252344552
LRRC25,1.1639723262141597
ACLY,1.1636168729318601
ARHGAP30,1.163043773638445
VWF,1.162484521434567
MMP14,1.1616930701995323
LOXL3,1.1613966974635392
HLA-DQB1,1.154336536088134
MFSD13A,1.1509386162646378
COLGALT1,1.1490502343847468
SKAP2,1.1488423204721439
GBP4,1.1452501523634713
ADD2,1.145213029226556
HLA-DQA1,1.1435420340632712
GINS1,1.1424841873299623
LSP1,1.1385863636439773
APOBEC3C,1.1367004387167605
BPGM,1.1366051785886733
MSR1,1.1366045138521226
BTN3A2,1.1344042349166241
HCK,1.132786816506292
S100A8,1.1326667516908222
TAPBP,1.1326245030564368
LGALS9,1.1301213965196701
LDAF1,1.1266069216473498
IGFBP3,1.1229440107139783
MYO1F,1.1214126690445765
FLT1,1.1207912234746482
ERAP2,1.1201882300104182
HAVCR2,1.1186121198931318
TAP2,1.1179998529593198
ENPP2,1.1173045047754575
ANXA1,1.1158365635038585
CD36,1.1156667547463137
HBZ,1.1118659907649122
LAMA4,1.1116553272078746
ABCC3,1.1112524363142104
RPL37,1.1101183652756594
RHAG,1.1096029436433483
MCM6,1.1093997889987628
HLA-B,1.1081876344359585
OAS2,1.1054904902641882
LAIR1,1.1036408565917286
SURF6,1.0991070845265218
HLA-F,1.0975020646447617
ADA2,1.097290594241535
PHLDA3,1.0952969544683933
NCEH1,1.0945271724293435
TLR3,1.0944965931812924
PSMB9,1.0934138034748446
LGALS4,1.0903771762793635
NAIP,1.0887598617386336
VKORC1,1.0885436051374917
PPP1R3G,1.0882272258660681
GYPC,1.0783366697989987
MCM4,1.0776995859627865
APOL2,1.0750692338064698
THEMIS2,1.074352860475234
ISG20,1.073456819050378
CORO1A,1.0730908179178957
APOBEC3G,1.071642884297558
TBXAS1,1.0700338543210766
