,DT_score_c45,RandomForest_gini,AdaBoost64,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
GCG,0.8088964677677789,,,0.02,,0.0006926667009658705,,
XPO5,0.8073909263992625,0.0077299609774259224,,,1.2178653615937218e-05,,,
UTP4,0.8072429692930569,0.01236151476368721,,,0.005060775945011592,,1.0,8.0
NOC3L,0.8056757928750657,0.005131953050453103,,,0.00041023586902799784,,,
NOC2L,0.8041764712143803,0.010695931295863468,,,0.006127748780377845,,,9.0
PNO1,0.803806805715349,0.005312987618472342,,,,,,
EBNA1BP2,0.8030364548857566,0.009385858959157072,,,0.004926937974030915,,,5.0
DDX27,0.8029564879762404,0.0035737497899014205,,,,,,
PES1,0.8027075637596377,0.008430215432912853,,,0.012033595963236512,,,2.0
WDR3,0.8026933968189767,0.005033285780239546,,,0.003710326595475998,,,
SHMT2,0.8018371079358704,,,,,,,
SYN1,0.8016521389144484,,,,,,,
SYNCRIP,0.8016161336543297,0.0050793228296707755,,,0.004922164036468569,,,
TOMM34,0.8013298401680539,,,,,,,
RRP9,0.8004417327302116,0.00402525871588212,,,,,,
TOP2A,0.8002825857469558,,,,,,,
CLCA4,0.7995935613720321,,,0.04,,0.00044046617749402337,,
STAU1,0.7990197424341031,,,,,,,
SYN2,0.7988594411363594,,,,,,,
PYCR1,0.7984416095049706,,,,,,,
RBM12,0.7982977316893359,0.003107545153685217,,,,,,
BAZ1B,0.7975838504494098,0.0034179784599299547,,,,,,
SSB,0.7975420053010388,,,,,,,
FERMT1,0.7974867185324086,,,0.01,,,,
CDK5,0.7973347710621929,,,,,,,
MPHOSPH10,0.7972052543983763,0.004616554632357442,,,0.00192565736640237,,,
TUBB4A,0.7970729186843569,0.0070145328660871096,,,,,,
RFC4,0.7969443364525611,,,,,,,
HSPH1,0.7969042042281376,,,,,,,
TOP1,0.7963382447430499,,,,,,,
PHF6,0.7960090347155452,,,0.03,,,,
LIG3,0.795729738460595,,,,,,,
RBM17,0.7955832070804499,,,,,,,
MRTO4,0.7953223283622912,,,,,,,
RUVBL1,0.7953034054409251,,,,,,,
NUP93,0.7950272177665376,0.011682015113470157,,0.22,0.0008051241349751231,,,9.0
WDR18,0.7948647590423165,,,,,,,
DDX21,0.7948473739128806,0.007710352187440788,,,0.00048490894998346807,,,
GTF2I,0.7947492927309536,,,,,,,
NOP58,0.7944610881059412,0.0034085293538209335,,,,,,
TPR,0.7944009754004616,0.004413128263681647,,,0.0009815361996014884,,,
ADNP,0.7942869554631596,0.0036280893794453854,,,,,,
RBM26,0.794239718343789,,,,,,,
NOL7,0.7941913541181377,,,,,,,
RRP15,0.7941598079330607,0.005797598673131953,,,,,,
DHX30,0.793990875303088,,,,,,,
MYBBP1A,0.7937329411826859,0.0038738694778956482,,,,,,
FUS,0.7935132237899658,,,,,,,
WDR36,0.7933246801427697,0.007556599013733973,,,0.00398581118520378,,,
PRPF6,0.7932853505981874,0.0036562649246339473,,,0.0028924361499367774,,,
RRS1,0.7932409100737998,0.00924049612621106,,,,,,
GUCA2A,0.7932381252603041,,,0.05,,0.0004168617781048645,,
NPTN,0.7930888754064348,,,,,,,
NOP56,0.7929224756179685,0.004033226751904654,,,,,,
PUS1,0.792825328381617,,,,,,,
GLIPR2,0.7928227637222276,0.004236941950873435,,0.01,,,,
TP53INP2,0.7927110090892447,,,,,,,
PLS3,0.7926264661746043,,,,,,,
APP,0.7924589168476222,,,,,,,
POFUT1,0.7924227338923157,,,,,,,
HNRNPF,0.7923635001117283,,,,,,,
DARS1,0.7923533145545038,,,,,,,
UTP15,0.792250930297803,0.008140418076897608,,,0.0018279928570423315,,,
ZSWIM8,0.7921135771958928,,,,,,,
BOP1,0.7920546034996472,0.006232781046571823,,,0.006689832579962915,,,
CAPRIN1,0.7919944256746512,0.003626289608971053,,,0.008938230337817099,,,
SNU13,0.7917591471258002,,,,,,,
P4HA1,0.7917032481910891,,,,,,,
PUM3,0.791694618065463,,,,,,,
FKBP9,0.7916529812504239,,,,,,,
NUP107,0.7915525711510462,,,,,,,
THOC3,0.7915126722911882,,,,,,,
NIBAN1,0.7913782376373987,,,,,,,
ZFR,0.791373556177065,,,,,,,
DHRS11,0.7913367197333306,,,0.02,,0.0004158190414575717,,
ATP1A2,0.791189640660971,,,,,,,
SRPX,0.7910474784536694,,,,,,,
DEK,0.7909630535527489,,,,,,,
MCM3,0.7909229326477657,,,,,,,
CTNNBL1,0.7908717628881354,,,,,,,
GPRC5A,0.7908623517435537,,,0.02,,0.0005859263951110389,,
AGL,0.7907891663747978,0.0033057624218560257,,0.06,0.0037868593806220582,,,
UBA2,0.7907346008747275,,,,,,,
ANK2,0.790502257667712,0.007842194653673501,,,0.04042226862631167,,,
SMARCC1,0.7904646166085483,,,,,,,
MXRA5,0.7904582129352906,,,,,,,
LYAR,0.7903242400788271,,,,,,,
NSUN2,0.7900594458629687,,,,,,,
COL21A1,0.7900475657048897,,,,,,,
SMPX,0.7899916608930113,,,,,,,
RALY,0.7899278654116396,,,,,,,
SEPTIN9,0.7898976606360217,,,,,,,
NUP205,0.7898722281416535,0.005646165051944054,,,0.0071189381603752365,,,
BCAS2,0.7898696653347584,,,,,,,
TMCO1,0.789800474779275,,,,,,,
CDC73,0.7897237753348451,,,,,,,
CAD,0.7896620763155074,,,,,,,
DPT,0.7896263495134127,0.0032555165432080254,,,,,,
ANK3,0.7895285065949987,,,,,,,
GSTM2,0.7894596816683881,0.00825431801441915,,,0.004402952089908711,,,
NCAM1,,0.013052840207038669,1.0,,0.04998260142297169,,,15.0
