,DT_score_c45,RandomForest_gini,AdaBoost64,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
0,GCG,NCAM1,NCAM1,LPAR1,LPAR1,GCG,UTP4,SLC17A5
1,XPO5,SCG2,,SCGN,EPB41L3,MICALL2,,SCG2
2,UTP4,UTP4,,TMT1A,NCAM1,MMP7,,NCAM1
3,NOC3L,RBM28,,SCG2,ANK2,B3GNT7,,COL1A1
4,NOC2L,GAP43,,EPB41L3,SCGN,GPRC5A,,RBM28
5,PNO1,SCGN,,PRKAR2B,CADM3,ABCA8,,NDUFB11
6,EBNA1BP2,NUP93,,PACSIN2,L1CAM,PGM2L1,,NUP93
7,DDX27,LPAR1,,NUP93,GTPBP4,PCK1,,NOC2L
8,PES1,PDCD11,,PLCD1,ABCA8,EEA1,,UTP4
9,WDR3,NOC2L,,GTPBP4,TMT1A,FHL2,,CDK9
10,SHMT2,EPB41L3,,GOT1,VAT1L,CD48,,PIP4K2A
11,SYN1,CADM3,,NUP98,PRPF8,IGFBP7,,CD163L1
12,SYNCRIP,PRKAR2B,,GNG7,PLCD1,OAS2,,TOMM22
13,TOMM34,GTPBP4,,NDRG2,DCN,CHGA,,MAP4K1
14,RRP9,RRP12,,LILRB5,TMOD2,GNG7,,PHLDB2
15,TOP2A,GNL3,,PLOD2,RSL1D1,GREM1,,EBNA1BP2
16,CLCA4,NOP2,,CD163L1,RANBP2,SCGN,,SMDT1
17,STAU1,EBNA1BP2,,CRYAB,GAP43,CSRP2,,TMX3
18,SYN2,RRS1,,SERPINA1,CHL1,CD163L1,,CD44
19,PYCR1,L1CAM,,DRG1,NUP98,CHCHD10,,HSPA14
20,RBM12,PES1,,SRSF3,PES1,LPAR1,,LYN
21,BAZ1B,GSTM2,,UGT2A3,RRP12,GAMT,,WWC3
22,SSB,DDX18,,ABI3BP,NOP2,UGDH,,LYPLA2
23,FERMT1,UTP15,,SNRPA1,CAPRIN1,TPM4,,SRPRB
24,CDK5,RSL1D1,,C7orf50,SF3B1,GALNT6,,SCYL3
25,MPHOSPH10,ANK2,,FHL2,AHNAK,HAPLN1,,GTPBP4
26,TUBB4A,XPO5,,AGL,GNL3,SST,,CPA3
27,RFC4,DDX21,,HSPB6,DRG1,NNMT,,LARP4
28,HSPH1,ABCA8,,THRAP3,SNRNP70,MOXD1,,TFIP11
29,TOP1,WDR36,,PCK1,ADD3,ZNF185,,PGGT1B
30,PHF6,NIFK,,ATP5F1B,RRP1,UGT2A3,,CAMP
31,LIG3,VAT1L,,GUCA2A,NUP205,C7orf50,,ATG12
32,RBM17,OGN,,HECTD3,ARRB1,CPM,,HIGD1A
33,MRTO4,WDR43,,SNCA,BOP1,IDH3A,,RRP12
34,RUVBL1,TUBB4A,,CHGA,NAT10,MB21D2,,GNL3
35,NUP93,RPL7L1,,ARPC1A,RPL7L1,YRDC,,GIMAP4
36,WDR18,RRP1,,CHP2,UCHL1,TIGAR,,MAOB
37,DDX21,SMARCA5,,IGFBP7,NOC2L,ACSS2,,LPAR1
38,GTF2I,NAT10,,CA4,NEGR1,ADD1,,MFSD6
39,NOP58,DCN,,ABCA8,PDCD11,CNNM4,,SDHB
40,TPR,NEGR1,,INPP4A,WDR43,CES2,,IMPDH1
41,ADNP,BOP1,,AMPD2,UTP4,NDRG2,,SLC38A1
42,RBM26,RRP15,,TIMP1,EBNA1BP2,CALCOCO2,,QRSL1
43,NOL7,MATN2,,PFN2,SYNCRIP,NPC1,,TNXB
44,RRP15,CHL1,,CD48,ILF3,ATP5PO,,PLEKHF2
45,DHX30,NUP205,,UGP2,PRKAR2B,RGS10,,SPATS2L
46,MYBBP1A,PACSIN2,,CLCA4,GSTM2,MLH1,,UBFD1
47,FUS,SNRNP70,,GAMT,MATN2,APBB2,,EEF2K
48,WDR36,PNO1,,GNA11,SCN7A,MNAT1,,ATP2A2
49,PRPF6,TMT1A,,TBC1D17,SNRNP200,LILRB5,,CFHR2
50,RRS1,ABI3BP,,TAGLN2,WDR36,PACSIN2,,EPB41L3
51,GUCA2A,PLCD1,,PHF6,NDRG2,MUC1,,CD63
52,NPTN,NOC3L,,JUNB,GOT1,PLOD2,,NTPCR
53,NOP56,SYNCRIP,,CHCHD10,AGL,SH3PXD2B,,HDAC3
54,PUS1,WDR3,,CPM,WDR3,STIM1,,BPGM
55,GLIPR2,NSA2,,CTTN,ADD1,GOT1,,SCGN
56,TP53INP2,GNA11,,ZG16,SNRPD2,SCG2,,FHIT
57,PLS3,UCHL1,,MPZ,SRSF3,ATP5F1D,,GIPC1
58,APP,SLC3A2,,MTSS2,EFTUD2,UGP2,,AZU1
59,POFUT1,RANBP2,,GCG,PRPF6,PLP1,,SURF6
60,HNRNPF,MPHOSPH10,,ATP5F1D,DCTN1,FGD4,,ELANE
61,DARS1,XRN2,,SOAT1,LILRB5,NUDT4,,RAB10
62,UTP15,CEBPZ,,CDH13,TNXB,MTSS2,,BROX
63,ZSWIM8,MTHFD1L,,PML,DHX9,PRKAR2B,,IGHV6-1
64,BOP1,PRPF4,,NUBP2,CDC5L,CLCA4,,SERPINH1
65,CAPRIN1,TPR,,EGFR,GNA11,H2AC21,,PDXP
66,SNU13,PRPF8,,GPRC5A,G3BP1,CIAO1,,LIMA1
67,P4HA1,GNG7,,USP5,NUP62,PLAT,,PPP2R5C
68,PUM3,GLIPR2,,UBAC1,SNCG,UAP1,,JPH1
69,FKBP9,SCN7A,,CNOT9,MPHOSPH10,OAS3,,PLXNB2
70,NUP107,TMOD2,,IGHA2,UTP15,MPZ,,LAMA2
71,THOC3,G3BP1,,DHRS11,STAB1,TBL1XR1,,RAB43
72,NIBAN1,NOP56,,IGHV5-51,API5,CES3,,BCAM
73,ZFR,NUP98,,MARCKSL1,PRPF4,ADH1B,,GRK2
74,DHRS11,RRP9,,CAMK2D,BYSL,CAPG,,STX12
75,ATP1A2,UBAP2L,,CD99,SCG2,GABARAPL2,,DDOST
76,SRPX,MYBBP1A,,IRGQ,NIFK,IKBIP,,ZNRD2
77,DEK,DIS3,,DAXX,DDX18,PYY,,RCN2
78,MCM3,COL28A1,,GLIPR2,PACSIN2,CADM3,,MORF4L1
79,CTNNBL1,WDR12,,PREPL,ITIH5,ADD3,,TUBGCP2
80,GPRC5A,PTN,,IFT122,EEF1G,MAN1A1,,SP100
81,AGL,STAB1,,MICALL2,GNG7,TANK,,MPO
82,UBA2,PRPF6,,ITIH3,TPR,HERPUD1,,HTATIP2
83,ANK2,PSME3,,CALCOCO2,NUP93,MMP14,,PRKAR2B
84,SMARCC1,ADNP,,FERMT1,NUP54,PPP1R13L,,DLD
85,MXRA5,CAPRIN1,,SSBP3,DDX21,NBEAL1,,LIPA
86,LYAR,DDX27,,FN3K,ABI3BP,ATP5F1A,,ACTA2
87,NSUN2,TRIM28,,TRIP4,NOC3L,RABAC1,,DCAF12L1
88,COL21A1,DCLK1,,COA7,RGS10,RFTN1,,MRPL53
89,SMPX,BAZ1B,,FAM76B,LAMA2,SFRP1,,NUP54
90,RALY,NOP58,,A2M,PLP1,B3GNT6,,PRPF4
91,SEPTIN9,BYSL,,APOF,RBM28,RBM47,,PSMD9
92,NUP205,SNCG,,HYCC1,ITGA3,RREB1,,TMSB10
93,BCAS2,ADH1B,,GALNT6,NONO,GUCA2A,,TMUB1
94,TMCO1,AGL,,GLCE,TOM1L2,S100A10,,TMT1A
95,CDC73,ADAR,,CYP4F12,SMARCA5,RNMT,,DCTN5
96,CAD,DPT,,GGACT,OGN,SHMT1,,PES1
97,DPT,CNN2,,CEP44,ADH1B,DHRS11,,OGN
98,ANK3,RBM12,,SPTLC1,XPO5,CNIH4,,GIMAP7
99,GSTM2,CCDC86,,NUP35,WDR12,PML,,EZR
