,Volcano Plot_p
SERPINB5,2.0557278126298364
S100P,1.7888423645781062
S100A8,1.7381439088091597
THBS2,1.7082325189471554
DEFA3,1.6592017861807955
S100A9,1.6440539628999478
S100A12,1.5894518066351135
GPRC5A,1.5665438447021394
CTHRC1,1.482436577570491
MUC5AC,1.3397381568991116
CAMP,1.3170796431170464
LCN2,1.3103153147473827
FAP,1.278498030180002
RAD51B,1.2510016840195952
THBS1,1.2299820244711426
DPEP1,1.229498965907851
VSNL1,1.2190959966274175
HMGA2,1.2134010075705977
DDX21,1.2117316842244037
RPL22L1,1.1954972976353233
KRT23,1.1939268898890993
CEACAM5,1.1536549527894608
COL12A1,1.1514773056846994
TRIM29,1.1378144668952765
BPI,1.135300375866562
SLC7A5,1.122344940491777
GALNT6,1.1029094067586607
NSA2,1.0971225343699584
MXRA5,1.089863852143635
RSL1D1,1.08904249253092
TIMP1,1.0785348511741963
MKI67,1.0763638413320533
PYCR1,1.067286813887924
LTBP2,1.0647619399222896
TOP2A,1.0628775329302733
S100A11,1.059208565512205
SFRP4,1.0438925901569158
PLOD2,1.0411502654859845
FCER1G,1.0383303428538873
ADGRG1,1.0382588479387656
NNMT,1.0311335007264784
MNDA,1.0300984155304056
MPO,1.0250243023348125
SLC5A6,1.0232273653617978
OCIAD2,1.0152394241831342
KIT,1.006907198075358
SERPINH1,1.006103018106047
HBG2,-1.0011330152950604
PTGFRN,-1.0021558316266004
TIMP3,-1.0026761101186359
COL1A1,-1.0040892672473942
PDE5A,-1.0041439864276012
SERPINA7,-1.0053001366360104
DAG1,-1.0063787682129086
IGHV3-72,-1.0073990387106706
RAP1A,-1.007607124265262
B3GALT5,-1.0094889782031173
IGLV8-61,-1.0109134338076797
SCARF2,-1.0110174763471473
SEPTIN6,-1.0125587996980445
SERPIND1,-1.0162742890919318
TMOD2,-1.0188920766528167
MAOA,-1.0195040302011027
SGCE,-1.0253948659611698
CNRIP1,-1.0267290706387346
SSC5D,-1.0268051448716033
SERPINA3,-1.0348475649345326
AGT,-1.035240995676979
COL4A6,-1.0360203928322989
PRKCB,-1.0383612253791867
IGLV4-60,-1.0391507883249969
SERPINA6,-1.0408945626602402
VWA1,-1.0435867945765096
LGALS2,-1.0443831759780167
NEXN,-1.0447604625257925
SLC2A4,-1.0464280658191956
CP,-1.0469834012003771
LAMA4,-1.0476136897095276
HSPA12A,-1.0494456778265109
AFM,-1.049613386274082
PLA2G1B,-1.0523977186416227
ITGB1,-1.052596632156642
CSPG4,-1.0580211135473527
EMILIN3,-1.0589306829703644
KLK1,-1.0608137733275667
CA12,-1.0642587889467465
ENTPD5,-1.0664190781643723
SGCD,-1.067522893352288
PPP1R12A,-1.067759527070401
LAMA2,-1.0695862520337647
ITGA1,-1.0703177251453657
ARHGAP10,-1.0738080426706003
APOA1,-1.0745885926660264
EPB42,-1.0788323183805038
GC,-1.0855795555444896
HSPG2,-1.086076865809715
PRKCA,-1.0863134982607776
AMBP,-1.0863403671169254
APOA4,-1.0902943610328684
OLFML3,-1.091119236276343
NDRG2,-1.0931047557170284
CALB2,-1.094081935404412
IGLV4-69,-1.1001357419045161
PLA2G2A,-1.102999390724261
AHSG,-1.103150700559418
KCNMA1,-1.1035617956103942
COL1A2,-1.1043756748430662
EPM2A,-1.1061200225668795
TLN1,-1.1071687117569915
HPX,-1.1077852243513986
TMT1A,-1.1103925500770833
LRG1,-1.1118366798877963
SBSPON,-1.1132224106225614
CAB39L,-1.1142002800073485
POTEJ,-1.1213125757113087
F13A1,-1.1242425203118058
CADM1,-1.1284477498204526
DMPK,-1.129223539596158
KIF15,-1.1315078057645491
PRKAR2B,-1.131708745529863
IGHG2,-1.1325448964986966
GYPA,-1.1325895836159419
LILRB5,-1.1336696042467007
RAB23,-1.1373286111095118
SPTB,-1.137918776164274
PRUNE2,-1.1380935477532106
APOA2,-1.138135734853765
CEACAM7,-1.138920168903587
CTRC,-1.1417188742709397
ANK1,-1.1418458707485861
CDH19,-1.145282473868371
CORO1C,-1.1486176575572187
S100A1,-1.1512289977887196
GPT,-1.1536220654419638
LHPP,-1.159651393591689
NPTN,-1.1621025242659115
CRABP1,-1.1621707003769288
ADH5,-1.1646519544306455
ZSWIM8,-1.1699802072408247
SELENOW,-1.1707688625381032
AKAP12,-1.174112413705154
DCLK1,-1.1741487433706899
AHNAK2,-1.1815865715195417
ARHGEF37,-1.1815988905027566
AHSP,-1.1845782018144466
SOD3,-1.1892315455747204
HMCN2,-1.1949397579066952
CASQ2,-1.195648633592252
MXRA7,-1.1971294060637823
COL6A3,-1.2015594436604233
PLIN1,-1.203685507620777
LGALS1,-1.2050941486206403
DHRS11,-1.2066110572197124
COL5A3,-1.20724298962629
GNG7,-1.208784742706773
PALM,-1.2092561007221763
CXCL12,-1.2131443848099388
IGHA1,-1.2143104773945868
EPB41L3,-1.2185691472583267
SLC25A4,-1.2208267900554035
FGF2,-1.2281715644265603
SPTA1,-1.2302048415260693
JAM3,-1.230295822025238
HPGD,-1.234693784999898
HSD17B2,-1.2369480328421774
CES1,-1.2387266817544504
SH3BGRL,-1.239783125893522
TES,-1.2400391937114017
MAP1B,-1.2458432266894164
GPM6B,-1.2471401217518658
SPEG,-1.2478040022783776
NCAM2,-1.2516248581267422
ASPN,-1.2523060160188664
LSAMP,-1.2537742999679986
HP,-1.2548883173337182
TSPAN2,-1.2570500465007088
HBD,-1.2585192632050506
SVIL,-1.2588816907042997
ADIRF,-1.263286718946699
MRGPRF,-1.2634516992646
LAMC1,-1.2641917831931881
AMY2A,-1.2661009315078176
FOLR2,-1.2671340621910328
CACNA2D1,-1.2691853776516777
ITLN2,-1.2753265110593623
RNASE1,-1.2756966381199242
PIP5K1C,-1.2772729938850214
PCK1,-1.282671462068226
ACTA1,-1.2837520794619681
ILK,-1.284212903005081
A2M,-1.2888942320105026
NID1,-1.2900282146137585
RSU1,-1.2966647495626515
ZNF74,-1.299821986240367
GLIPR2,-1.303272502396166
SERPINA1,-1.303365475279617
PPP1R12C,-1.3034888104048243
CD36,-1.3045996014374437
PRNP,-1.3106338767496633
AKR1C2,-1.3112019371067196
SLC4A1,-1.311771713076273
FABP2,-1.314672140174502
DNAJB4,-1.3149158787099757
PACSIN3,-1.3162354582565199
ENO2,-1.316269580879507
