,DT_score_c45,RandomForest_gini,AdaBoost64,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
KRT4,1.3679690603537593,0.0041090125046540586,,,,,,
GTPBP4,1.3560046412515605,0.0060006382397227295,,,,,,
ISG15,1.3559129891796353,,,,,,,
IFIH1,1.3558394139159975,,,,,,,
CAPN14,1.3553151678334032,,,,,,,
NSUN2,1.354942205364855,0.006366342186537395,,,,,,
ABCC1,1.354186074987456,,,,,,,
FBN2,1.3539731576519336,,,,,,,
IFI44,1.3533029998673585,,,,,,,
KRT17,1.3513116319886065,,,,,,,
MYBBP1A,1.3510373064116887,0.005066671949096872,,,,,,
DLGAP4,1.3504615241619764,,,,,,,
RIGI,1.3497606642568087,,,,,,,
OASL,1.349236363790881,,,0.01,,,,
LRRC15,1.349120964970542,,,,,,,
OAS3,1.3486606256469573,,,,,,,
HMGA2,1.3483780775975536,,,,,,,
SLC38A1,1.3483239246033096,,,,,,,
XPOT,1.348281533062428,,,,,,,
CDC27,1.3481500592470845,0.007410548019498515,,,0.0010185573330850988,,,
NIP7,1.3481061347147596,,,,,,,
NOP2,1.3478879283898353,0.0036012711662506028,,,,,,
XPO5,1.3477388583355203,,,,,,,
OAS2,1.3476050914079303,,,,,,,
FAM50A,1.3475193375250498,,,,,,,
MX2,1.3473210906476822,,,,,,,
HSPH1,1.34728067552824,,,,,,,
PRKDC,1.346404145558826,,,,,,,
PFKFB3,1.346388452765159,,,,,,,
MTHFD1L,1.3463253951436094,,,,,,,
NAV1,1.346204228963523,,,,,,,
WDR75,1.3461773951716582,,,,,,,
MMP12,1.3461219993805245,,,,,,,
IFIT3,1.346075021247995,,,,,,,
IL4I1,1.3459029673972314,,,,,,,
UTP4,1.3456739289098674,,,,,,,
MMP1,1.3455563498298626,,,,,,,
LY6E,1.345501764691599,,,,,,,
GLS,1.3454568341570206,,,,,,,
RTKN,1.3454382447877258,,,,,,,
THBS2,1.3453459224269517,,,,,,,
PLSCR1,1.345340868540073,,,,,,,
RFC2,1.3453188935494882,,,,,,,
LAMB3,1.3443675085163351,,,,,,,
FBLIM1,1.344328902883132,,,,,,,
TNS4,1.3442245670809987,,,,,,,
CLCA4,1.344118098612732,,,0.11,,,,
MXRA5,1.3440860610737628,,,,,,,
NMD3,1.3440551606749291,,,,,,,
MX1,1.3440077540861777,,,,,,,
ADH4,1.3440068243630467,0.0065047729227555055,,,,,,
KIF11,1.343827273679309,,,,,,,
NUP205,1.3437985098443954,,,,,,,
EIF2AK2,1.3435685906606973,,,,,,,
RFC5,1.343564893281648,,,,,,,
ACOT7,1.3434067648002885,,,,,,,
XAF1,1.3433187201421297,,,,,,,
SULF1,1.3433062069685846,,,,,,,
EPPK1,1.3432316400859374,,,,,,,
NUP107,1.3432236602844623,,,,,,,
DHX36,1.3432169268789327,,,,,,,
DDX60,1.3431639479950392,,,,,,,
FSCN1,1.34307527786332,,,,,,,
ICAM1,1.3429561397981795,,,,,,,
ANLN,1.34281186292848,,,,,,,
PAK1,1.3425570900918904,,,,,,,
KRT75,1.3423712308723226,,,,,,,
SRPK2,1.3422163322284395,,,,,,,
OSBPL3,1.342135928280116,,,,,,,
HEATR1,1.3418452039716502,,,,,,,
COL11A1,1.3415723315062318,,,,,,,
BAZ1B,1.3414808523389954,,,,,,,
STEEP1,1.341304869492251,,,,,,,
PARP12,1.341272926941439,,,,,,,
MORC2,1.3409268878111738,,,,,,,
PRRC2A,1.3408939441420684,,,,,,,
CTHRC1,1.340686579835105,,,,,,,
CNN2,1.340612978020021,0.003348324664528893,,,,,,
IGF1R,1.3405553092014335,,,,,,,
NUP93,1.3405033321597803,,,,,,,
EPX,1.3404250325069358,,,,,,,
TAPBP,1.3404172008081412,,,,,,,
ECHS1,1.3404020923581625,,,,,,,
GBP5,1.3402799411378221,,,,,,,
RBM12B,1.340265617018042,,,,,,,
MYO1B,1.3402330678805816,0.004124377961001152,,,,,,
MKI67,1.340123066183669,,,,,,,
RBP1,1.3400619636490647,,,,,,,
IGF2BP2,1.3400316555399372,,,,,,,
POP1,1.3399015868791393,,,,,,,
PTK7,1.3398187032722462,0.004305457395706287,,,,,,
TP53,1.3397613524995657,,,,,,,
CMSS1,1.3397501523193969,,,,,,,
CLSTN1,1.3396251511092552,,,,,,,
OMD,1.3394820393856135,,,,,,,
DDX47,1.3392752408019046,,,,,,,
KPNA2,1.3392201841393256,,,,,,,
PLOD2,1.3390699956270586,,,,,,,
SUPT6H,1.3390331786323861,,,,,,,
CPSF1,1.339014204399779,,,,,,,
SH3BGRL2,,0.0110914849740914,1.0,0.28,0.035091825842914454,0.00036696655555979254,,
CAB39L,,0.010645497151679615,,0.44,0.08281229074299845,,1.0,100.0
ASPA,,0.009827007072636465,,0.47000000000000003,0.10846008796922972,0.0003532838649622205,,
EHD2,,0.009612398511349008,,,0.038871944767344783,,,
CAVIN2,,0.009574692058456928,,0.3,0.043926438163245866,,,
LYVE1,,0.009119851447064562,,,0.00033247843726761544,,,
OGN,,0.009117457031121564,,,0.0029223131038066848,,,
SPTAN1,,0.008665913883806093,,,0.04921741741969895,,,
ITIH5,,0.008641047096469321,,,0.014318529064765823,,,
CAVIN1,,0.008488861748814651,,,0.010858050046935538,,,
PID1,,0.008380521704826435,,,0.017601602837392514,0.00039877074438341234,,
VIT,,0.008164731919008076,,0.03,0.0016912892125381476,,,
NFIA,,0.00784754426734339,,0.06,0.009079413446158924,,,
AKAP12,,0.007798619821221634,,,1.7810385376485085e-05,,,
ATP6V1C1,,0.007320272532825516,,0.08,0.0005051179141807165,,,
DCN,,0.007255725930553705,,,0.04888032802324943,,,
SELENBP1,,0.007237290370470385,,0.15,0.03809855620530278,,,
ADH1B,,0.006936528722229619,,0.03,,,,
MINDY1,,0.006859079508505769,,0.21,0.01128505947905268,,,
SOD3,,0.006858094525121811,,,0.004363232308159748,,,
SPTBN1,,0.006800153055042996,,,0.019482715910132828,,,
SORBS3,,0.006692784077356222,,,0.011764770226230641,,,
NOSTRIN,,0.006582195771141354,,,0.008853857130930148,0.0003541547228694519,,
TNXB,,0.006481606288573819,,,,,,
