,DT_score_c45,RandomForest_gini,AdaBoost64,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
0,KRT4,SH3BGRL2,SH3BGRL2,ASPA,ASPA,SNAI2,CAB39L,TSPAN6
1,GTPBP4,CAB39L,,CAB39L,CAB39L,MVB12B,,CAB39L
2,ISG15,ASPA,,CAVIN2,DPT,SAA2,,DPM1
3,IFIH1,EHD2,,SH3BGRL2,SPTAN1,GREM2,,FGR
4,CAPN14,CAVIN2,,MINDY1,DCN,TNKS2,,SCYL3
5,NSUN2,LYVE1,,SYTL4,CAVIN2,BARD1,,FUCA2
6,ABCC1,OGN,,APOB,EHD2,PRR4,,CHST6
7,FBN2,SPTAN1,,SELENBP1,SELENBP1,GZMK,,
8,IFI44,ITIH5,,RAB5B,SH3BGRL2,CRABP1,,
9,KRT17,CAVIN1,,RECK,LUM,PLA2G2A,,
10,MYBBP1A,PID1,,MAB21L4,SPTBN1,SAA1,,
11,DLGAP4,VIT,,CLCA4,ANK2,IGHM,,
12,RIGI,NFIA,,MPP7,AHSG,TGM2,,
13,OASL,AKAP12,,SUCLG2,DPYSL2,ORM1,,
14,LRRC15,CDC27,,ATP6V1C1,PID1,TTC12,,
15,OAS3,ATP6V1C1,,PADI1,APPL1,IGLV5-45,,
16,HMGA2,DCN,,GPT2,ITIH5,USP32,,
17,SLC38A1,SELENBP1,,LIMK1,MAPK3,CST1,,
18,XPOT,ADH1B,,SLIT3,CNRIP1,HNMT,,
19,CDC27,MINDY1,,MAGI1,SORBS3,AZGP1,,
20,NIP7,SOD3,,PRDX2,MINDY1,ORM2,,
21,NOP2,SPTBN1,,EPHX2,CAVIN1,CTSO,,
22,XPO5,SORBS3,,NFIA,PODN,EPHX2,,
23,OAS2,NOSTRIN,,MMRN2,OLFML1,SPIDR,,
24,FAM50A,ADH4,,ORM2,NFIA,IGSF10,,
25,MX2,TNXB,,ENTPD5,NOSTRIN,PID1,,
26,HSPH1,TNS2,,AGT,SUOX,RBMS3,,
27,PRKDC,NSUN2,,NISCH,TMOD2,LRG1,,
28,PFKFB3,ADD3,,PLEKHA6,ABLIM1,CD5L,,
29,MTHFD1L,DPT,,LRG1,PCCB,IGKV1-16,,
30,NAV1,TMOD2,,ARID3A,TNS2,MAPKAPK2,,
31,WDR75,MMP14,,IGHM,TPPP,APOB,,
32,MMP12,ABLIM1,,RBM47,TTR,APOF,,
33,IFIT3,CFD,,ENG,ALDH9A1,LAMTOR4,,
34,IL4I1,MGLL,,PTGR3,RAB5B,HK2,,
35,UTP4,ADAR,,LBP,AGT,MYH3,,
36,MMP1,PODN,,WARS2,MMRN2,FGF1,,
37,LY6E,HSPA12B,,TC2N,GC,CP,,
38,GLS,GTPBP4,,KLK11,PEBP1,SERPING1,,
39,RTKN,ANK2,,ALS2CL,HPX,TGFBR2,,
40,THBS2,LUM,,PPP1R18,KBTBD11,LGALS3,,
41,PLSCR1,RECK,,VIT,SERPINA7,SERPINA1,,
42,RFC2,OLFML1,,CRACDL,SORBS2,FAM83D,,
43,LAMB3,BTD,,ADH1B,SOD3,TJP3,,
44,FBLIM1,IL33,,NUDT12,DDAH2,SERPINA6,,
