,Volcano Plot_p
SPRR4,3.243298328220907
KRT75,2.346815477181998
RAD51B,2.0046983049447133
KRT17,1.9413922407995219
MMP1,1.9362387693456324
DEFA3,1.9228785810677218
SLC7A8,1.8308264059581962
WFDC12,1.8245244618730743
IGF2BP3,1.8216294529579693
MAGEA4,1.7992736000037286
OMD,1.7790013416429356
RNF144A,1.759464233150916
KRT6B,1.74976501697328
LAMC2,1.7080236966799944
OTC,1.6925704915796869
CAMP,1.6906879448091612
SULF1,1.6899216887184287
THBS2,1.6826360305155763
ATP1A3,1.6734883347553342
HMGA2,1.671045556533666
CASP14,1.652468475559886
KHDC1L,1.6323756454771199
CTHRC1,1.6240768020672898
ISG15,1.6191433294659854
MAGEA10,1.604740900808462
CXCL13,1.5625107832665612
SERPINE1,1.5609058948253216
EPX,1.5593865207792184
IGF2BP1,1.5484657297787403
KRT16,1.5434637937552353
SFRP4,1.5080269377286297
ASPRV1,1.5063715510824571
S100A7,1.5027315738535694
COL12A1,1.4973428677286618
PLAU,1.4941250383934326
FBN2,1.477085041462551
IL36G,1.471685272805299
GBP5,1.4705116910210476
LAMB3,1.4704000655954061
IFIT3,1.4618444293441075
RBP1,1.4275588772526866
S100A7A,1.4268512474550543
IFI44,1.411420917128455
CXCL14,1.3873828754497728
MMP12,1.387106812009763
IGF2BP2,1.3846198934704288
PLOD2,1.3749539196687126
SEMG2,1.361622652553702
FCER1G,1.3551961933880925
OAS2,1.3514662945592129
CTSV,1.3478748270468828
RNASE7,1.3402555869147055
GBP1,1.3315332158702589
TNC,1.3158842836540463
OASL,1.3146846717187919
ITGB6,1.3121352886492659
IGFLR1,1.3107794713242913
MMP10,1.3040062971537876
APOBEC3A,1.300723388662942
P3H4,1.2968452577723886
LRRC15,1.2952030647017725
CYBB,1.279685165607513
KYNU,1.2766323627922713
LOXL2,1.2753020404392874
FOSL1,1.2733682810656997
SLC38A2,1.270838877809323
LY6E,1.2686901231526704
S100A12,1.267379317219911
MYO1B,1.2624987443502513
TYROBP,1.2587947610556904
LCE3E,1.2473982452346812
TFRC,1.2467437686325906
HTRA3,1.2456145763771147
MX2,1.2413997521929256
IKBIP,1.2379843298791091
XAF1,1.2377660945700575
CRTAP,1.2290048547851358
IFIT2,1.2127040892394785
BPI,1.2121333962388
