,method,source,native,parents,p_value,description,intersection_size
0,DT_score_c45,HPA,HPA:0190000,['HPA:0000000'],3.5035240994281794e-07,esophagus,71
1,DT_score_c45,HPA,HPA:0190221,['HPA:0190000'],3.5035240994281794e-07,esophagus; squamous epithelial cells[≥Low],71
2,DT_score_c45,HPA,HPA:0190222,['HPA:0190221'],1.1643908517875577e-06,esophagus; squamous epithelial cells[≥Medium],61
3,DT_score_c45,GO:CC,GO:0005654,"['GO:0031981', 'GO:0110165']",2.1001626873919582e-06,"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]",43
4,DT_score_c45,GO:CC,GO:0070013,"['GO:0043229', 'GO:0043233']",2.3717559115881608e-06,"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]",56
5,DT_score_c45,GO:CC,GO:0043233,"['GO:0031974', 'GO:0043226']",2.3717559115881608e-06,"""The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."" [GOC:jl, GOC:mah]",56
6,DT_score_c45,GO:CC,GO:0031974,['GO:0110165'],2.3717559115881608e-06,"""The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."" [GOC:add, GOC:mah]",56
7,DT_score_c45,HPA,HPA:0620221,['HPA:0620000'],3.5036847877992404e-06,vagina; squamous epithelial cells[≥Low],66
8,DT_score_c45,HPA,HPA:0620000,['HPA:0000000'],3.5036847877992404e-06,vagina,66
9,DT_score_c45,GO:CC,GO:0031981,"['GO:0005634', 'GO:0070013']",2.9619412359729078e-05,"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]",48
10,DT_score_c45,HPA,HPA:0330000,['HPA:0000000'],3.090058050882288e-05,oral mucosa,66
11,DT_score_c45,HPA,HPA:0330221,['HPA:0330000'],3.090058050882288e-05,oral mucosa; squamous epithelial cells[≥Low],66
12,DT_score_c45,GO:BP,GO:0042254,['GO:0022613'],5.258450472436474e-05,"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis."" [GOC:ma, PMID:26404467, Wikipedia:Ribosome_biogenesis]",12
13,DT_score_c45,HPA,HPA:0170052,['HPA:0170051'],5.4966803979397985e-05,endometrium 2; glandular cells[≥Medium],57
14,DT_score_c45,HPA,HPA:0301361,['HPA:0300000'],6.002623406300619e-05,lung; alveolar cells type I[≥Low],24
15,DT_score_c45,HPA,HPA:0270000,['HPA:0000000'],0.00010071357415435725,kidney,75
16,DT_score_c45,HPA,HPA:0600000,['HPA:0000000'],0.00011816719432463953,tonsil,73
17,DT_score_c45,HPA,HPA:0470000,['HPA:0000000'],0.00019408594194417312,skin 2,69
18,DT_score_c45,REAC,REAC:R-HSA-8953854,['REAC:0000000'],0.00020576672436248167,Metabolism of RNA,17
19,DT_score_c45,HPA,HPA:0130000,['HPA:0000000'],0.00023448504995667697,colon,75
20,DT_score_c45,HPA,HPA:0330222,['HPA:0330221'],0.0002549613809806768,oral mucosa; squamous epithelial cells[≥Medium],52
21,DT_score_c45,HPA,HPA:0600222,['HPA:0600221'],0.0003033222687908346,tonsil; squamous epithelial cells[≥Medium],56
22,DT_score_c45,HPA,HPA:0090000,['HPA:0000000'],0.0006785350636046471,cerebellum,69
23,DT_score_c45,HPA,HPA:0600432,['HPA:0600431'],0.0008669802023094331,tonsil; germinal center cells[≥Medium],49
24,DT_score_c45,HPA,HPA:0500652,['HPA:0500651'],0.0008928155934921733,soft tissue 1; fibroblasts[≥Medium],38
25,DT_score_c45,HPA,HPA:0460000,['HPA:0000000'],0.0009372301698093089,skin 1,69
26,DT_score_c45,HPA,HPA:0340461,['HPA:0340000'],0.0010134378859699932,ovary; ovarian stroma cells[≥Low],48
27,DT_score_c45,HPA,HPA:0630000,['HPA:0000000'],0.0013721156347943607,cervix,67
28,DT_score_c45,HPA,HPA:0610831,['HPA:0610000'],0.0014266861789217623,urinary bladder; urothelial cells[≥Low],69
29,DT_score_c45,HPA,HPA:0610000,['HPA:0000000'],0.0014266861789217623,urinary bladder,69
30,DT_score_c45,HPA,HPA:0460671,['HPA:0460000'],0.0014332423501973168,skin 1; melanocytes[≥Low],57
31,DT_score_c45,GO:MF,GO:0003723,['GO:0003676'],0.0014380288539187684,"""Binding to an RNA molecule or a portion thereof."" [GOC:jl, GOC:mah]",34
32,DT_score_c45,HPA,HPA:0461422,['HPA:0461421'],0.0015040196572354025,skin 1; eccrine glands[≥Medium],9
