,DT_score_c45,RandomForest_gini,AdaBoost64,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
CAV1,0.8197613368748649,0.005807198470909243,,,,,,
KIAA0408,0.8197613368748649,0.005435406843742033,,,0.006566948357781907,,,
EIF4G1,0.8197613368748649,0.0057432162066172595,,,,,,
EIF5B,0.8197613368748649,0.006048477812635714,,,,,,
TGFBR2,0.8197613368748649,0.00592041015625,,,0.0038348593863397925,,,
SPTAN1,0.8197613368748649,0.006166194423941252,,,0.02456775985318218,,,
NOC2L,0.8197613368748649,0.005130075609344049,,,,,,
CLIC5,0.8197613368748649,0.005496437200918301,,,,,,
FGD5,0.8197613368748649,0.005253595589801003,,,0.007222297192577701,,,
SUSD2,0.8197613368748649,0.006110037419352513,,,,,,
DPYSL2,0.8197613368748649,0.00573896941488488,,0.47000000000000003,0.20586022438444226,,,
NOSTRIN,0.8197613368748649,0.004461583173165123,,,0.0025876288646257723,,,
ASPA,0.8197613368748649,0.0067184577632657125,,,,,,
SPTBN1,0.8197613368748649,0.005983118026975601,,,0.015126437019726255,,,
PRPF6,0.8164531976746515,,,,,,,
DRG1,0.816051522256256,0.0043347325336827456,,,,,,
PHF6,0.8160488513624796,0.003458097146235469,,,,,,
IL6ST,0.8147021988434737,,,,0.0029072864004368072,,,
SMG8,0.8145439638622358,,,,,,,
BZW2,0.8145279429176148,0.0037734764293465986,,,,,,
ADNP,0.8143000720245077,,,,,,,
SIAH2,0.8142806817510545,,,,,,,
U2SURP,0.8141692281145061,,,,,,,
PUS1,0.813689373673071,,,,,,,
RBM25,0.8134779142739114,0.0041428109108673315,,,,,,
RECK,0.8131905230238384,,,,,,,
NIPBL,0.8131229076902358,,,,,,,
ZNF622,0.8129801526081771,,,,,,,
SF3B3,0.8127254197361499,,,,,,,
PAK1IP1,0.8125914338859294,,,,,,,
ENSG00000130723,0.8125339930095498,,,,,,,
EIF2S3,0.8122440791922951,,,,,,,
PDE2A,0.8121620262022965,,,0.02,,,,
AARS1,0.8120844639187577,,,,,,,
BAZ1A,0.8120145484553613,,,,,,,
SMARCA5,0.8119749755480584,,,,,,,
SLIRP,0.8119706993398389,,,,,,,
SGCG,0.8119352773261482,,,,,,,
TMOD1,0.8118885631946897,0.0039388617309647,,0.11,0.0011477367741341551,,,
SNRNP200,0.8118456773431875,,,,,,,
FNDC3B,0.8118364125096,,,,,,,
PHF14,0.8109026910086771,,,,,,,
GNG11,0.8108943339992997,0.0034628622341738046,,,,,,
DDX18,0.8107427630876993,,,,,,,
RPS5,0.8106820412050058,,,,0.0022343692842701564,,,
PYCR1,0.81061194436988,,,,,,,
UMPS,0.8105045088959719,,,,,,,
RAMP2,0.8102860565211477,,,,,,,
RANBP2,0.8102706380783141,,,,,,,
