,DT_score_c45,RandomForest_gini,AdaBoost64,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
0,CAV1,ASPA,POP1,DPYSL2,DPYSL2,SOSTDC1,EHD2,TSPAN6
1,KIAA0408,HSPA12B,,RPL30,CACNA2D2,IGLV1-50,,EHD2
2,EIF4G1,SPTAN1,,ADGRF5,RPL30,SLC16A7,,FGR
3,EIF5B,SUSD2,,ADD1,RPS3,AASS,,SCYL3
4,TGFBR2,EIF5B,,CACNA2D2,SPTAN1,PLIN2,,DPM1
5,SPTAN1,RPS3,,AK1,PTPRM,HLA-DOB,,DKK1
6,NOC2L,CAVIN3,,DNM3,FILIP1,MS4A1,,CFH
7,CLIC5,SPTBN1,,EEF2,MAGI1,PDPN,,POP1
8,FGD5,TGFBR2,,PLA2G4F,DNM3,CCR6,,ADAM23
9,SUSD2,EEF2,,ANK2,SPTBN1,CR2,,GREB1
10,DPYSL2,CAV1,,TMOD1,MYO1C,CDK6,,DBH
11,NOSTRIN,DLC1,,DLC1,MPDZ,CD28,,CDC45
12,ASPA,FHOD1,,PDIA4,SYNPO,TSPYL2,,
13,SPTBN1,ARHGAP6,,RPS3,ARRB1,BANK1,,
14,PRPF6,EIF4G1,,GLIPR2,CNRIP1,CYP1B1,,
15,DRG1,DPYSL2,,RILP,GUCY1B1,DGAT1,,
16,PHF6,CD34,,TPK1,SNTB1,SUMO3,,
17,IL6ST,EHD2,,HSPA5,ILK,PDIA5,,
18,SMG8,EHD4,,CCDC141,CLIC2,DDHD2,,
19,BZW2,GRK5,,SERPINA1,TNS1,TMEM102,,
20,ADNP,CDH5,,ADH1B,UACA,CALU,,
21,SIAH2,RPS19,,HPGDS,SORBS3,UBE2M,,
22,U2SURP,CLIC5,,ACSS2,SHROOM4,ENSG00000112096,,
23,PUS1,MYO1C,,SLC19A1,TBX2,DENND2C,,
24,RBM25,KIAA0408,,POTEJ,TNS2,FUCA1,,
25,RECK,PDLIM2,,IL4I1,RASL12,RAB30,,
26,NIPBL,MAGI1,,ARHGAP6,MAGI3,DNASE1L3,,
27,ZNF622,SHE,,MAGI1,SERPINB6,PDIA4,,
28,SF3B3,FGD5,,CALU,FGD5,LGALS2,,
29,PAK1IP1,KANK3,,TBCK,RPS7,SLC19A1,,
30,ENSG00000130723,TMOD2,,MASP2,EHD4,RTN1,,
31,EIF2S3,CAVIN1,,PLIN2,DLC1,ZC3H12C,,
32,PDE2A,EIF2A,,ARFGAP1,KIAA0408,CD27,,
33,AARS1,NOC2L,,MASP1,AK1,ZC3H12D,,
34,BAZ1A,RASIP1,,MALT1,LIMD1,CNIH4,,
35,SMARCA5,DDX27,,SH3BGRL2,RGN,GAB3,,
36,SLIRP,POP1,,RTN1,AOC3,DAAM2,,
37,SGCG,NOP58,,FBLN5,PPP1R12C,KRT3,,
38,TMOD1,SF3B6,,CASP3,CAVIN1,GLI2,,
39,SNRNP200,EEF1G,,GCHFR,KIF1C,IL3RA,,
40,FNDC3B,CLIC2,,ROGDI,RGL2,ARMC6,,
41,PHF14,PARD3B,,RRBP1,PLEKHH2,DAZAP2,,
42,GNG11,FHL1,,BTD,MPRIP,KDM4C,,
43,DDX18,PPP1R12C,,RPS12,PEAK1,PTRHD1,,
44,RPS5,ABLIM3,,ELL,ABLIM3,TXNDC5,,
45,PYCR1,ARHGEF15,,P4HB,C1orf116,HSPA5,,
46,UMPS,NOSTRIN,,MS4A1,SELENBP1,KLHL7,,
47,RAMP2,WDR12,,PLOD2,CAVIN2,PRDX4,,
48,RANBP2,RPL30,,HAPLN3,TGFBR2,DNAJB9,,
49,SMARCA4,LIMCH1,,OSBP2,ADD1,HLA-DRB5,,
50,POLR1B,INTS13,,RCN1,UTRN,TLCD2,,
51,NSD3,DRG1,,WWP2,EHD2,PMM2,,
52,SPAST,SERBP1,,PALMD,SHE,ADCY7,,
53,UBXN7,C1orf116,,INPP5K,RILP,RNF113A,,
54,EIF2A,PRRC2A,,EEF1D,ADH1B,IGLV4-60,,
55,PKP2,TNS1,,HLA-DRB1,ARHGAP6,PDAP1,,
56,ACAP2,SFTPC,,WBP2,TPRN,SNX13,,
57,PYCR2,PALM2AKAP2,,PLCL1,FERMT2,SOCS2,,
58,ANP32B,NSUN2,,CCDC28A,FHL1,MCOLN1,,
59,ZC3H15,RPS2,,TLCD2,IL6ST,C1orf226,,
60,ASH2L,CGNL1,,GFPT1,SH3BGRL2,LY96,,
61,MFN1,RBM25,,OSBP,MAPK3,LURAP1L,,
62,MSH6,SHANK3,,SEPTIN4,ERG,TNFAIP8,,
63,GPATCH4,GTF2E2,,HPS1,NOSTRIN,CD19,,
64,COL11A1,PTPRM,,FGL1,ITIH5,XIAP,,
65,GMPS,CLDN18,,SELENOH,RPS5,PCBD1,,
66,THOC2,PDCD11,,PKP2,RPS12,MYDGF,,
67,PRRC2A,TMOD1,,JCHAIN,COBL,RPS6KA3,,
68,LSG1,PPP1R10,,PDAP1,PARD3B,SPCS3,,
69,PAIP1,NOP2,,PCMT1,FHOD1,ITPK1,,
70,BICD2,SERPINB6,,PDE2A,EEF2,LRRC20,,
71,CACYBP,CEBPZ,,ALOX15B,LIMCH1,LEF1,,
72,ERO1A,BZW2,,PROCR,RASIP1,PTPRCAP,,
73,TBL1XR1,CACNA2D2,,TTC7B,RSU1,HS2ST1,,
74,LARP7,ARRB1,,NACC2,ANK2,HRC,,
75,CNBP,CASS4,,IL3RA,PALM2AKAP2,TTC19,,
76,PCNA,ZFR,,HSPB7,MAB21L4,CORO1C,,
77,NLN,SORBS3,,SNX25,CGNL1,C9orf85,,
78,SLC3A2,LIMD1,,DDHD2,TMOD1,POFUT2,,
79,PBRM1,ADGRF5,,GLOD5,ARHGAP44,LAMP2,,
80,TUFT1,ERG,,KCTD12,FRY,POU2F2,,
81,ZNF280C,DDX21,,CCDC102A,KANK2,TUB,,
82,RRP1,ADH1B,,APOM,ARHGAP31,ERMAP,,
83,LSM14B,ADD1,,DPYS,ECHDC1,CLMP,,
84,TRMT5,KANK2,,KRT23,ADARB1,BRCA2,,
85,PRPF4,GNG11,,PKNOX2,STXBP1,ANXA2,,
86,RCL1,PHF6,,TFF3,PDLIM2,CCDC141,,
87,WDR18,AOC3,,COL18A1,VEPH1,MMP24OS,,
88,DSC2,TJP1,,CERT1,RACK1,NACC2,,
89,ADH1B,MAPK3,,IGHG1,DDAH1,MZB1,,
90,NDNF,TARS1,,SOSTDC1,RPS19,NNMT,,
91,SREK1,RACK1,,SIGLEC10,TMOD2,ROBO4,,
92,GRHL2,VAT1,,SERPINB4,ARHGEF17,S100A4,,
93,JPT1,ESAM,,GGA1,CASS4,SLC35C1,,
94,UTP3,VWF,,SULF1,CORO2B,MTMR14,,
95,SQSTM1,AK1,,BZW1,GRK5,BET1L,,
96,BPTF,KIF1C,,CXCL6,STARD13,SND1,,
97,PTPRZ1,MPDZ,,SPART,VAT1,GRAMD2A,,
98,USHBP1,PPM1G,,RNF114,RPS2,KIF26B,,
99,NAA15,SELENBP1,,PLAC9,ADGRF5,SP140,,
