,Volcano Plot_p
S100A2,2.926921059973329
S100A7,2.6917772136763314
LY6D,2.564849655958176
SPRR2D,2.5634673134007504
MAGEA4,2.3648213657175834
KRT6B,2.3319179110703083
AKR1B10,2.317346837964606
KRT6A,2.2733213208207803
IGF2BP3,2.2621016388672928
SERPINB5,2.251835068058958
SERPINB4,2.2149431274877323
ANXA8,2.181923547982631
PTHLH,2.1818032312563913
SERPINB13,2.1498679293171197
TRIM29,2.1282542868850287
KRT17,2.1273910668701426
ADH7,2.1206598544739426
HMGA2,2.1052459210146752
DSP,2.1051464697160993
GPX2,2.0977153430156594
LYPD3,2.09026098628524
ACKR3,2.0540666917252417
DSG3,2.0347611174115
MMP12,2.0260801842782206
PSAT1,2.016102303029789
A2ML1,1.9898528198462624
VTCN1,1.9839334058146803
THBS2,1.9839238518405724
SPRR3,1.9816776726648357
CXCL14,1.965550716943194
DAPL1,1.9644559403568351
AKR1C2,1.9610392099654526
FAM83B,1.9516956687885374
IL1RN,1.930661275160883
IVL,1.9251093589556787
TOP2A,1.9241069208958004
SERPINB3,1.923898343969445
GBP6,1.916426947794873
PKP1,1.9077894422055894
FGFBP1,1.8915037435484823
CTHRC1,1.8815925338523825
IGF2BP1,1.8555654891487714
KRT15,1.8512638990160837
KRT5,1.8505454524861742
SPRR1B,1.8501174934107898
SLC7A11,1.8419655788797287
SFN,1.8370977356087985
GREM1,1.8273587013111072
LAD1,1.8215950948155044
MCM3,1.812357597726394
KRT13,1.8087094270057844
ANLN,1.8023337250521092
MCM6,1.8016269482055438
MMP10,1.7979732556554322
CRABP1,1.78137050153755
COL11A1,1.7736570629344024
SPRR2A,1.7606933433571896
DSC3,1.752986750006058
SULF1,1.7528860415430019
NDUFA4L2,1.7508129945125532
CALML3,1.7339543440186058
KRT16,1.7286868234427706
VSNL1,1.7135305602760813
CSTA,1.7073297003023067
KRT75,1.7069087087858612
TUBB2B,1.704244163387297
PLOD2,1.6998947899121246
AKR1C1,1.6825555880534702
MCM4,1.6770675156004227
SLC16A1,1.6762473462969123
SPRR1A,1.6715853495634174
