,DT_score_c45,RandomForest_gini,AdaBoost64,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
CAPRIN1,0.5801954598635943,0.0063655489476321745,,,,,,
SPINT1,0.5795932315831093,,,,,,,
RPL23,0.5795438169063155,0.0035228667796347313,,,,,,
DDX27,0.5790515514668473,,,,,,,
ATXN2L,0.5788853289299472,0.0041285233178233,,,,,,
NPM1,0.5786884940786837,,,,,,,
YWHAZ,0.5786497325096018,,,,,,,
GOLPH3L,0.5778887467880013,,,0.04,,,,
PRRC2A,0.5772939716523354,,,,,,,
DDX21,0.5770946091950564,,,,,,,
PBXIP1,0.5770866421050856,,,0.02,,,,
PDXDC1,0.5770113166139407,,,,,,,
SQSTM1,0.5767440000809623,,,,,,,
AGR2,0.5763519787541961,,,,,,,
TAX1BP1,0.5757572205709828,,,,,,,
TOP1,0.5757141446488475,,,,,,,
GPI,0.5755772795428082,,,,,,,
PRPF6,0.5752918307563326,,,,,,,
GFPT1,0.5751962246185158,,,0.02,,,,
MCM2,0.5751326072817218,,,,,,,
MCM3,0.5748188184301501,,,,,,,
NAT10,0.5748151224518789,,,,,,,
KHDRBS1,0.5746970187171228,,,,,,,
WDR43,0.574511782508317,,,,,,,
MCM4,0.5742291335472973,,,,,,,
FKBP3,0.5741611634053119,0.005648305461806518,,,,,,
MCM6,0.5740922848002167,,,,,,,
GOLPH3,0.5740517126513662,0.006168132440102847,,0.06,,,,3.0
SYNCRIP,0.5739838923280532,,,,,,,
TRMT5,0.5737900630016592,,,,,,,
JPT1,0.5734640330545702,,,,,,,
EML1,0.5733861018739909,0.007494709468032813,,,0.0015771045927924965,,,
PHF6,0.5733194514952239,,,,,,,
HTATSF1,0.5732259088702375,,,0.01,,,,
ERH,0.5730710688981948,,,,,,,
GOLM1,0.5730068004701684,,,,,,,
PAPOLA,0.5726804760211817,,,,,,,
ADNP,0.5725821825376933,,,,,,,
SGPL1,0.5724532759440304,,,,,,,
RBBP6,0.5724103109579821,,,,,,,
PLIN2,0.572190719917613,,,,,,,
NSUN2,0.572084530551026,,,,,,,
EIF6,0.5720600186231926,,,,,,,
ARFGAP1,0.5719425384001097,,,,,,,
SUPT16H,0.5719171609204317,,,,,,,
TRMT1L,0.5719101206496128,,,,,,,
PDS5A,0.5718615603678173,,,,,,,
NAMPT,0.5716770811684689,,,,,,,
FUBP1,0.571605715814715,,,,,,,
CWC22,0.5715866025895545,,,,,,,
PDCD11,0.5715791563156744,,,,,,,
ILF3,0.5714522851045548,0.004172284313790582,,,,,,
P4HB,0.5714341248529928,0.0033673299612898833,,,,,,
PRPF40A,0.5714053997804593,,,,,,,
TIMM9,0.57135388482446,,,,,,,
PCP4L1,0.5713375622315707,,,,,,,
SRRT,0.5712457052363149,,,,,,,
PRPF3,0.5711833405767894,,,,,,,
DPY30,0.5711702449362265,,,,,,,
SF3A3,0.5711498667715814,,,,,,,
PCNA,0.5708831943420527,,,,,,,
NUCB2,0.5707445238112467,,,,,,,
PRPF4,0.5706665094462402,,,,,,,
NUP93,0.5706048111466474,,,,,,,
NCL,0.5705589448839691,0.004883987119749836,,,,,,
MLEC,0.5704655682793874,,,,,,,
NASP,0.5703751732993473,,,,,,,
ELOB,0.5703425771798591,,,,,,,
DDX18,0.5702778958909569,,,,,,,
LAD1,0.5702144604217686,,,,,,,
BZW2,0.5701842284684775,0.004778420669012672,,,,,,
C1orf35,0.5700369548951746,,,,,,,
NENF,0.5699586297999607,,,,,,,
PLOD2,0.5699368136591975,,,,,,,
SLC6A4,0.5699245528137048,,,,,,,
ZNF622,0.5699195203218008,,,,,,,
ZC3H15,0.569873620800645,0.0037975850240025717,,,,,,
GALNT2,0.5698622772014532,,,,,,,
ADAR,0.5697613635351775,,,,,,,
GART,0.5697346648942012,,,,,,,
TRIP11,0.5697002381387355,,,,,,,
MYO6,0.5696789247830389,,,,,,,
ACIN1,0.569674219553679,,,,,,,
SF3B4,0.5696335275108125,,,,,,,
SLC16A3,0.5695776804990743,,,,,,,
HOOK1,0.5695758971524316,,,,,,,
QKI,0.5694471821067536,0.004879181122539398,,0.16,0.008478983039117587,,,
WDR36,0.5694148450524728,,,,,,,
MAP7,0.569390987175734,,,,,,,
HNRNPF,0.5693243054957798,,,,,,,
CSE1L,0.5692518121932604,,,,,,,
POLB,0.569237483133713,,,,,,,
CEBPZ,0.5692220573194838,,,,,,,
ZBTB7B,0.5691771333805287,,,,,,,
TRA2B,0.569139418321346,,,,,,,
ESF1,0.5690883232543928,,,,,,,
SSRP1,0.5690655083402123,,,,,,,
RPL5,0.5690225741138353,,,,,,,
UBAP2L,0.5689690541499974,,,,,,,
CIAPIN1,0.5689333178019109,,,,,,,
HSPA12B,,0.008550389132924554,1.0,,0.0074459359752738746,,,
PALM2AKAP2,,0.008450974217667013,,0.27,0.059415559020245395,,,9.0
MYO1C,,0.008429873193923493,,,0.013457478426859982,,,
TNS1,,0.00800295749940692,,,0.03207524177052083,,1.0,10.0
ADIRF,,0.007377686819869568,,,0.005143634241621501,,,4.0
CLIC5,,0.007358550356355939,,,0.00431509508983411,,,8.0
ADH1B,,0.007235631781992138,,0.29,0.018489668443512988,,,
EHD2,,0.0070672791452279305,,,0.008417098330681883,,,9.0
ITIH5,,0.007062887821856771,,0.4,0.024525365529766478,,,
PPM1F,,0.007036607520324851,,0.39,0.038421438155494425,,,3.0
ACTN2,,0.006969156622033013,,,0.004281673570822115,,,
CNRIP1,,0.006918799155091487,,0.29,0.016050148673386333,,,3.0
CAVIN2,,0.006794863085889431,,,0.03178219161836069,,,
STARD13,,0.006718590603089503,,0.31,0.0007256803596276728,,,5.0
EHD4,,0.006699424968526542,,,0.009693499278856469,,,
JAM2,,0.006654339875911823,,,,,,
SHANK3,,0.006593682577542619,,,0.020662002844674513,,,
PEAK1,,0.0065131177213757115,,,0.0075978921986788435,,,3.0
CAVIN1,,0.006386470273255054,,,0.017334323845392952,,,
SORBS3,,0.00622488918268113,,,0.01544810167317664,,,
PTPRS,,0.006102620697786714,,0.14,0.012047249165137561,,,5.0
TNNC1,,0.006000995472688264,,,,,,6.0
DKC1,,0.00590746512575579,,,,,,9.0
GRK5,,0.005905223558079547,,0.1,0.006512998920026581,,,5.0
RTKN2,,0.0058530694681249934,,,0.013357808766010077,,,5.0
ADGRL2,,0.0057402766331406535,,,0.012932177201061932,,,
ABLIM3,,0.005730203249423108,,,0.018079145865349908,,,6.0
ABCA8,,0.0056662376222452486,,0.13,0.007681050861373273,,,
PDLIM2,,0.005663424408262368,,,0.0044834085908700685,,,
TMOD2,,0.0056238504851300435,,0.32,0.017329872004342214,,,
CASKIN2,,0.005598957585802332,,,0.001609070523839331,,,
CD36,,0.0055667370340085716,,,,,,
KANK3,,0.005541791334100681,,,0.009245457033677202,,,
ARHGAP6,,0.005525867777534084,,,0.017745341674703593,,,
BZW1,,0.005434328912551135,,,,,,
ERG,,0.005415934111467126,,,0.000838527813832118,,,
ASPA,,0.0052955315594646335,,,,,,
LIMS2,,0.005205939964852606,,,0.005981226616841333,,,
COPA,,0.0051890122536512465,,,,,,
RASIP1,,0.0051207366299915935,,,0.021614912232417575,,,
AHNAK,,0.004970323460151758,,,0.009500753614770213,,,
SYNM,,0.004935050346055251,,,,,,
CDC42EP2,,0.004870905728728907,,0.12,,,,
STX11,,0.004842325808212368,,0.31,0.004946817134145068,,,3.0
RPL30,,0.004815972978394288,,0.09,,,,
CDH5,,0.004585680862617922,,,0.010535421985542297,,,
PECAM1,,0.004575506649796135,,,0.010959663007707664,,,
ESAM,,0.004567067827433954,,,0.013357778050586529,,,
RSU1,,0.004552187783968177,,,0.0024092591836007474,,,
EPRS1,,0.004464088208272188,,,,,,
WWC2,,0.004449707295961064,,0.25,0.0001125773124093611,,,
EIF5B,,0.004442651764767572,,,,,,
RIPOR1,,0.0043947037763198875,,,0.007280962963124477,,,
AGER,,0.00439232825630862,,,0.004341323760609594,,,
RPS5,,0.004354656615776202,,,0.0028228579825333258,,,
MYOZ1,,0.004293516451312566,,,0.004927268073706858,,,
JCAD,,0.004289996883201946,,,0.011193594197509236,,,
LUC7L3,,0.004282442123745566,,,,,,
RPS2,,0.004234389542464001,,,,,,
SASH1,,0.004220583380883455,,0.11,0.001886979648703914,,,
SMARCC1,,0.004172264083083027,,,,,,3.0
