,Volcano Plot_p
S100A2,2.0512304859307706
GREM1,2.0333917486613338
AKR1B10,1.9419441496318484
WFDC2,1.8809425081058662
IGF2BP3,1.8050912172113873
S100P,1.7016350860678795
CTHRC1,1.698502658915526
TMEM212,1.6890317328290319
THBS2,1.66944755026498
SPINK1,1.6668057146818394
CPS1,1.6524169246114673
SOX8,1.6411369212372375
OCIAD2,1.6328252728277353
HMGB3,1.623781290277025
CRABP2,1.620983843715285
VSTM2L,1.6044821980542177
LAPTM4A,1.5832458447095885
PLIN2,1.5700054721711443
DNAJC12,1.5677912032998749
MUC5B,1.5602431607865979
PCP4L1,1.537700618793169
CALCA,1.511414663867198
PLOD2,1.5028932594025837
SOX4,1.4941869905604572
LAD1,1.4897858606505145
FHL2,1.4745606543494822
SERPINB5,1.4664971457306324
TOP2A,1.4610656046545962
GOLM1,1.4560307623191089
MMP12,1.4467330786326493
AGR2,1.4419470097181462
ERO1A,1.438389257670244
PYCR2,1.39830311538967
UBA52,1.3739404759716953
PSAT1,1.3711532468238785
HMGA2,1.369349368585608
KSR2,1.3562736700054874
MDK,1.353641336917467
PAEP,1.352647125834246
CXCL14,1.3453410540961137
AKR1C2,1.3328858628923792
CPD,1.323958811004357
IVL,1.3234864701452067
PTGES,1.320206477833118
SULF1,1.319652959754382
EZH2,1.3156842300095652
TSPAN6,1.3128929314413678
MAP7D2,1.3106747212220742
GPX2,1.3054661918828312
VIL1,1.2889806444338465
ANLN,1.2850360470830768
P4HA1,1.2842636412282706
TFPI2,1.2774538053505156
MUC5AC,1.2692724325904878
PYCR1,1.2624708423255455
NNMT,1.2514995678840886
MFSD4A,1.2467572837425895
CILP,1.2405914141349448
CLIC6,1.2300471490253648
THBS1,1.2282740905498162
DSP,1.2254337493799887
SLC7A5,1.2109885416010469
ELAPOR1,1.209873772597525
PCP4,1.1827219766704877
TNC,1.1819811004836758
SERPINB7,1.1784383208425224
KRT6A,1.178075216908968
IL4I1,1.17602952786998
FOSL2,1.1725725518222185
BZW2,1.1704434408070132
BPIFA1,1.1662858519926513
CDK1,1.1623053548182163
PKIB,1.1592342856008675
EEF1A2,1.1518789187588616
COMP,1.1499622512824104
