,DT_score_c45,RandomForest_gini,AdaBoost64,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
PPA1,0.9611832353563821,,,,,,,
HSPD1,0.9573149108878484,,,,,,,
PAICS,0.9570537422886518,0.003150580247125208,,,,,,
NAT10,0.9567308479871686,0.0036080817456943946,,,,,,
SYNC,0.9561080560274378,,,,,0.00041927554053333086,,
HMGB3,0.9549738274161566,0.002699751629435768,,,,,,
MCM4,0.95419020576245,,,,,,,
CRABP1,0.9531442014618027,,,,,,,
NOLC1,0.9525755657420011,,,,,,,
XPO5,0.952502894280659,,,,,,,
SRSF9,0.9520835259282325,0.003327227208030345,,,,,,3.0
PRKDC,0.9516299710616378,0.003143825051709411,,,,,,3.0
CENPO,0.9512774793340494,,,,,,,
DSG2,0.950030701992281,,,,,,,
PRKCSH,0.9493892523494507,,,,,,,
RSF1,0.9492041174226356,,,,,,,
PCNA,0.9486709264895508,,,,,,,
KPNA2,0.9480829907608507,,,,,,,
RECK,0.9479928395667373,0.007496783531521946,,0.34,0.043043570178624195,0.0005115680096105082,,
MYBBP1A,0.9478440398639402,,,,,,,
NOP56,0.9477385709149879,,,,,,,
KRR1,0.9472811294136898,,,,,,,
HSPE1,0.9471658161272304,,,,,,,
H1-5,0.9470916393729465,,,,,,,
ASNS,0.9470708024119805,,,,,,,
SLC25A13,0.9470336137583633,,,,,,,
OCIAD2,0.9466923854035536,,,,,,,
MYLK,0.9466752303334631,,,,,0.00041600063596365877,,
MSH6,0.94652850286863,,,,,,,
NARS2,0.9465009611398174,,,,,,,
MCM3,0.9464352187908391,,,,,,,
XDH,0.9461839756269175,,,,,,,
PDIA6,0.9461699150445957,0.0030906408743789473,,,,,,
MCM7,0.9460970950169819,,,,,,,
NOP58,0.9460462728871244,,,,,,,
NIPSNAP1,0.945735702249007,,,,,,,
MCM5,0.945720150566286,,,,,,,
FBL,0.9456675061828119,,,,,,,
RNASET2,0.9454757092654026,,,,,,,
KRI1,0.9453490299923539,,,,,,,
TIMM50,0.9451696438798963,,,,,,,
MSH2,0.9450658472666787,,,,,,,
MAIP1,0.9450644495880265,,,,,,,
JPH2,0.9449095396978795,,,,,,,
C19orf33,0.9447836293945988,,,,,,,
ERP29,0.9446805331662689,,,,,,,
PSAT1,0.9446680339399925,,,,,,,
GCN1,0.9445178944370618,0.005006243543883856,,,,,,2.0
NEO1,0.9442967204756318,,,,,,,
DZIP3,0.9440435427887103,,,,,,,
NARS1,0.9438933382722948,,,,,,,
RCN2,0.9438853685343954,,,,,,,
NASP,0.9437986072461771,,,,,,,
C1QBP,0.943772704006907,,,,,,,
LACTB2,0.9431585887627097,,,,,,,
MTHFD2,0.9428056656465688,,,,,,,
LARP7,0.9427477096180112,,,,,,,
TSFM,0.9423327399327214,,,,,,,
SHMT2,0.9422951599976823,,,,,,,
ABRACL,0.9422583630936385,,,,,,,
ELOF1,0.9421910411944465,,,,,,,
HSPA4,0.9420960448256596,,,,,,,
TRAP1,0.9420329516734681,,,,,,,
SUPT5H,0.9415465596023047,,,,,,,
ILF2,0.9411258660731558,0.0032441536401870362,,,,,,
DDX5,0.9410360780390175,0.003113385684220664,,,,,,
H1-1,0.9409493154967381,,,,,,,
ASS1,0.9405422439465119,,,,,,,
TSPYL5,0.9405129063033126,,,,,,,
POLD1,0.940476817311064,,,,,,,
SARS2,0.9404207226410374,,,,,,,
DNMT1,0.9401392545927715,,,,,,,
EBAG9,0.940130475714687,,,,,,,
OGDHL,0.9399738406027152,,,,,,,
UTP20,0.9399395066577394,,,,,,,
HAT1,0.9398012665307613,,,,,,,
HEATR1,0.9397748462118579,,,,,,,
PRIM1,0.9395818727218299,,,,,,,
STRBP,0.9395034641786157,,,,,,,
MCTS2,0.9393899304157045,,,,,,,
ETFRF1,0.9393350059546538,,,,,,,
KIAA1217,0.9393098048096195,,,,,,,
CCDC6,0.9392229998937189,,,,,,,
NLN,0.9391595381176299,,,,,,,
SLC25A5,0.9388894916993508,,,,,,,
RBM28,0.9388643666091983,,,,,,,
CNPY3,0.9388231695674731,,,,,,,
IRF2BPL,0.9388168764774781,,,,,,,
AIFM1,0.9386686880496214,,,,,,,
PUS1,0.9386361790371042,,,,,,,
HSPA14,0.9386014750121043,,,,,,,
RNMT,0.9384682911836912,0.0034636823697039598,,,,,,
CDK1,0.9384470671964401,,,,,,,
TRIM28,0.9383880128560926,,,,,,,
FEN1,0.9383029965023483,,,,,,,
FAM136A,0.9382665230218623,,,,,,,
ABHD11,0.9382663850924386,,,,,,,
FAM3C,0.9381740125858983,,,,,,,
MRPL10,0.9379611400627018,,,,,,,
RFC4,0.9379382223765874,,,,,,,
SYNM,,0.011133346192462881,0.1875,0.04,,0.0004842677476991164,0.24071349,49.0
SOD3,,0.010112357754043774,,,,0.00046863206225079016,0.042296316,15.0
CDH13,,0.009606504065700407,0.1875,,,0.00043556740143702337,0.45137703,10.0
