,DT_score_c45,RandomForest_gini,AdaBoost64,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
0,PPA1,SYNM,CDH13,ITGA7,STOM,CILP2,CDH13,SYNM
1,HSPD1,SOD3,SYNM,LAMB2,RECK,ITGA7,SYNM,LAMB2
2,PAICS,CDH13,HSP90B1,MMRN1,NID1,LAMB2,CAVIN1,SOD3
3,NAT10,LAMB2,CAVIN1,COL15A1,MYO1C,LPAR1,LAMB2,CDH13
4,SYNC,CAV1,MMRN1,HSPA12B,ITGA7,RECK,SOD3,SLMAP
5,HMGB3,CAVIN1,LAMB2,RECK,STAT5B,CD34,MYO1C,COA5
6,MCM4,RECK,TOP1,TNS2,LAMB2,MYO1C,TOP1,DDX54
7,CRABP1,MYO1C,RBM25,CD34,COL15A1,DES,,JCAD
8,NOLC1,DMD,TRIM3,RBSN,ASPA,PRPF18,,MYO1C
9,XPO5,ITGA7,SYNCRIP,SELP,MFAP5,INPP5A,,MYH11
10,SRSF9,STOM,NAP1L1,LYVE1,MMRN1,PLVAP,,IP6K1
11,PRKDC,TNXB,LNPK,PARVB,SYNE3,PXDN,,MAP2K3
12,CENPO,TOP1,RPN1,CAVIN2,CD248,SYNM,,HSP90B1
13,DSG2,CD34,TIMELESS,BCHE,KANK2,MYH11,,EIF4B
14,PRKCSH,CBX3,,SIRT6,PECAM1,STEAP4,,NRAS
15,RSF1,LAMC1,,RAB3IL1,MYADM,CNN1,,RHOC
16,PCNA,CAVIN2,,DNAJB2,TNS2,SLMAP,,VPS50
17,KPNA2,COL15A1,,PAPPA,CD34,LMOD1,,SNW1
18,RECK,MMRN1,,EMILIN3,TMOD2,C11orf96,,TSPAN6
19,MYBBP1A,PRPF40A,,ABCB8,HSPA12B,SOD3,,SRSF9
20,NOP56,OGN,,FAM98C,C11orf96,CAV1,,CAV1
21,KRR1,GCN1,,FN3K,CAVIN2,PGM5,,API5
22,HSPE1,TNS2,,INPP5A,CDH5,PPP1R12B,,MCAM
23,H1-5,API5,,CNTFR,KANK3,PIP5K1C,,ECHS1
24,ASNS,EHD2,,ARHGAP10,CAVIN1,ATP2B4,,KATNB1
25,SLC25A13,PODN,,IFI27,TINAGL1,LIMD1,,ATRX
26,OCIAD2,LAMA2,,CBFA2T2,HSPA12A,ENTPD1,,SCYL2
27,MYLK,RARS1,,FKBP9,MCAM,VCAN,,PRKDC
28,MSH6,RRAS,,SYNM,EHD2,PKIG,,SLU7
29,NARS2,TINAGL1,,FGFR2,TRIM3,LAMC1,,WDR3
30,MCM3,KANK2,,TXNDC5,LAMA4,EMCN,,PLRG1
31,XDH,NIBAN1,,ADISSP,CAVIN3,CAVIN2,,DHX15
32,PDIA6,SRPX,,GSE1,AOC3,CAVIN1,,AVL9
33,MCM7,HSP90B1,,HBZ,SNTB2,CALD1,,SLC3A2
34,NOP58,HSPA12B,,ALDH1A2,OLFML1,MFAP5,,CPPED1
35,NIPSNAP1,DCN,,DPP8,HAAO,SYNPO2,,GFPT1
36,MCM5,ADD1,,RDH14,SERPIND1,NES,,SPINT2
37,FBL,RPS3A,,APCS,DNAJB2,TNS2,,CDYL
38,RNASET2,PARP1,,CFHR1,PPM1F,PRPH,,DNTTIP1
39,KRI1,NID1,,MRGPRF,GNA11,LAMA5,,MFSD6
40,TIMM50,EHBP1L1,,WNT4,APOC1,BCHE,,CALD1
41,MSH2,RBM25,,SAE1,NIBAN1,CAVIN3,,MRRF
42,MAIP1,HSPB6,,EPB41L4B,ABCA8,LIMS2,,LDHD
43,JPH2,RPN1,,TAF5,JAM3,ALDH1A2,,TOP1
44,C19orf33,CAPRIN1,,TFG,LYVE1,MYO19,,GCN1
45,ERP29,SF3B2,,METTL15,ENTPD1,LIPA,,CFL2
46,PSAT1,CPA3,,STEAP4,COL4A2,CDH13,,BMS1
47,GCN1,RBSN,,PRR3,LMOD1,CAB39L,,COL15A1
48,NEO1,AOC3,,COL6A6,PLVAP,TMOD2,,AP5M1
49,DZIP3,SND1,,LYST,MINDY2,DMD,,TOPBP1
50,NARS1,PGM5,,RTRAF,RSU1,THSD7A,,CMAS
51,RCN2,NES,,GPT,CDKN2C,MAOB,,EXOC1
52,NASP,PRPH,,HAAO,EMCN,SELP,,FASN
53,C1QBP,PPM1F,,AP2B1,PDGFRB,RRAS,,TRMT11
54,LACTB2,NAT10,,HSP90B1,ADAMTSL4,CD44,,ATG101
55,MTHFD2,RPS2,,CALU,LAMC1,CD248,,SMARCD1
56,LARP7,RPL7,,MYO19,NES,ASPA,,LRIF1
57,TSFM,SF3B1,,DCN,ME1,NIBAN1,,AFTPH
58,SHMT2,SETD7,,INTS15,MAOB,KANK2,,SLPI
59,ABRACL,ESAM,,LIPA,LAMA5,RSU1,,AAMP
60,ELOF1,RNMT,,GNA12,SRPX,COL10A1,,DHCR24
61,HSPA4,PPP1R12C,,MGRN1,SETD7,TIMP3,,RIOK1
62,TRAP1,FHL1,,PRNP,MAPRE3,APCS,,DLGAP5
63,SUPT5H,MMRN2,,TENM3,VWF,DPP8,,CLCC1
64,ILF2,EEF1G,,TMEM65,CAB39L,KRT18,,CANX
65,DDX5,SRSF9,,PXDN,CAV1,HYI,,PCYOX1
66,H1-1,KHDRBS1,,OSTM1,PODN,SORBS1,,FNDC3B
67,ASS1,CPSF6,,TMEM100,ESD,SYNC,,LSM8
68,TSPYL5,VWF,,CUEDC2,THSD7A,SRPX,,PLD2
69,POLD1,PYGM,,FAM8A1,ADGRA2,PPP1R12A,,CYP27A1
70,SARS2,LYVE1,,ANGPTL4,ANTXR2,WFS1,,AGT
71,DNMT1,ILF2,,CILP2,EHBP1L1,TUBGCP6,,DYSF
72,EBAG9,LNPK,,KMT2B,BCHE,MYLK,,SNX14
73,OGDHL,APCS,,NDUFV3,IL33,MAPRE3,,ELP2
74,UTP20,PPM1G,,,PPP1R12C,SMTN,,LAMTOR5
75,HAT1,PAICS,,,RRAS,CAP2,,SIKE1
76,HEATR1,PRKDC,,,CD44,CLASP2,,MICAL2
77,PRIM1,TMOD2,,,PPP1R12B,TNFAIP8L3,,SBF2
78,STRBP,DDX5,,,PALM,PPP1R12C,,LYVE1
79,MCTS2,PDIA6,,,LCAT,MYL9,,GYG2
80,ETFRF1,STAT5B,,,ILK,KRT8,,SPART
81,KIAA1217,GNA11,,,PRPH,EHBP1L1,,RBSN
82,CCDC6,CNOT1,,,PLAC9,KMT2B,,EIF2S3
83,NLN,SNTB2,,,ALDH1A1,OGN,,UBE2M
84,SLC25A5,SMARCA5,,,SERPINA7,DCN,,THEM6
85,RBM28,EIF4G1,,,KHDRBS1,HMCN1,,MAP7D3
86,CNPY3,RASIP1,,,APCS,TINAGL1,,DAD1
87,IRF2BPL,SYNPO2,,,ESAM,ILK,,RIPK3
88,AIFM1,DHX15,,,RBSN,TLN1,,SLC1A4
89,PUS1,NAP1L1,,,DNMBP,DNAJB2,,RIOK2
90,HSPA14,CD248,,,APOD,TPPP,,KIF1C
91,RNMT,LAMA5,,,STEAP4,LPP,,KIF2A
92,CDK1,RPL5,,,SCRN2,ADAMTSL4,,EFHD1
93,TRIM28,HMGB3,,,MRC1,HSPB6,,ATG4A
94,FEN1,CALR,,,CBX3,ABCA8,,PROCR
95,FAM136A,PRPF19,,,ARHGAP10,ITGB1,,PRKACA
96,ABHD11,COPB1,,,LNPK,CPA3,,PIK3IP1
97,FAM3C,TIMP3,,,LPAR1,APOD,,LGALS1
98,MRPL10,SYNCRIP,,,EGFR,AASS,,ALDH3A2
99,RFC4,SYNE3,,,CYBRD1,TGFB3,,RASSF7
