,Volcano Plot_p
ABRACL,1.7850677815622524
CRABP1,1.367925389564352
UBA52,1.3320326950574621
PKP2,1.3149082568533923
BCAT1,1.3052959329814202
HSPE1,1.304679935399536
IGF2BP3,1.3022149233853244
MCM3,1.2747843071298224
DPY30,1.2672689803542212
FOLR1,1.2410557656160726
C19orf33,1.2339939074870774
H1-5,1.232130468847193
RPL36AL,1.2320861281756275
PPIC,1.2197637466286566
PTTG1IP,1.1991353580893935
RFC5,1.152905998435848
NCL,1.145934740532617
HMGB3,1.1449566552039256
RPS28,1.1440727684961531
GMPS,1.1388020538076946
CBX3,1.1309403226351462
EPCAM,1.1203836079231742
CDK1,1.1192951467527725
HMGA1,1.1191278248895702
ANP32A,1.112992255511138
STMN1,1.112923374070951
CD47,1.1045567291904006
GINS2,1.0920541998560152
PLRG1,1.0810907900632434
PCNA,1.0754815468460426
PSAT1,1.0751594752706273
SLC25A13,1.0747923946947167
EIF1B,1.0734038038941638
RHBDD2,1.060992228211256
FAM136A,1.0578141772383458
VTCN1,1.054263901108448
PARP1,1.0426660627171387
PPA1,1.036560874483354
MARCKSL1,1.0332446483486002
WFDC2,1.0126218576852277
TOP2A,1.0059489825697001
ASS1,1.004227237975278
IGKC,-1.0008064552696962
SETD7,-1.0011871789283693
UBE2Q2,-1.004600612104535
PRUNE2,-1.0060165296396137
RNASE4,-1.0083405559585328
LIX1L,-1.0108812212909242
PRTN3,-1.0118040825399244
IGLV1-47,-1.0130931536241956
COL7A1,-1.0134055081300033
SPARCL1,-1.013493693399171
SORBS3,-1.0137063437837233
GPAM,-1.0155552459972372
CADM3,-1.0166600261358019
CREB3L4,-1.0186907705855985
SLC14A1,-1.019023849256739
ITGA1,-1.0195591259820247
NOSTRIN,-1.02050013570037
LDHD,-1.0238628665683915
HPGDS,-1.023938077540077
PACSIN3,-1.0247933675138385
METRNL,-1.0249641188142544
AKAP12,-1.0252852133029944
FOLR2,-1.026023633393069
CIBAR2,-1.0265810332155572
IGLV3-21,-1.0270252917296525
FLRT2,-1.027551827287345
CNTNAP1,-1.0279531525869823
BRWD3,-1.0290420438506918
IGHV3-72,-1.0296114638484808
CLU,-1.0319525740160396
C1RL,-1.0336827201904721
GYG2,-1.0345783327081046
A1BG,-1.0356972650966463
IGKV3-20,-1.0358854888120586
IGHV3OR15-7,-1.0364551671071047
IRAG1,-1.0419758598592999
HGFAC,-1.0432683654302535
IGLV2-11,-1.0445197023913664
GPX3,-1.0448551121252692
HSPG2,-1.0481348662360492
F2,-1.050350930325378
MMRN2,-1.0506706103076524
C8A,-1.052315186476877
SERPINA1,-1.0546459105451227
RNASE3,-1.0606068219226403
CA5B,-1.065702023309759
GNA11,-1.0676231932198645
GSTM3,-1.067670966708567
CCDC170,-1.0693893538825665
ITGA5,-1.0703359038028533
CROCC,-1.070927346477054
GNG12,-1.0728434009392591
FBLN5,-1.0752522855273787
PPP1R12C,-1.0771722904308418
SLCO2A1,-1.0804033858881845
ILK,-1.0818837718281564
STAT5B,-1.0850953440552744
SERPINA3,-1.0852772120205272
PECAM1,-1.0855751434954135
CETP,-1.0883774511956272
NEFL,-1.0888528556474646
RSU1,-1.0898432401163896
TSPAN4,-1.0901148778226697
IGKV3-7,-1.0956605153304977
SLC9A9,-1.0972610265040514
BAG3,-1.0989694071180878
CBR3,-1.0998074686294286
DYSF,-1.1024651972314798
CALML5,-1.1033762335825519
KLKB1,-1.1072678922187122
PRKG1,-1.1129098927123378
PALM,-1.115919685289347
HSPA12A,-1.1171657957858778
MATN2,-1.1177484429551485
LTBP4,-1.1183254822719202
PARVB,-1.1195034781803992
C7,-1.122916787763931
PPBP,-1.1297891613628392
FLNA,-1.1301350942130386
INPP5A,-1.1329696000261054
SYNE3,-1.1344874021527858
EFNA5,-1.1354067852345073
MAMDC2,-1.136523989412074
TMEM119,-1.1369043957402993
C4BPA,-1.137574957195809
CRISPLD2,-1.1395311993532375
CRMP1,-1.1412047546655595
KNG1,-1.143577660935402
IGHV4-31,-1.1448487505069054
GUCY1A2,-1.1458027206018788
AHNAK2,-1.1458423610652622
EMILIN2,-1.1460811535739492
IGLV3-19,-1.1462315724083707
APOM,-1.1472982393702538
PKLR,-1.1477810472683765
GP1BB,-1.1505338958696467
F9,-1.1509739063359197
ME1,-1.1510974100411064
GAL3ST4,-1.1522920043600198
CALHM2,-1.1529285194307528
MAPRE3,-1.1539068495094313
PDGFRA,-1.1545073525839575
PRRX1,-1.1574198400012856
CFHR5,-1.15757264384123
