,DT_score_id3,DT_score_c45,RandomForest_gini,RandomForest_entropy,AdaBoost64,LassoLinear,multi_Lasso,SVM,multi_svm,Volcano Plot_p,Volcano Plot_fold,XGboost,Lightgbm
0,MSLN,TRAM1,INHBA,PDZK1,BRMS1L,SIAE,MYOF,PAPSS2,MRPS18B,HTRA3,DHRS2,NCAM1,HK1
1,PM20D1,MSLN,MICAL2,FHL2,PRKAR2A,FMNL3,AP2A1,CXCL17,PGC,ITGBL1,CPA1,PGM2L1,STAT2
2,LAMC2,MXRA5,CNN2,MMP14,MOCS2,GLA,GLS,REG3G,PAPSS2,S100A6,CLPS,ITGAV,NCAM1
3,FN1,ANTXR1,ARPC1B,MICAL2,STAT2,PDZK1,SPATS2L,GFOD2,CYTH3,INHBA,PAIP2B,SCEL,CD55
4,IGFBP3,PLA2G1B,MMP14,P4HA1,RBMS2,PNPO,CYB5A,PGC,CXCL17,HK2,SLC43A1,ABAT,MRPS6
5,FNDC1,LAMC2,PLEC,MXRA5,FHL2,LTBP1,ALDH1A1,CYTH3,TUBB4A,SULF2,NUPR1,PRKAR2A,MRPS28
6,COL11A1,IGFBP3,LGALS3BP,PLEC,DTX3L,GSTM2,HMGN5,CD36,CD36,LGALS3BP,AMY2A,FAP,ADAMTS12
7,TRAM1,COL11A1,SAMD9,INHBA,TPPP,ALDH1A1,PDZK1,TUBB4A,GFOD2,COL3A1,CEL,PNPO,RBMS2
8,LAMA3,FN1,HK2,ARPC1B,TXNDC11,SPATS2L,ETFDH,PDE11A,PDE11A,FBLN2,CPA2,LAMC2,AASS
9,LAMB3,S100A6,P4HA1,LAMC2,LAMC2,NCAM1,WNK2,RLF,RLF,COL8A1,AMY2B,ACBD5,MXRA5
10,THBS2,LAMA3,FHL2,HK2,PLEC,PFAS,MYH9,IGHV1-69D,IGHV1-69D,MXRA5,PRSS1,SFN,CYB5A
11,PRSS1,LAMB3,COL12A1,PLOD3,MICAL2,IMUP,SULF1,DENND3,CELSR1,NNMT,PNLIP,NPY,PRKAR2A
12,ZNF185,FNDC1,LAMC2,MYO1E,PGM2L1,OSBPL3,DAG1,CELSR1,NCAM1,FAP,PNLIPRP2,ADH1A,PPP1R12A
13,LGALS3BP,THBS2,MXRA5,COL12A1,ITGAV,MICAL2,AFAP1,NCAM1,DENND3,KRT19,AQP12B,MICAL2,TPPP
14,AEBP1,KRT16,STAT2,OSBPL3,RABL6,HMGN5,PML,LAMA1,LAMA1,LTBP1,KLK1,NUMB,FAT1
15,LOXL2,LOXL2,THBS2,SAMD9,SERPINB5,PARP9,A1CF,PNPO,PNPO,CNN2,PRSS3,HK2,NDUFV2
16,KRT16,ZNF185,OSBPL3,STAT2,HBB,SULF1,STAT2,SPINK4,SPINK4,ADAMTS12,SERPINI2,HMGN5,LAMC2
17,FGL1,AEBP1,PGM2L1,THBS2,IMUP,ARPC1B,RAI14,TFF3,TFF3,FHL2,SYCN,MYO1E,ITGAV
18,PLA2G1B,LGALS3BP,MYO1E,PGM2L1,SDR16C5,STAT2,ARPC1B,REG4,REG4,S100A11,AQP8,SAMD9,PGM2L1
19,COL12A1,COL12A1,SULF1,SULF1,SULF1,MYO1E,MYO1E,MON1A,MON1A,SULF1,PLA2G1B,SULF1,SULF1
