,DT_score_c45,RandomForest_gini,AdaBoost64,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
PM20D1,1.0098614861622237,,,,,,,
EPHX1,1.0095149267162078,,,,,,,
GCAT,1.0081214447491396,,,,,,,
LAMB3,1.0073512394337962,0.004723493407151756,,,,,,
LAMC2,1.0065456700410809,0.008298176263388002,0.046875,,,,0.19179799,17.0
TRMU,1.0055400176224274,,,,,,,
LAMA3,1.0054115980122946,0.003881736637309449,,,,,,
MET,1.005399055739509,,,,,,,
PRSS2,1.0044084835659186,,,,0.006036913555358461,,,3.0
VILL,1.0028564854354662,,,,,,,
SERPINB5,1.0025184874399315,0.006636218497418254,0.015625,0.02,,0.0004432769904294861,0.057851125,3.0
S100P,1.0022073019143773,0.0036246043192908707,,,,,,
CEACAM1,1.0018287679204514,,,,,,,
SPON2,1.0015831809570235,,,,,,,
RPL23,1.0015074094038083,,,,,,,
SDCBP2,1.0012621910319501,0.0030533428243727065,,,,,,
BAIAP2,1.001134006633345,,,,,,,2.0
IGFBP3,1.0006731524612094,,,,,,,
COL11A1,1.0000639116342702,,,,,,,
GSDMB,0.9997669534285943,0.004502988527320247,0.078125,,,,0.006464541,7.0
MSLN,0.9994684857850782,,,,,,,
PIGR,0.9993049416771417,,,,,,,
LOXL2,0.9992382372186862,0.003563466785786494,,,,,,
TNS4,0.9991000866965176,,,,,,,
EPPK1,0.9990556379484197,0.007137472607323602,0.015625,,,,0.018901004,13.0
BAIAP2L1,0.9989616274946027,0.005603105281652878,,,,,,
PLOD2,0.9987900535015413,,,,,,,
S100A16,0.9984811680495431,0.00470697793440678,0.140625,0.13,,0.00036861243572667966,,6.0
RPS3,0.9983217723061133,,,,,,,
PPL,0.9981526670317281,,,,,,,
MX1,0.9981322800872352,,,,,,,
SLC16A3,0.9979648497564078,,,,,,,
ATP7B,0.9974429948870326,,,,,,,
RPL13A,0.9972566132016416,,,,,,,
PLAU,0.9971592735576625,,,,,,,
ANKRD22,0.9971561939404939,,,,,,,
MUC5B,0.99714588381267,,,,,,,
SPINT1,0.9970193558689696,,,,,,,
SDR16C5,0.9969759531287458,,,,,,,
TMEM147,0.9968159725248948,,,,,,,
KRT17,0.9964249596533397,,,,,,,
FN1,0.9963371096019555,,,,,,,
PYGB,0.9962781761897541,,,,,,,
TBC1D30,0.995953107963267,,,,,,,
RPL3,0.9959210956215336,,,,,,,
P4HA1,0.9958738204068213,0.003389526803255958,0.015625,,,,,
HK3,0.9958478869914167,,,,,,,
S100A2,0.9957450870208087,,,,,,,
IGF2BP2,0.9956835344637673,,,,,,,
SLPI,0.995671778276098,,,,,,,
SCEL,0.9956602252407216,,,,,,,
CXCL14,0.9955690940436431,,,,,,,
CDA,0.9954140082784978,,,,,,,
AEBP1,0.9953925544226504,0.0028215963720249803,,,,,,
TRIM29,0.9953311920192845,,,,,,,
LGALS3BP,0.9953252247053788,0.00391497571152654,,,,,,
ITGA3,0.9952071005850031,,,,,,,
S100A6,0.9951742470499508,0.00402080627225858,,,,,0.0103048375,
PFKP,0.994855882376122,0.0063548962875250945,,,,,,
P4HB,0.994807867197299,,,,0.004165669251520462,,,
SLC25A21,0.9947481803802601,,,,,,,
GCNT3,0.9943784250108028,,,,,,,
COL12A1,0.994095525503873,0.004594796700479477,,,,,,
LDHA,0.9940232882923229,0.005564931948509573,0.046875,,,,,3.0
ALDH1L2,0.9940028114407062,,,,,,,
ADAM9,0.9939196522833715,0.003815072373750548,,,,,,5.0
SERPINE1,0.9938744486851872,,,,,,,
HMGA2,0.9935860613410763,,,,,,,
COL17A1,0.9933607736690833,,,,,,,
EVPL,0.9932486959953561,0.006238669714663791,0.015625,,,,0.03798967,10.0
HK2,0.9929365714423966,0.007810707444957214,0.015625,,,,0.07901607,2.0
AHNAK2,0.9928619484039696,0.003421026728587046,,,,,,
INPP4B,0.9927993979502135,0.0032458256043128974,,,,,,7.0
KRT16,0.9927450790624655,,,,,,,
KIF21B,0.9926265574928893,,,,,,,
IGF2BP3,0.9923251447171932,,0.03125,,,,,
SDC1,0.9922028288295845,,,,,,,
ITGB6,0.9921743279482702,,,,,,,
GPX2,0.9919814500818068,,,,,,,
ANGPTL2,0.9917304826858995,,,,,,,
MXRA5,0.9916673547778876,0.0032249363664440945,,,,,,
MUC16,0.9914476243825573,,,,,,,
ANTXR1,0.9913129240554838,,,,,,,
ELANE,0.9912098536299432,,,,,,,
CLIC3,0.9911895358845324,,,,,,,
FABP6,0.9911307383902571,,,,,,,
FAP,0.990920682152412,,,,,,,
FGL1,0.9907043257115815,,,,,,,
AQP8,0.9906433933947162,,,,,,,
PSAT1,0.9905670844402025,,,,,,,
CRABP2,0.990363672448764,,,,,,,
CXCL5,0.9903291720339481,,,,,,,
ECM2,0.9901423578983584,,,,,,,
TNFAIP6,0.9901077797731319,,,0.02,,,,
PNLIP,0.9900281869889896,,,,,,,
THBS2,0.9894773635062948,0.0027447184705363787,,,,,,
MYH14,0.9894025349405604,0.0026771317831253004,,,,,,4.0
SFN,0.9892952007673893,0.008366553474961036,0.015625,,,,0.09246617,3.0
FLNB,0.9892757232486645,,,,,,,
CLSTN1,0.9891985396366978,,,,,,,
INF2,,0.008992013080030677,0.03125,,,,0.23195043,12.0
PGM2L1,,0.005834479126346603,,,,,,
ERO1B,,0.005724668939619885,,,,,,
PLEC,,0.005696644937777558,0.046875,,,,,
ITPR3,,0.0056698823113334,,,,,,
PARP4,,0.005137145121944754,,,,,,
TBC1D4,,0.005068950719550154,0.015625,,4.003525705092673e-05,,,4.0
NFIA,,0.004937469130839214,,0.4,0.03019267155384099,,0.0065838816,4.0
HMGN5,,0.004876917294026016,,0.25,0.019595034883991717,,,
HK1,,0.0046769220738036065,,,,,,3.0
AOX1,,0.004598675432978399,,,0.003978092966083743,,,
TATDN3,,0.004523660080162615,0.015625,0.14,0.0009535510559404338,,0.0055100946,2.0
LMO7,,0.004511804473136213,0.078125,,,,,
DAG1,,0.004406250836269233,,0.34,0.025121317014355656,,,
ADSS2,,0.004385568843109605,,,,,,
FHL2,,0.004337303509981127,0.015625,0.1,,,,
KRT19,,0.004336710574203743,,,,,,
HOGA1,,0.004322664559495523,,,,,,
PHPT1,,0.00424426944925047,,,0.008574309460069566,,,
PLOD3,,0.004187414425781839,,,,,,
WNK2,,0.004176506553375218,,0.09,0.04465451378224502,,,
MECP2,,0.004149105514901994,,0.31,0.02598179861168313,,,
CD55,,0.004092818295161372,,,,,,
OSBPL3,,0.00408171686722575,,,,,,
MICALL2,,0.004048579423488956,,,0.0037968515015449305,,,
IL1RN,,0.0040079776623701616,,0.03,,,,
LTBP1,,0.004002770707477191,0.03125,0.15,,,0.028147608,
GSTA4,,0.0038710728651113104,,,0.005339438496763807,,,
ALDH1A1,,0.003865852367339645,,,0.026384019253473216,,,
ITGA2,,0.003834627497429114,,,,,,
PDLIM4,,0.003833439573897502,,,,,0.013912897,2.0
CLIC1,,0.0037208563735561914,,,,,,
SETMAR,,0.0036839556881081764,,,,,,
HTRA3,,0.003666652605894226,0.109375,,,,0.026060462,4.0
PABPC4,,0.003662218541204248,,,0.007599499899723652,,,
MYO1E,,0.003644599224221849,,0.22,0.011286619885537849,,,2.0
SORBS2,,0.0036130378584308138,0.015625,0.29,0.019040880676460814,,,
FAM120C,,0.0035493903358915944,,0.26,0.011052413036824537,,,
AGPS,,0.0033795061021204267,,,,,,
CFTR,,0.003359177385614724,,0.25,0.017998506761299642,,,
ECHDC3,,0.003333088710191249,,,,,,
MDK,,0.003330394014968116,,,,,,
GALNT7,,0.0033102902519522243,0.03125,0.09,,0.00035824561923987523,0.0116854375,6.0
AASS,,0.003303685043031522,,,0.006783402244102198,,,
C19orf33,,0.0033014481380647513,,0.1,,0.0003830484355631116,,4.0
SEC23A,,0.0032457979846999495,,,0.007737164036555754,,,
ARPC1B,,0.003232597950540117,,,0.0009661970123439003,,0.00056461274,
CORO2A,,0.0031987936730802614,0.09375,,,,,6.0
S100A11,,0.003167536676240745,,,,,,
THBS1,,0.003162425448733437,,,,,,
MISP,,0.0030962395850126804,0.046875,0.17,,0.0004182170517292442,0.0032994114,
THNSL1,,0.0030540254523555585,,,0.0060928007474174714,,,
CPB1,,0.0029312217300210457,,,0.00777414470273498,,,
FXYD2,,0.0029097087783471393,,,0.002200320276245348,,,
GAS2,,0.002893284242810056,,,0.0005019543023470812,,,
PDZK1,,0.002891650346606778,,,0.003971890269465334,,,
COBLL1,,0.002891343653113844,,,0.026365404797430523,,,
GPT2,,0.002868826033285093,,,,,,
NFIC,,0.0027907648567191755,,0.05,0.03531655488149273,,,
NRCAM,,0.0027778840904742414,,,0.00409457555773605,,,
FAM83B,,0.0027711881968906405,,,,,0.0013874212,
