,DT_score_c45,RandomForest_gini,AdaBoost64,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
0,PM20D1,INF2,S100A16,NFIA,WNK2,NCAM1,INF2,LAMC2
1,EPHX1,SFN,HTRA3,DAG1,AP2A1,PZP,LAMC2,EPPK1
2,GCAT,LAMC2,CORO2A,MECP2,NFIC,ZNF217,SFN,BAX
3,LAMB3,HK2,LMO7,SORBS2,NFIA,UBE3A,HK2,INF2
4,LAMC2,EPPK1,GSDMB,CIRBP,ALDH1A1,TCF7L2,CEP68,EVPL
5,TRMU,SERPINB5,PLEC,FAM120C,COBLL1,WDR91,SERPINB5,PDE4DIP
6,LAMA3,PFKP,LDHA,HMGN5,MECP2,GLA,CD99,GSDMB
7,MET,EVPL,MISP,CFTR,DAG1,PPP1R1A,EVPL,INPP4B
8,PRSS2,PGM2L1,LAMC2,MYO1E,CIRBP,PDZRN3,BRD9,LACTB
9,VILL,ERO1B,IGF2BP3,NCAM1,MCCC1,METTL15,LTBP1,S100A16
10,SERPINB5,PLEC,GALNT7,PRKAR2B,HMGN5,UBD,HTRA3,CORO2A
11,S100P,ITPR3,SAMD9,MISP,SORBS2,AAK1,EPPK1,GALNT7
12,CEACAM1,BAIAP2L1,INF2,DOCK6,SERBP1,RNF170,PDLIM4,ADAM9
13,SPON2,LDHA,LTBP1,PHYHD1,CFTR,ARMC9,GALNT7,ACOT8
14,RPL23,PARP4,EVPL,LTBP1,PDIA6,MTARC1,S100A6,ASAP2
15,SDCBP2,TBC1D4,FHL2,TATDN3,HDDC3,AGR3,NFIA,HIRIP3
16,BAIAP2,NFIA,EPPK1,HMGN2,EIF4B,SERPINB5,GSDMB,MYH14
17,IGFBP3,HMGN5,SORBS2,S100A16,MYO1E,HIVEP3,IBTK,C19orf33
18,COL11A1,LAMB3,SERPINB5,MAP2,FAM120C,DOCK6,TATDN3,COL7A1
19,GSDMB,S100A16,HK2,GLA,SDF2L1,PPM1A,DPM1,TBC1D4
20,MSLN,HK1,TBC1D4,SAMD9,A1CF,PLCXD3,AARS1,NFIA
21,PIGR,AOX1,TATDN3,C19orf33,PHPT1,NFIX,MISP,DSN1
22,LOXL2,COL12A1,P4HA1,FHL2,NAA16,TRIM26,AOC1,HTRA3
23,TNS4,TATDN3,SFN,GALNT7,CPB1,POLA1,GLA,ITGA6
24,EPPK1,LMO7,,WNK2,SEC23A,IMPDH1,KANK4,ABCA8
