,Volcano Plot_p
S100A2,2.848698623667854
S100P,2.292598334451818
PSCA,2.0426741084659987
KRT6A,2.0316324736709763
TRIM29,1.9653739696467063
SERPINB5,1.9255512886228872
CLDN18,1.9251794669731708
LAMC2,1.8958426953696188
THBS1,1.8890551513403695
SFN,1.8749625597038035
SDR16C5,1.8413374881216353
SERPINB3,1.837056327642047
KRT17,1.7652988539026497
KRT5,1.7638352229172896
THBS2,1.7601313445717643
CXCL14,1.7229630318606985
COL17A1,1.7172672985658193
FHL2,1.7092368907789304
LY6D,1.701543003668749
SPRR3,1.6990032468125076
TFF1,1.6974388650069037
IGF2BP3,1.6918751813444988
WFDC2,1.6637121095965222
SPON2,1.6634689412049029
IL1RN,1.6603294730369367
SLPI,1.660054749144435
MUC5B,1.6533214501097968
KRT16,1.6494138521754682
MSLN,1.6419663283865433
GSDMB,1.6326695338606758
LAMB3,1.6097352991939786
LOXL2,1.6067417809586308
SCEL,1.606720308304994
COMP,1.6000307816493826
LAMA3,1.5957570434434836
TSPAN1,1.5916067238394092
CD55,1.5833527509458918
INHBA,1.5442310841823288
CTSE,1.5341585741260482
PLOD2,1.5200348298111215
CRABP2,1.5199332828855383
COL12A1,1.5147821479413837
COL11A1,1.512603378038307
KRT13,1.5056538614040045
MDK,1.5055376699859695
CTHRC1,1.4810728309966692
SLC44A4,1.4784652021824685
SULF1,1.4778584660546041
KRT14,1.4629633438497927
MFAP4,1.4628155152298603
S100A6,1.460961601342485
S100A11,1.4559306062113857
KRT19,1.455167021577947
DMBT1,1.4495461162113845
GCNT3,1.4335357784100735
ITGB6,1.4293716200848436
TNFAIP6,1.4158556130067832
PLAU,1.4115170617656578
CLIC3,1.4057481498809015
GPRC5A,1.4000793718396558
CAMP,1.3985724004320998
MX1,1.3908267963119423
TNC,1.3836530852524735
ANKRD22,1.3829037579394925
HTRA3,1.3813030617198565
HK2,1.369179920005531
DEFA3,1.3623248623766884
S100A14,1.3609822063130614
LYPD3,1.3595448834092414
C19orf33,1.3568659343967633
FN1,1.3547472011033033
IGFBP3,1.3523177371464932
IGFBP7,1.3336747013301218
PIGR,1.3279893604606858
CYP2S1,1.326652876869797
BPIFB1,1.3253889995690697
TNS4,1.3249932975970766
ANGPTL2,1.3219357140948542
DHCR24,1.3180250390352326
ANXA10,1.3155933777023734
KLK7,1.3130484626531547
SEMG2,1.3119978200917755
HMGA2,1.3114543606724054
VCAN,1.3104881622734663
OAS2,1.303234008109313
MMP12,1.3018246794811827
P4HA1,1.297704692223342
MXRA5,1.2944205452755608
CEACAM6,1.2919817419102457
LECT2,1.2838713725766535
SERPINE1,1.2778166884491422
MMP7,1.2768253895630794
AEBP1,1.272259604236827
AHNAK2,1.2714450177874774
ANXA8,1.2705650989147408
POSTN,1.2703820523444531
S100A8,1.2699578227390322
SDC1,1.267635549957915
ARMC5,1.2655022263902602
CXCL5,1.2608255773115848
CEACAM1,1.2602979110631392
PRELP,1.2582156211523576
MUC16,1.2535239182014444
MUC1,1.2533727705649205
CEACAM5,1.25301279373805
SDCBP2,1.2516515730157456
PADI1,1.2468808949811234
A2ML1,1.2458405578419955
EFEMP1,1.2444603411094908
OCIAD2,1.2400108303379085
SFRP2,1.2379165045259555
HAPLN1,1.2367829385406135
MISP,1.2274496726368376
LGALS3BP,1.2206409923703752
DHRS9,1.2189182128687726
FAM3D,1.21520879008846
F3,1.2136127020632537
CNN2,1.2095466620629653
IGKV3-20,1.2089772687092302
GREM1,1.2083221860144258
ARPC4,1.2066463377477623
SPRR1B,1.2030416385449707
S100A4,1.199198042161122
HTRA1,1.1982344846923831
CEACAM7,1.1933011401168165
LITAF,1.1909328434903332
ANO1,1.1903914744043007
PLAT,1.1885939290751582
BCAS1,1.1843352235490374
PLIN2,1.1834716027248666
MUC13,1.1833578639016105
C1QTNF6,1.1810588809577878
TGFB2,1.1794720420859472
ANXA8L1,1.1714835114321727
MMP1,1.171097783923918
SLC16A3,1.1705533553343042
C15orf48,1.1702315895336075
CCDC80,1.1668597529056994
CDA,1.1666143379643197
ITGBL1,1.1657049767709116
ITGA2,1.1646251042060511
MFAP2,1.1627469955196028
NCEH1,1.161324772140955
CALB2,1.159695029547866
IGLV5-45,1.1563748404832794
OMD,1.1541327371424654
EFEMP2,1.1540607100546945
NPR3,1.1522994807344131
GALNT5,1.1474521705308205
ISG15,1.1445195703132802
EPPK1,1.1403856974540738
COL10A1,1.1403458625136231
DNASE2,1.1362430572358735
MATN3,1.1361152294573522
HK3,1.1360181592729661
PTTG1IP,1.1326752758518943
ADAMTS12,1.1324597608607718
GPX3,1.1312931361610403
LTBP1,1.128804456895274
AGR2,1.1268121297987965
MFSD10,1.1227972748395811
EVPL,1.119056300700119
KRT7,1.1184019730591817
