,method,source,native,parents,p_value,description,intersection_size
0,DT_score_c45,GO:BP,GO:0044281,['GO:0008152'],1.8828338976045257e-09,"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]",33
1,DT_score_c45,WP,WP:WP4018,['WP:000000'],3.4512914361773335e-09,Clear cell renal cell carcinoma pathways,11
2,DT_score_c45,GO:CC,GO:0012505,['GO:0110165'],1.0004419286015982e-08,"""A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."" [GOC:lh]",51
3,DT_score_c45,GO:BP,GO:0009141,['GO:0006753'],4.1127121942306734e-08,"""The chemical reactions and pathways involving a nucleoside triphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",14
4,DT_score_c45,GO:CC,GO:0005737,"['GO:0005622', 'GO:0110165']",6.608912617687165e-08,"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",84
5,DT_score_c45,GO:CC,GO:0016020,['GO:0110165'],1.3251357994369182e-07,"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]",74
6,DT_score_c45,GO:CC,GO:0005783,"['GO:0005737', 'GO:0012505', 'GO:0043231']",1.522036058157796e-07,"""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]",31
7,DT_score_c45,GO:BP,GO:0009205,"['GO:0009144', 'GO:0009199']",1.9115970784451567e-07,"""The chemical reactions and pathways involving purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",13
8,DT_score_c45,GO:MF,GO:0016491,['GO:0003824'],2.5353518731549943e-07,"""Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."" [GOC:go_curators]",20
9,DT_score_c45,GO:BP,GO:0009144,['GO:0009141'],2.704714838992715e-07,"""The chemical reactions and pathways involving purine nucleoside triphosphate, a compound consisting of a purine base linked to a ribose or deoxyribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",13
