,DT_score_c45,RandomForest_gini,AdaBoost128,LassoLinear,multi_Lasso,SVM,XGboost
0,TJP3,TJP3,PRDX4,HADH,HSPA2,UMOD,PFKP
1,CMC1,PRDX4,,FBLN5,MIF,HBD,LARS2
2,PYGL,CMC1,,COL14A1,PFKP,TNC,PSMD10
3,NDUFA10,DPP9,,COL18A1,COX6B1,PGK1,TJP3
4,TMEM243,SPTBN2,,NDRG1,NDUFA4,BGN,PYGL
5,HAPLN1,TRADD,,DSTN,TINAG,FN1,RECQL
6,NDUFA6,PARD3B,,LASP1,BDH2,KRT8,COL4A4
7,TRADD,AIF1L,,ECH1,HADH,PKM,
8,MTARC2,PSMB9,,FHL2,MYH10,VIM,
9,GJB1,PLOD3,,MYH10,PFN1,LDHA,
10,EGFR,PSMB8,,TINAG,ADH1C,GAPDH,
11,L1CAM,ERO1A,,ASS1,UMOD,ANXA4,
12,METTL26,PYGL,,LGALS4,COL18A1,ENO1,
13,NCEH1,PFKFB2,,FN1,WFDC2,CNDP2,
14,GBP5,MPP7,,ALDH6A1,LDHB,PRDX2,
15,NDUFS3,DOCK4,,COL6A3,GPX3,COL18A1,
16,NT5DC3,PFKP,,S100A6,PGAM1,KRT19,
17,SLC22A8,CNP,,VWF,KRT7,FABP7,
18,PGK2,ANXA4,,UCHL1,SLC4A1,TPI1,
19,MGAM,NDUFS5,,PEPD,IDH2,HSPB1,
20,PRDX4,PDK1,,ECHDC3,ACSF2,ASS1,
21,NDUFB9,HK2,,LGALS3,TYMP,GPX3,
22,TAPBP,EPB41L5,,IDH1,SPTB,KRT18,
23,PPIP5K2,NCOR2,,MME,ASS1,S100A6,
24,ADPRS,GPD1L,,ANXA1,F9,ALDH1A1,
25,FLT1,ACLY,,COX6B1,COL14A1,ANXA1,
26,PLOD2,LLGL2,,UMOD,NDRG1,UCHL1,
27,NNMT,GGH,,APCS,ENO2,PFKP,
28,P4HA2,IKBIP,,MSN,ABAT,NDRG1,
29,YWHAG,P4HA1,,DDC,TINAGL1,CRYAB,
30,ACLY,PDHA1,,ANXA2,GAPDH,PLIN2,
31,PHKB,EGFR,,NDUFA4L2,GGH,COL14A1,
32,SPATA18,NDUFA4,,ARHGDIB,POSTN,IGHM,
33,HSD3B7,IPO9,,ABAT,ATP5F1B,APOA4,
34,TMEM87A,TPD52L2,,CNDP2,PIGR,ALDOB,
35,CALCRL,PSMD10,,KRT19,ADH1B,HP,
36,NDUFB11,KIF13B,,IGHG4,ATP1B1,GSTM3,
37,SEMA5B,NDUFV1,,CP,GPI,LGALS1,
38,NDUFA8,SIAE,,TAGLN,GSTM3,PIGR,
39,CD70,NDUFA3,,HBD,MVP,F9,
40,MICAL3,PLEKHA2,,LDHA,CKB,TYMP,
41,PPAT,PSMB10,,CKB,LGALS3,COX6B1,
42,SCGN,QARS1,,ACSM2A,UCHL1,FGA,
43,GBP1,NDUFA8,,DCN,CNDP2,MFAP4,
44,HPD,COX6B1,,HMGCS2,LDHA,TAGLN2,
45,LPGAT1,LARS2,,GSTM3,NHERF1,LDHB,
46,P4HB,GIT2,,GATM,VIM,GATM,
47,LOX,NUDT9,,AHNAK,ALDH6A1,SLC4A1,
48,ADD2,LDHA,,OGN,HBD,TINAG,
49,ERO1A,NDUFA4L2,,CAVIN1,PRDX2,BDH2,
50,SLC2A1,COLGALT1,,SCARF2,FN1,TAGLN,
51,HK2,NOL3,,PCK2,P4HB,TPM4,
52,GRAMD4,P4HB,,ALDOB,MT-CO2,P4HB,
53,LGALS3,SLC16A3,,MFAP4,PEPD,NDUFA4L2,
54,LPCAT1,NDUFA10,,S100A2,TPM4,LGALS3,
55,MYDGF,EHBP1L1,,LMNA,DCN,NPC2,
56,PLIN2,NUDCD3,,PRDX2,ACLY,FBLN5,
57,TBC1D9B,NDUFS4,,ACAT1,SUCLG2,ALDH6A1,
58,DPEP1,ICAM1,,HP,ANXA4,OGN,
59,APOL2,PLCL1,,FGA,PLIN2,TKT,
60,GEMIN5,L1CAM,,GAPDH,LGALS1,IGHG2,
61,DIAPH2,NDUFA12,,PGK1,ANXA1,SCARF2,
62,DIAPH1,NMNAT1,,TGFBI,PKM,APOH,
63,HLA-F,COL4A4,,ALDH1A1,TAGLN,ECHS1,
64,PFKP,ACP3,,FTL,NNMT,NDUFA4,
65,RIOK2,FHIT,,PTGR1,BLVRB,WFDC2,
66,NDUFB4,SIGIRR,,GC,ACAT1,ANXA2,
67,DCTPP1,TSR1,,IGKC,APOA2,ADIRF,
68,VEGFA,NDUFS7,,HSPE1,TPI1,PEBP1,
69,HLA-DRA,PAPLN,,VIM,ATP5F1A,FHL2,
70,MGAT1,WDR48,,SERPINA1,S100A6,AMBP,
71,CD93,NDUFA6,,A2M,FABP1,EHD2,
72,PRKAR2B,NDUFS1,,FABP5,CALB1,HSPA2,
73,HSPA13,PKM,,ENO1,NDUFA4L2,NHERF1,
74,ANKRD13A,TNIP1,,TGM2,APOA1,TINAGL1,
75,DOCK4,SUOX,,ANXA4,PGK1,GPI,
76,ITGAX,MT1X,,TAGLN2,HIBCH,IGHG4,
77,LRRK2,NDUFS6,,S100A4,ALDH4A1,FBLN1,
78,CA9,COA5,,ALDH4A1,ALDOB,BLVRB,
79,KIF2A,ENO2,,TPI1,TGFBI,SLPI,
80,ANGPT2,AP1M2,,LGALS1,LUM,LAD1,
81,TAP1,NDUFS3,,PKM,ECHS1,GGH,
82,XPOT,MT1G,,PLIN2,NPC2,DCN,
83,GAPDH,CDK18,,AKR1B1,KRT19,HADH,
84,RCN1,NDRG1,,DHRS4,HSPB1,SCGN,
85,SLC9A9,NDUFA2,,IGHG1,ALDH1A1,DCXR,
86,PLEKHA2,EPB41L1,,FABP7,PEBP1,LASP1,
87,FAM114A2,TINAG,,MT-CO2,ENO1,PEPD,
88,ALDOC,GLB1,,H1-0,TAGLN2,NNMT,
89,C19orf33,SMYD2,,PRDX6,ATP1A1,ACLY,
90,AAR2,NDUFS8,,BHMT,FABP7,ACAT1,
91,USP2,DHX30,,ACAA2,FGA,MIF,
92,OAS3,LMO7,,IGHA1,KRT8,IGHG1,
93,CYP4A11,RIC8A,,IGHM,GATM,CAVIN1,
94,TXNDC12,IFI35,,APOA4,FTL,ENO2,
95,UMOD,TYMP,,TYMP,FGB,S100A2,
96,TBC1D2,SH3GLB1,,GPI,CRYAB,TPM2,
97,IFI35,BCR,,NNMT,ANXA2,PDZK1,
98,IDO1,FAM169A,,IGHG2,HP,HSPA9,
99,ERGIC1,AGMAT,,APOC1,AMBP,ABAT,
