,method,source,native,parents,p_value,description,intersection_size
0,DT_score_c45,GO:CC,GO:0005737,"['GO:0005622', 'GO:0110165']",4.535383487127288e-08,"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",85
1,DT_score_c45,GO:BP,GO:0044281,['GO:0008152'],3.1568374325502897e-07,"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]",30
2,DT_score_c45,GO:BP,GO:0055086,"['GO:0006139', 'GO:0044281']",1.831682881733413e-05,"""The cellular chemical reactions and pathways involving a nucleobase-containing small molecule: a nucleobase, a nucleoside, or a nucleotide."" [GOC:vw]",17
3,DT_score_c45,GO:BP,GO:0009117,['GO:0006753'],0.00016817398547545637,"""The chemical reactions and pathways involving a nucleotide, a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the glycose moiety; may be mono-, di- or triphosphate; this definition includes cyclic nucleotides (nucleoside cyclic phosphates)."" [GOC:ma]",15
4,DT_score_c45,GO:BP,GO:0006091,['GO:0044237'],0.0001695101983665598,"""The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances."" [GOC:jl]",14
5,DT_score_c45,GO:BP,GO:0006753,"['GO:0006796', 'GO:0019637', 'GO:0055086']",0.00019972702727139081,"""The chemical reactions and pathways involving any phosphorylated nucleoside."" [GOC:mah]",15
6,DT_score_c45,GO:CC,GO:0016323,"['GO:0009925', 'GO:0098590']",0.0005293503823548068,"""The region of the plasma membrane that includes the basal end and sides of the cell. Often used in reference to animal polarized epithelial membranes, where the basal membrane is the part attached to the extracellular matrix, or in plant cells, where the basal membrane is defined with respect to the zygotic axis."" [GOC:go_curators]",9
7,DT_score_c45,GO:CC,GO:0005829,"['GO:0005737', 'GO:0110165']",0.0007083607017595915,"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]",46
8,DT_score_c45,WP,WP:WP1946,['WP:000000'],0.0007174394390323959,Cori cycle,4
9,DT_score_c45,GO:BP,GO:0070887,"['GO:0042221', 'GO:0051716']",0.0007553539128653699,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",31
10,DT_score_c45,GO:CC,GO:0016020,['GO:0110165'],0.0009123450494346258,"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]",67
11,DT_score_c45,GO:BP,GO:0022411,['GO:0016043'],0.0014371724292743628,"""A cellular process that results in the breakdown of a cellular component."" [GOC:isa_complete]",13
12,DT_score_c45,GO:CC,GO:0009925,"['GO:0045178', 'GO:0098590']",0.0014687301543821762,"""The region of the plasma membrane located at the basal end of the cell. Often used in reference to animal polarized epithelial membranes, where the basal membrane is the part attached to the extracellular matrix, or in plant cells, where the basal membrane is defined with respect to the zygotic axis."" [GOC:go_curators]",9
13,DT_score_c45,GO:BP,GO:0006163,"['GO:0009117', 'GO:0072521']",0.001974029849050195,"""The chemical reactions and pathways involving a purine nucleotide, a compound consisting of nucleoside (a purine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]",13
14,DT_score_c45,GO:BP,GO:0042221,['GO:0050896'],0.0023428043972514357,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",38
15,DT_score_c45,GO:CC,GO:0045178,['GO:0110165'],0.002488594947806137,"""The region of a cell situated near the base. For example, in a polarized epithelial cell, the basal surface rests on the basal lamina that separates the epithelium from other tissue."" [GOC:mah, ISBN:0815316194]",9
16,DT_score_c45,GO:CC,GO:0031090,"['GO:0016020', 'GO:0043227']",0.0026405596346234243,"""A membrane that is one of the two lipid bilayers of an organelle envelope or the outermost membrane of single membrane bound organelle."" [GOC:dos, GOC:mah]",35
17,DT_score_c45,WP,WP:WP5211,['WP:000000'],0.0026539370256613358,Glucose metabolism in triple negative breast cancer cells,3
18,DT_score_c45,GO:MF,GO:0003824,['GO:0003674'],0.002977672164709762,"""Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."" [GOC:vw, ISBN:0198506732]",48
19,DT_score_c45,GO:MF,GO:0042802,['GO:0005515'],0.0030177906864876304,"""Binding to an identical protein or proteins."" [GOC:jl]",26
20,DT_score_c45,GO:BP,GO:0072521,"['GO:0006725', 'GO:0034641', 'GO:0046483', 'GO:1901360', 'GO:1901564']",0.003542536566936355,"""The chemical reactions and pathways involving a purine-containing compound, i.e. any compound that contains purine or a formal derivative thereof."" [GOC:mah]",13
21,DT_score_c45,GO:MF,GO:0016491,['GO:0003824'],0.005961131513045413,"""Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."" [GOC:go_curators]",14
22,DT_score_c45,GO:BP,GO:0019637,"['GO:0006793', 'GO:0071704']",0.007377427765534669,"""The chemical reactions and pathways involving organophosphates, any phosphate-containing organic compound."" [ISBN:0198506732]",17
