,DT_score_c45,RandomForest_gini,AdaBoost128,LassoLinear,multi_Lasso,SVM,XGboost
TRADD,0.6810522675220276,0.008976097050519443,,,,,0.081246495
DOCK4,0.6810522675220276,0.008236413773142616,1.0,,,,
IPO9,0.6810522675220276,0.00864522112592617,,,,,
PFKP,0.680515506383722,0.005875608746258306,,,0.019122988926901858,0.0024274598521909726,
EGFR,0.6800356634515443,0.004641217416299538,,,,,
NDUFV1,0.6795609460499682,0.007711335378139404,,,,,
SPTBN2,0.6764146499335255,0.006923894997911955,,,,,
NDUFA8,0.6762986253510593,0.005592081284277879,,,,,
ALDH4A1,0.6760636886116574,,,,0.006670894664753959,,
LNPK,0.6748589154287031,0.004543769105394409,,,,,
SLC22A8,0.6743105768466338,,,,,,
CNP,0.6728711015211534,0.007003400342970957,,,,,
NDUFB9,0.6726886908421884,,,,,,
GBP5,0.6719382911467713,,,,,,
NFATC3,0.670720319444182,,,,,,
MGAM,0.6704614426943737,,,,,,
ADPRS,0.6703473777267007,,,,,,
TAP1,0.6702692866877671,0.004699784191367714,,,,,
TPI1,0.6696997402846308,,,1.185995984976947e-06,0.010106154663018209,0.0025524555161979376,
NCEH1,0.6690351843000899,,,,,,
POLR3GL,0.6689411555488276,,,,,,
FTH1,0.6685506871847078,,,,,,
HSD3B7,0.6684344595935133,,,,,,
GBP1,0.667862158548339,,,,,,
GFPT1,0.667856585270773,,,,,,
HAPLN1,0.6676982371990816,,,,,,
PGK1,0.667456576461214,,,0.005578913039794916,0.0045046375606924765,0.004505388010821358,
ADGRF1,0.667405976000407,,,,,,
PHKB,0.6673798056544648,0.005165752485944765,,,,,
SCGN,0.6671111988116054,,,,,,
MICAL3,0.6670410543338359,,,,,,
C19orf33,0.6664292009206733,,,,,,
VSNL1,0.6661171207003829,,,,,,
NDRG1,0.6658001349730682,,,0.018200746554382887,0.022533118192243767,0.0022467628184376157,
GCH1,0.6657943331010236,,,,,,
NT5DC3,0.6655985839263757,0.006239863498094552,,,,,
FUNDC1,0.6654884193520133,,,,,,
LPIN1,0.6654828674753335,,,,,,
GBP4,0.6654346025392002,,,,,,
NNMT,0.6653678162888788,,,,0.0018704705731240113,,
SFRP4,0.6652717476043682,,,,,,
EPB41,0.6652424468954342,,,,,,
PTGR3,0.6652417109953104,,,,,,
SLC2A8,0.6649557534637032,,,,,,
HDAC11,0.6649478654744793,,,,,,
TCAIM,0.664897846706539,,,,,,
SLC2A1,0.6647350760296918,,,,,,
FAM114A2,0.6645550536629845,,,,,,
KIAA1210,0.6644337896327904,,,,,,
IGHV3-74,0.6644087022016334,,,,,,
PLA2R1,0.6643810246031328,,,,,,
IRAK3,0.6643342189640958,,,,,,
COQ10A,0.6642110065522184,,,,,,
SPI1,0.6641192112410046,,,,,,
UAP1,0.6640890558637736,,,,,,
GSDME,0.6640755896751033,,,,,,
PRPSAP2,0.6639901998979837,,,,,,
