,DT_score_c45,RandomForest_gini,AdaBoost128,LassoLinear,multi_Lasso,SVM,XGboost
0,TRADD,SUOX,DOCK4,COL18A1,ADH1C,UMOD,PFDN4
1,DOCK4,TRADD,,FBLN5,COX6B1,HBD,WWC3
2,IPO9,PDK1,,HADH,HADH,PGK1,MYO9B
3,PFKP,IPO9,,COL14A1,ADH1B,FN1,TRADD
4,EGFR,DPP9,,FHL2,NDUFA4,BGN,ITGAL
5,NDUFV1,DOCK4,,DSTN,F9,KRT19,PYGL
6,SPTBN2,GPD1L,,LASP1,LDHB,TNC,SCARB1
7,NDUFA8,NDUFV1,,ALDH6A1,ACSF2,KRT8,
8,ALDH4A1,AIF1L,,NDRG1,GPX3,VIM,
9,LNPK,CNP,,ECH1,UMOD,LDHA,
10,SLC22A8,GGH,,ASS1,MIF,GAPDH,
11,CNP,SPTBN2,,DBI,ACLY,PKM,
12,NDUFB9,PLOD3,,LGALS4,ATP1B1,S100A6,
13,GBP5,PDHA1,,KRT19,ABAT,COL18A1,
14,NFATC3,BRIX1,,MSN,IDH2,ANXA4,
15,MGAM,PYGL,,ECHDC3,NDRG1,CNDP2,
16,ADPRS,ERO1A,,UMOD,NDUFA4L2,ENO1,
17,TAP1,NOL3,,S100A6,ASS1,FABP7,
18,TPI1,COX6B1,,GAPDH,PFKP,PRDX2,
19,NCEH1,NT5DC3,,FN1,NHERF1,ANXA1,
20,POLR3GL,PKN1,,PDZK1,TPM4,HSPB1,
21,FTH1,WWC3,,UCHL1,SLC4A1,HP,
22,HSD3B7,PWP1,,LGALS3,SPTB,GPX3,
23,GBP1,NDUFA10,,CP,GGH,TPI1,
24,GFPT1,PFKP,,ANXA1,PIGR,KRT18,
25,HAPLN1,NDUFS5,,CAVIN1,PGAM1,PFKP,
26,PGK1,PSMB9,,CCNC,BLVRB,ASS1,
27,ADGRF1,NDUFA8,,GC,ATP5F1A,CRYAB,
28,PHKB,PPAT,,APOC1,KRT7,PLIN2,
29,SCGN,PFDN4,,FGA,ALDH6A1,UCHL1,
30,MICAL3,HK2,,TAGLN2,LGALS3,LGALS1,
31,C19orf33,P4HA1,,PLIN2,SUCLG2,TAGLN2,
32,VSNL1,SHC1,,CTSC,ATP1A1,NDRG1,
33,NDRG1,LRRK2,,PGK1,BDH2,FGA,
34,GCH1,GIT2,,IGHG4,ECHS1,GSTM3,
35,NT5DC3,RASA1,,HBD,LDHA,POSTN,
36,FUNDC1,PHKB,,PRELP,PDZK1,COL14A1,
37,LPIN1,ABI3,,PTGR1,S100A6,LUM,
38,GBP4,CMC1,,REEP5,ENO2,F9,
39,NNMT,NDUFA4,,APCS,TPI1,ALDH1A1,
40,SFRP4,NDUFS7,,GSTM3,GSTM3,IGHM,
41,EPB41,LPCAT1,,ALDOB,MT-CO2,IGHG4,
42,PTGR3,DDX56,,ANXA4,FN1,TYMP,
43,SLC2A8,RAP2B,,IDH1,HBD,COX6B1,
44,HDAC11,RRP1,,FGB,VIM,TAGLN,
45,TCAIM,TAP1,,CMBL,PRDX2,GATM,
46,SLC2A1,PRDX4,,COX6B1,GAPDH,APOA4,
47,FAM114A2,PLEKHA2,,PKM,CALB1,LDHB,
48,KIAA1210,EGFR,,BHMT,COL14A1,PIGR,
49,IGHV3-74,NEK6,,HP,ANXA1,ALDOB,
50,PLA2R1,EBNA1BP2,,ANXA2,ALDH4A1,AKR1B1,
51,IRAK3,LNPK,,PRDX2,WFDC2,LGALS3,
52,COQ10A,MYO9B,,SCARF2,PEBP1,IGHG2,
53,SPI1,NDUFS4,,LGALS1,DCN,BDH2,
54,UAP1,NDUFA6,,IGHG1,ACAT1,NDUFA4L2,
55,GSDME,NDUFS8,,ACSM2A,LUM,MFAP4,
56,PRPSAP2,CEP170,,HMGCS2,ALDOB,TPM4,
57,PLXNC1,CDK18,,FABP1,ANXA4,HSPA2,
58,N4BP2L1,NDUFS6,,S100A11,PGK1,APOH,
59,CAMKK1,ITGAX,,LMNA,TINAGL1,P4HB,
60,MXRA5,EHBP1L1,,CLU,CNDP2,NDUFA4,
61,LZTS3,KRR1,,NDUFA4L2,CRYAB,PEBP1,
62,RPIA,SLC16A3,,TINAG,P4HB,ANXA2,
63,SEC24A,PLCL1,,P4HB,GATM,FBLN5,
64,SLC43A2,MTCL1,,ALDH1A1,KRT8,AMBP,
65,P4HB,NDUFA12,,CNDP2,PKM,THBS1,
66,CUTC,VPS39,,HSPB1,FTL,TKT,
67,CAV1,FHIT,,COTL1,KRT19,PRELP,
68,MTRF1L,PGK2,,AKR1B1,BHMT,WFDC2,
69,FMO5,ARHGAP26,,LDHA,AGMAT,SLC4A1,
70,PFDN4,COLGALT1,,TGFBI,TINAG,TINAGL1,
71,PNCK,GYS1,,FTL,MVP,TINAG,
72,HPCAL1,DIP2B,,SERPINA1,FABP1,NPC2,
73,SEMA5B,ACBD6,,DHRS4,POSTN,ECHS1,
74,ABCC3,NCOR2,,VIM,TYMP,GPI,
75,PLIN2,PDCD11,,DCN,S100A1,FHL2,
76,MGAT5B,MCM6,,FABP7,GPI,FBLN1,
77,SLC14A1,GUK1,,TNC,NPC2,SLPI,
78,GABARAP,GNE,,IGHG3,HP,PPL,
79,CD53,RIC8A,,DDC,ENO1,HADH,
80,BPGM,P4HA2,,KRT8,HSPB1,MIF,
81,CAPN6,NDUFS3,,CBR1,PLIN2,ACLY,
82,ALG8,NDUFA4L2,,PEPD,LGALS1,IGHG1,
83,STING1,ENO2,,IGKC,PEPD,HSPA9,
84,CHMP3,METTL26,,EZR,ANXA2,LASP1,
85,OAS2,TLR3,,TLR10,APOA2,HSPG2,
86,ASNS,DDB2,,CRYAB,FABP7,GGH,
87,SUOX,GPX3,,MME,NNMT,NHERF1,
88,GSAP,OGA,,AGMAT,FGA,BLVRB,
89,LITAF,NDUFA2,,TGM2,HIBCH,SCARF2,
90,PHYKPL,RAPGEF1,,IGHM,AIFM1,KRT7,
91,PDK1,PARVG,,PCK2,UCHL1,EHD2,
92,BCL3,DDX27,,HSPE1,KRT18,LAD1,
93,DCTPP1,NDUFS1,,SERPINA3,COL18A1,PTMA,
94,C5AR1,NUDCD3,,GATM,MYH10,OGN,
95,SPATA18,PALD1,,AHNAK,GM2A,IGHG3,
96,SVBP,CASP8,,IGHA1,ALDH1A1,ADIRF,
97,NDUFS1,NDUFS2,,GRAMD1A,APOA1,ALDH6A1,
98,LTC4S,PSMD10,,TYMP,TNC,IDH2,
99,HSPA2,RASAL3,,TPI1,PFN1,NID1,
