,DT_score_c45,RandomForest_gini,AdaBoost128,LassoLinear,multi_Lasso,SVM,XGboost
0,DPP9,SUOX,EBNA1BP2,COL18A1,ADH1C,UMOD,WWC3
1,IPO9,PWP1,,FBLN5,COX6B1,HBD,TBXAS1
2,TRADD,TRADD,,HADH,HADH,TNC,P4HA2
3,DOCK4,PDK1,,COL14A1,ADH1B,BGN,TRADD
4,PFKP,DOCK4,,FHL2,NDUFA4,PGK1,NUDCD3
5,EGFR,EBNA1BP2,,ALDH6A1,F9,FN1,PFDN4
6,NDUFV1,BRIX1,,DSTN,LDHB,KRT19,ITGAL
7,CDK18,IPO9,,LASP1,ACSF2,VIM,RRP15
8,SPTBN2,SHC1,,ECH1,GPX3,KRT8,PIK3C3
9,ALDH4A1,DPP9,,NDRG1,UMOD,GAPDH,
10,SLC22A8,PLOD3,,ASS1,MIF,LDHA,
11,LNPK,ITGAX,,ECHDC3,ACLY,S100A6,
12,NDUFA8,NDUFV1,,MSN,ABAT,PKM,
13,LRRK2,GGH,,LGALS4,ATP1B1,ENO1,
14,C19orf33,SPTBN2,,KRT19,IDH2,COL18A1,
15,HAPLN1,PFDN4,,UMOD,NDRG1,ANXA4,
16,ENPP3,VPS39,,DBI,NDUFA4L2,CNDP2,
17,NDUFB9,GPD1L,,PDZK1,ASS1,FABP7,
18,MGAM,AIF1L,,S100A6,PFKP,PRDX2,
19,TPI1,CNP,,GAPDH,TPM4,HSPB1,
20,PRPS1,PPAT,,LGALS3,NHERF1,TAGLN2,
21,STAT2,PYGL,,FN1,BLVRB,TPI1,
22,GFPT1,IFIH1,,UCHL1,SLC4A1,GPX3,
23,RPIA,ERO1A,,ANXA1,SPTB,ANXA1,
24,FTH1,NEK6,,CP,PGAM1,UCHL1,
25,GBP5,PDHA1,,CAVIN1,KRT7,CRYAB,
26,HSD3B7,COX6B1,,TAGLN2,PIGR,PFKP,
27,DDX54,P4HA2,,COX6B1,GGH,ASS1,
28,NCEH1,PIK3C3,,GC,ATP5F1A,LGALS1,
29,HBE1,PPIP5K2,,FGA,ALDH6A1,IGHM,
30,GCLM,NOP16,,PLIN2,LGALS3,KRT18,
31,PGK1,ACBD6,,PRELP,ATP1A1,HP,
32,MCM7,NCOR2,,APOC1,SUCLG2,NDRG1,
33,GBP1,NOL3,,IGHG4,ECHS1,FGA,
34,GOLGA3,NDUFA10,,HBD,BDH2,GSTM3,
35,SCGN,PFKP,,GSTM3,LDHA,APOA4,
36,NT5DC3,NDUFS5,,PGK1,PDZK1,PLIN2,
37,ABCC3,RRP1,,IDH1,S100A6,COL14A1,
38,ITGAL,RIC8A,,APCS,ENO2,ALDH1A1,
39,MICAL3,SLC16A3,,REEP5,TPI1,LUM,
