,method,source,native,parents,p_value,description,intersection_size
0,DT_score_c45,GO:BP,GO:0044281,['GO:0008152'],8.869284190248356e-17,"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]",42
1,DT_score_c45,GO:BP,GO:0009141,['GO:0006753'],3.3710358878699024e-14,"""The chemical reactions and pathways involving a nucleoside triphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",19
2,DT_score_c45,GO:CC,GO:0005747,"['GO:0005746', 'GO:0045271', 'GO:0098800']",1.359894156348148e-13,"""A protein complex located in the mitochondrial inner membrane that forms part of the mitochondrial respiratory chain. It contains about 25 different polypeptide subunits, including NADH dehydrogenase (ubiquinone), flavin mononucleotide and several different iron-sulfur clusters containing non-heme iron. The iron undergoes oxidation-reduction between Fe(II) and Fe(III), and catalyzes proton translocation linked to the oxidation of NADH by ubiquinone."" [GOC:mtg_sensu, ISBN:0198547684]",11
3,DT_score_c45,GO:CC,GO:0030964,"['GO:0098796', 'GO:1990204']",1.359894156348148e-13,"""An integral membrane complex that possesses NADH oxidoreductase activity. The complex is one of the components of the electron transport chain. It catalyzes the transfer of a pair of electrons from NADH to a quinone."" [GOC:mah]",11
4,DT_score_c45,GO:CC,GO:0045271,"['GO:0030964', 'GO:0098803', 'GO:1902495']",1.359894156348148e-13,"""Respiratory chain complex I is an enzyme of the respiratory chain. It consists of several polypeptide chains and is L-shaped, with a horizontal arm lying in the membrane and a vertical arm that projects into the matrix. The electrons of NADH enter the chain at this complex."" [GOC:imk, GOC:jid, ISBN:0716749556]",11
5,DT_score_c45,GO:BP,GO:0009205,"['GO:0009144', 'GO:0009199']",1.3983775171550918e-13,"""The chemical reactions and pathways involving purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",18
6,DT_score_c45,GO:BP,GO:0009144,['GO:0009141'],2.296504728353266e-13,"""The chemical reactions and pathways involving purine nucleoside triphosphate, a compound consisting of a purine base linked to a ribose or deoxyribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",18
7,DT_score_c45,GO:BP,GO:0009199,['GO:0009141'],2.296504728353266e-13,"""The chemical reactions and pathways involving a ribonucleoside triphosphate, a compound consisting of a nucleobase linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",18
8,DT_score_c45,GO:BP,GO:0046034,"['GO:0009150', 'GO:0009205']",5.185874475352531e-13,"""The chemical reactions and pathways involving ATP, adenosine triphosphate, a universally important coenzyme and enzyme regulator."" [GOC:go_curators]",17
9,DT_score_c45,GO:MF,GO:0016491,['GO:0003824'],7.05138713398195e-13,"""Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."" [GOC:go_curators]",26
10,DT_score_c45,CORUM,CORUM:178,['CORUM:0000000'],1.4364893334092363e-12,"Respiratory chain complex I (holoenzyme), mitochondrial",11
11,DT_score_c45,GO:CC,GO:0098803,"['GO:0070469', 'GO:0098796']",2.545321787071396e-12,"""Any protein complex that is part of a respiratory chain."" [GOC:dos]",12
12,DT_score_c45,GO:BP,GO:0006091,['GO:0044237'],2.7369635768880726e-12,"""The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances."" [GOC:jl]",22
13,DT_score_c45,GO:MF,GO:0008137,"['GO:0009055', 'GO:0015453', 'GO:0050136']",3.1697566025833493e-12,"""Catalysis of the reaction: NADH + ubiquinone + 5 H+(in) = NAD+ + ubiquinol + 4 H+(out)."" [RHEA:29091]",10
14,DT_score_c45,GO:CC,GO:0005746,"['GO:0005743', 'GO:0070469']",3.775676271039608e-12,"""The protein complexes that form the mitochondrial electron transport system (the respiratory chain), associated with the inner mitochondrial membrane. The respiratory chain complexes transfer electrons from an electron donor to an electron acceptor and are associated with a proton pump to create a transmembrane electrochemical gradient."" [GOC:curators, GOC:ecd, ISBN:0198547684]",12
15,DT_score_c45,GO:MF,GO:0050136,"['GO:0003954', 'GO:0003955']",4.14382464289914e-12,"""Catalysis of the reaction: NADH + H+ + a quinone = NAD+ + a quinol."" [EC:1.6.5.11, GOC:mah]",10
16,DT_score_c45,GO:MF,GO:0003954,['GO:0016651'],6.932372126721726e-12,"""Catalysis of the reaction: NADH + H+ + acceptor = NAD+ + reduced acceptor."" [RHEA:11356]",10
