,DT_score_c45,RandomForest_gini,AdaBoost128,LassoLinear,multi_Lasso,SVM,XGboost
DPP9,0.5527131726202511,0.008088782112223927,,,,,
TJP3,0.5527131726202511,0.009884924851195463,,0.03753403348673091,0.020500000525124563,0.0003329793510364013,
P4HB,0.5502489736914161,0.006862491564949039,,,,,
NDUFB9,0.5495317127220078,,,,,,
NDUFC1,0.5487842389748426,,,,,,
NDUFA3,0.5486010146525784,,,,0.05938737715331232,,
NDUFA10,0.5484662629196191,0.003410620079700876,,,0.08836804477568375,,
ACLY,0.5484467307821844,0.006688888648593172,,,,,
FECH,0.5479900505004488,,,,,,
NDUFV1,0.5476149191276108,0.0032512793397417345,,,0.05465212088170953,,
HAO2,0.5466981826695875,,,,,,
NDUFS6,0.5459596849564344,,,,0.0263373479267004,,
PSMD10,0.5457063943205753,0.007332745940154461,,,,,
ACSF2,0.5453759766051497,,,,,,
PLEKHA2,0.5447442499275592,0.005474822631411771,,,,,
FBP1,0.5442036342347605,,,,,,
ACOX1,0.544138636674515,,,,,,
TINAG,0.5441081056750655,,,,0.008866779539292503,,
CD70,0.5437046398072836,,,,,,
SLC22A8,0.5436136367398903,,,,,,
EGFR,0.5435936355671156,0.005575663214074897,,,,,
PFKP,0.5430688878811627,0.008085780887059335,,,0.012813591676934414,,0.43589577
SLC22A6,0.542902400287561,,,,,,
HSD3B7,0.5424436465550295,,,,,,
TAP1,0.5423824691961172,0.0032691726245987675,,,,,
HK2,0.5421150714964718,0.006009209497690019,,,,,
FBP2,0.5420209324475355,,,,,,
IPO9,0.5416081225770973,0.006179317861318308,,,,,
DIAPH1,0.5415269041049598,0.003085274891009863,,,,,
DAO,0.5411456824642515,,,,,,
SLC2A1,0.5409830315774432,,,,,,
SEMA5B,0.5406682738407308,0.004287915292781651,,,,,
CALCRL,0.5399797698817376,,,,,,
SCGN,0.5397594700393631,,,,,,
ICAM1,0.5396039757900162,0.007303055081800709,,,,,
MTARC2,0.5395738184351982,,,,,,
NCEH1,0.5393105001204876,,,,,,
VEGFA,0.5390691608876994,,,,,,
CAV1,0.5387982219371024,0.004798619707651522,,,,,
GRAMD4,0.5382761794221174,,,,,,
HAPLN1,0.5377137645482111,,,,,,
HLA-F,0.537705749881005,,,,,,
RAP2B,0.5373942311658341,,,,,,
PLIN2,0.5373787143329091,,,,,,
CDH16,0.5371555426126923,,,,,,
GBP5,0.5370214176979473,,,,,,
PLEKHA7,0.5369389893554867,,,,,,
PHKB,0.5366698738640445,,,,,,
FTH1,0.5364467033393455,,,,,,
P4HA2,0.5361954972313239,0.0038013542522706153,,,,,
TAPBP,0.5360697067132821,,,,,,
DCTPP1,0.5360145087147412,,,,,,
CYP2J2,0.5359704050027396,,,,,,
NDUFS2,0.5357217992988814,,,,,,
NDUFA4L2,0.5356274402025424,0.008240540552266945,1.0,,,,
NDUFB11,0.5355402737973067,,,,,,
ERO1A,0.5354278943028141,0.0077629489487332694,,,,,
C19orf33,0.5352577143597436,,,,,,
PRR15,0.5348308190295544,,,,,,
GEMIN5,0.534797745008928,,,,,,
SLC12A1,0.5347126479751168,,,,,,
FAF2,0.534580448861713,,,,,,
LRRK2,0.534184874172134,,,,,,
MCM6,0.5341404873771664,,,,,,
FLT1,0.5341015712239916,,,,,,
BPGM,0.5339447792710181,,,,,,
PTGS1,0.5338739092259042,,,,,,
APOL2,0.5337885420904082,,,,,,
LOX,0.5337794741994819,,,,,,
DIAPH2,0.533665345862546,0.0030353204873730354,,,,,
GBP1,0.5335398831183794,,,,,,
HPD,0.5334175894612062,,,,,,
KIF2A,0.5332036942694228,,,,,,
GRB14,0.5330888411664301,,,,,,
RAD23A,0.5330732751448123,,,,,,
ANGPT2,0.5329465140076532,,,,,,
CA9,0.5328952724524255,0.003038068350982097,,,,,
AHNAK2,0.532841079014261,,,,,,
MSRA,0.5328122002091606,,,,,,
BDH2,0.5327660132093939,,,,,,
NT5DC3,0.5327224764817926,,,,,,
AIF1L,0.5326648708575921,0.0068769992304455844,,,0.010265563468254985,,
CDK17,0.5326511566313084,,,,,,
NDUFA2,0.5326505329492364,,,,0.007087913028677469,,
NDUFS3,0.5325860165583434,0.0033375966142618375,,,,,
TJP1,0.5325645302420693,,,,0.0011979224398813329,,
ENPP3,0.5325464637693066,,,,,,
NDUFB4,0.5325353113147571,,,,,,
PM20D2,0.5325140003434845,,,,,,
CD93,0.5324888391714737,,,,,,
HLA-DRA,0.5322716589695663,,,,,,
ALDOC,0.5320911413815175,,,,,,
MGAT1,0.5319814262744545,,,,,,
MID1,0.5316486842588616,,,,,,
