,DT_score_c45,RandomForest_gini,AdaBoost128,LassoLinear,multi_Lasso,SVM,XGboost
0,DPP9,TJP3,NDUFA4L2,TJP3,NDUFA10,LAMC3,NUDCD3
1,TJP3,TRADD,,SMARCC1,CMC1,UMOD,PFKP
2,P4HB,PRDX4,,PRKCZ,GPD1L,ITGB6,RECQL
3,NDUFB9,PLOD3,,UMOD,NDUFA3,MARF1,LLGL2
4,NDUFC1,CMC1,,ERMP1,NDUFS5,SFRP1,
5,NDUFA3,NDUFA4L2,,SFRP1,NDUFV1,NTN4,
6,NDUFA10,DOCK4,,NTN4,QARS1,INPP4B,
7,ACLY,DPP9,,NMNAT1,SPTBN2,SMARCC1,
8,FECH,PFKP,,SAT2,NDUFA4,ARID1B,
9,NDUFV1,PYGL,,LAMC3,NDUFA6,WFDC2,
10,HAO2,PARD3B,,NDUFAF8,GLB1,LAMA2,
11,NDUFS6,ERO1A,,CHP1,LARS2,DCDC2,
12,PSMD10,ANXA4,,ALKBH7,LAD1,CPXM1,
13,ACSF2,NCOR2,,GAK,NDUFA8,SLPI,
14,PLEKHA2,SPTBN2,,ACE,MPP7,RBM6,
15,FBP1,PSMB8,,LGALS3,NDUFS6,NR2F1,
16,ACOX1,PDK1,,CGNL1,NDUFS8,ERMP1,
17,TINAG,PSMD10,,LDLRAP1,GULP1,SHROOM2,
18,CD70,PSMB9,,TEFM,F9,KCP,
19,SLC22A8,ICAM1,,ISCU,RASSF8,TTC9,
20,EGFR,IKBIP,,FAM136A,PAPLN,MFAP4,
21,PFKP,AIF1L,,CTSC,SIAE,EYA3,
22,SLC22A6,P4HB,,TOMM34,KIF13B,ZMIZ1,
23,HSD3B7,ACLY,,TRAPPC9,SFRP1,MACROH2A2,
24,TAP1,LDHA,,FHIT,TJP3,SYNE2,
25,HK2,NUDCD3,,ASAP1,ACOT11,MT2A,
26,FBP2,P4HA1,,MARK3,ADH1C,ZCCHC24,
27,IPO9,GIT2,,PALM3,COL4A3,LASP1,
28,DIAPH1,IPO9,,ITGA4,NDUFS4,SVEP1,
29,DAO,QARS1,,ADK,RBP1,HGF,
30,SLC2A1,HK2,,THSD7A,PLCD1,NPNT,
31,SEMA5B,CNP,,RAB11FIP4,COL4A4,ITIH3,
32,CALCRL,PSMB10,,ITGB6,ACSL4,GRB7,
33,SCGN,NUDT9,,MAP6,NMNAT1,CIAO2A,
