,DT_score_c45,RandomForest_gini,AdaBoost128,LassoLinear,multi_Lasso,SVM,XGboost
TJP3,0.6146624956701046,0.010853431167414948,,0.0015595449729709162,0.025017106321892364,0.00033211136732744424,0.074600056
CMC1,0.6146624956701046,0.008741088239580702,,0.027684536038575062,0.11361279034704576,,
PYGL,0.614208810338326,0.007394672833250698,,,,,0.035916176
NDUFA10,0.6109758608963491,0.004524682022864678,,,0.007784691203648814,,
TMEM243,0.6097453846695471,,,,,,
HAPLN1,0.6085804106135038,,,,,,
NDUFA6,0.6084166259902264,0.0038334710797439356,,,0.027280931300612744,,
TRADD,0.6062879520092427,0.008123431571989585,,,,,
MTARC2,0.6057686767134646,,,,,,
GJB1,0.6052118424218165,,,,,,
EGFR,0.6051607198076264,0.005683583477043435,,,,,
L1CAM,0.6048878687136474,0.00441811849705761,,,,,
METTL26,0.6048874832003871,,,,,,
NCEH1,0.604252172680595,,,,,,
GBP5,0.6039858194489675,,,,,,
NDUFS3,0.6038779497302671,0.0035186668026285345,,,,,
NT5DC3,0.6036332920732014,,,,,,
SLC22A8,0.6035976651969133,,,,,,
PGK2,0.6035630025967433,,,,,,
MGAM,0.6029636410504764,,,,,,
PRDX4,0.6029030984350628,0.009421257560891261,1.0,,,,
NDUFB9,0.6024256655224214,,,,,,
TAPBP,0.6023936576676745,,,,,,
PPIP5K2,0.6023521028263914,,,,,,
ADPRS,0.6021641159388491,,,,,,
FLT1,0.6020242447430904,,,,,,
PLOD2,0.6019957441269812,,,,,,
NNMT,0.6016745993096703,,,,,,
P4HA2,0.6016379189502803,,,,,,
YWHAG,0.6014929438300285,,,,,,
ACLY,0.6012177033354755,0.006261611614000984,,,,,
PHKB,0.6010355349397923,,,,,,
SPATA18,0.6009386964155067,,,,,,
HSD3B7,0.6006056698783551,,,,,,
TMEM87A,0.6002245673544517,,,,,,
CALCRL,0.6001622824539969,,,,,0.0003282581661257287,
NDUFB11,0.5999223334942422,,,,,,
SEMA5B,0.5995873663200932,,,,,,
NDUFA8,0.5995844543191243,0.00512547793995839,,,0.034610845450647985,,
CD70,0.5995540084160494,,,,,,
MICAL3,0.5994454028293007,,,,,,
PPAT,0.5993941242541705,,,,,,
SCGN,0.5993749657761872,,,,,,
GBP1,0.5991438895586093,,,,,,
HPD,0.599035198207799,,,,,,
LPGAT1,0.5988852353603252,,,,,,
P4HB,0.5988187737102845,0.004678009081319891,,,,,
LOX,0.5987076724999456,,,,,,
ADD2,0.5986317443659754,,,,,,
ERO1A,0.5985145847172816,0.007536062211680745,,,,,
SLC2A1,0.5984042728467568,,,,,,
HK2,0.5983945818440445,0.006463509950871516,,,,,
GRAMD4,0.5983129952008169,,,,,,
LGALS3,0.5982036847178142,,,0.005254383244362682,,,
LPCAT1,0.5979151293527845,,,,,,
MYDGF,0.5977320190091681,,,,,,
PLIN2,0.5975905521753373,,,0.0007316854004317987,,,
TBC1D9B,0.5975307074575456,,,,,,
DPEP1,0.5975299707755184,,,,,,
APOL2,0.5974269695100772,,,,,,
GEMIN5,0.5972288272073462,,,,,,
DIAPH2,0.5971982666478063,,,,,,
DIAPH1,0.597195632637409,,,,,,
HLA-F,0.5969643610934742,,,,,,
PFKP,0.596900095815595,0.006774333254355321,,,0.017493582302447387,,0.59062
RIOK2,0.5968054805023283,,,,,,
NDUFB4,0.596671086270484,,,,,,
DCTPP1,0.5964084960589262,,,,,,
VEGFA,0.596261563837418,,,,,,
HLA-DRA,0.5960900272413749,,,,,,
MGAT1,0.5960750830373396,,,,,,
CD93,0.5960003681075616,,,,,,
PRKAR2B,0.5959911099994568,,,0.025632604791953378,0.01025031201909461,0.0003188507493691153,
HSPA13,0.5956794826581946,,,,,,
ANKRD13A,0.5953125687357064,,,,,,
DOCK4,0.5952750697470391,0.006816506798644629,,0.00042552303695841205,0.010146202508267322,,
ITGAX,0.5951863762532346,,,,,,
LRRK2,0.595166066351488,,,,,,
CA9,0.5951191513909065,,,,,,
KIF2A,0.5950506247841324,,,,,,
ANGPT2,0.5950392153625286,,,,,,
TAP1,0.5950144004276584,,,,,,
XPOT,0.5950122509356988,,,,,,
GAPDH,0.5949590405292059,,,,,,
RCN1,0.594927165290017,,,,,,
SLC9A9,0.5949066374532019,,,,,,
PLEKHA2,0.594800593168473,0.005250080051086602,,,,,
FAM114A2,0.59466597355913,,,,,,
ALDOC,0.594631451621114,,,,,,
C19orf33,0.5945980694945553,,,,,,
AAR2,0.5943871581763475,,,,,,
USP2,0.5943663086552377,,,,,,
OAS3,0.5943339828422479,,,,,,
CYP4A11,0.5943120949927782,,,,,,
TXNDC12,0.5942855774472261,,,,,,
UMOD,0.5942469197944392,,,0.014497458029647116,,0.0006142806708718309,
TBC1D2,0.5941760054582524,,,,,,
IFI35,0.5940611532328746,0.003145128388238998,,,,,
IDO1,0.5940360357974719,,,,,,
ERGIC1,0.5939131866482416,,,,,,
DPP9,,0.00870722439169969,,,,,
SPTBN2,,0.008353518363035219,,,0.047956310143199524,,
PARD3B,,0.007943631158978776,,0.003942622965084873,0.01750405368952737,,
AIF1L,,0.007847182983007697,,,0.004627633855967042,,
PSMB9,,0.007776886434840598,,0.012708086106762545,0.01719121556664009,,
PLOD3,,0.007675969811554804,,,,,
PSMB8,,0.007602124873822582,,,,,
PFKFB2,,0.007276644479904519,,,,,
MPP7,,0.007010968021811523,,,0.0012816213677753693,,
CNP,,0.0067443611390502495,,,,,
ANXA4,,0.006641922676655022,,,,,
NDUFS5,,0.00649453234398067,,,0.07218913364225638,,
PDK1,,0.00646554376374345,,,,,
EPB41L5,,0.006356756958266923,,,0.012523835424173152,,
NCOR2,,0.006347518854985053,,,,,
GPD1L,,0.0062817848465292914,,,0.06773936709954656,,
LLGL2,,0.006191077260598577,,,0.022447876982086407,,
GGH,,0.006105514007077872,,,,,
IKBIP,,0.00598610337401674,,,,,
P4HA1,,0.005845537063035015,,,,,
PDHA1,,0.005723143095101556,,,0.0757798947061392,,
NDUFA4,,0.005563271400809785,,,0.023952301322235418,,
IPO9,,0.005548558779619293,,,,,
TPD52L2,,0.005394799195497555,,,,,
PSMD10,,0.005374334839407992,,,0.007100764396423402,,0.11864341
KIF13B,,0.00537269513041358,,,0.01650355566156657,,
NDUFV1,,0.0053036306403246546,,,0.015343055009930934,,
SIAE,,0.005303385046149876,,0.002153844074362478,0.027605800016413655,,
NDUFA3,,0.005282412230396992,,,0.02525518488403218,,
PSMB10,,0.005202083708242378,,,,,
QARS1,,0.005179400487819425,,,0.04433847291543972,0.0003531864113989997,
COX6B1,,0.00510800563121251,,,0.05326459523264908,,
LARS2,,0.005043719815847765,,,0.0168078905733569,,0.15640758
GIT2,,0.005038234396065941,,,0.009097795091655515,,
NUDT9,,0.005026486444407553,,,0.027037454259661912,,
LDHA,,0.004859767512945698,,,,,
NDUFA4L2,,0.004856761185050738,,,,,
COLGALT1,,0.004851579444153495,,,,,
NOL3,,0.004701151017627999,,,,,
SLC16A3,,0.004596359297445368,,,,,
EHBP1L1,,0.004521574010305616,,0.01512862190785721,0.0039190327968186955,,
NUDCD3,,0.004485753341004323,,,,,
NDUFS4,,0.00447804432350034,,,,,
ICAM1,,0.0044695558637733775,,,,,
PLCL1,,0.004463235594062485,,,0.03676133097602783,,
NDUFA12,,0.004383045632138286,,,,,
NMNAT1,,0.004267385391680324,,,0.004905661348608848,,
COL4A4,,0.004265629189568808,,,0.015664031403351604,0.0003223049822875208,0.007921093
ACP3,,0.004233271598739103,,,,,
FHIT,,0.004173081922016935,,,0.01318920151708968,,
SIGIRR,,0.004146292475843624,,,,,
TSR1,,0.0039685516808697805,,,,,
NDUFS7,,0.0039017973536193363,,,0.03523002802120029,,
PAPLN,,0.003900188219571177,,,0.04020153768166325,,
WDR48,,0.0038959802908901486,,,0.014109831031889111,,
NDUFS1,,0.0038239697855152344,,,0.0005276293649898127,,
PKM,,0.003821448284027756,,,0.008882668060436943,,
TNIP1,,0.0037502400266691354,,,,,
SUOX,,0.003710839498878167,,,,,
MT1X,,0.0036855009625915394,,,,,
NDUFS6,,0.0036589954155537576,,,0.033606778740933284,,
COA5,,0.003635720284528683,,,0.013151158225232657,,
ENO2,,0.0035463190741779754,,,,,
AP1M2,,0.0035421535676222185,,,,,
MT1G,,0.003507451544193779,,,,,
CDK18,,0.003506349799737814,,,,,
NDRG1,,0.0034836752506193064,,,0.001987080718250067,,
NDUFA2,,0.0034586353403652246,,,0.00045543980279551553,,
EPB41L1,,0.003394989480988388,,,0.008077657150988415,,
TINAG,,0.003378911865309557,,,0.001842224375376532,,
GLB1,,0.0033371064548881942,,,0.030616477425393914,,
SMYD2,,0.003288581751619655,,,,,
NDUFS8,,0.0032712601202758425,,,0.037662462482242566,,
DHX30,,0.003239310467391717,,,0.010817141987105247,,
LMO7,,0.003211943889168628,,,,,
RIC8A,,0.0031576230890144946,,,,,
TYMP,,0.00308564618412716,,,,,
SH3GLB1,,0.0030149074230049686,,0.0015071486362567038,0.008634615039979214,,
BCR,,0.0030140948569401436,,,,,
FAM169A,,0.0030082585109603376,,,,0.00035443078157663656,
AGMAT,,0.0029923562202515087,,,,,
SMARCC1,,,,0.02282846066030711,,0.0004361376309769924,
YWHAH,,,,0.02192349237126064,,,
PKN1,,,,0.02159962882554657,0.0020401873552846218,,
MAP6,,,,0.021513318480589273,0.010329194432276277,0.00032232616673906863,
PDLIM1,,,,0.02097698905450923,,,
CGNL1,,,,0.020204794573575748,0.003998903237300938,,
CPNE2,,,,0.018941748385612706,,,
ACSL4,,,,0.017222253782935265,0.0013025336636591847,0.00034468704111741003,
NTN4,,,,0.015419163021864513,0.005911211408492269,0.00045868303234417377,
NOL10,,,,0.014602693473430805,,,
GULP1,,,,0.014461291896774192,0.009333675164605763,0.0003316990386182204,
CCND1,,,,0.01279911693736005,,,
RASSF8,,,,0.01235355498886423,,,
RAB25,,,,0.011943889356805699,0.02113336272622289,0.0003310774563649079,
CAMSAP1,,,,0.010496923092559507,,,
LACC1,,,,0.00998835039235763,,,
MAP4K3,,,,0.009976098699663918,0.012236268394240062,,
RP2,,,,0.009645392221760966,,,
ANXA7,,,,0.009282398019992076,,,
NFAT5,,,,0.008921330783275035,,,
NIFK,,,,0.008880188628796606,,,
SFRP1,,,,0.008056287368159372,0.026350582892706965,0.0004874873274766992,
FRAS1,,,,0.007714878916513818,0.0017926862860763771,0.00031822589872490564,
TRAPPC6B,,,,0.006860397722136436,,,
KCP,,,,0.006710776580502124,0.0017569332696261396,0.0003993005896624766,
SMPD1,,,,0.00658028657072929,0.013471332012382434,,
MARS1,,,,0.006254174471256835,,0.0003932431860873359,
PDXP,,,,0.0059660664594169245,,,
VAT1L,,,,0.0057507592063901864,,,
PECAM1,,,,0.00566943586626296,,0.0003194249164772975,
CTNNAL1,,,,0.005515788113286894,,0.0004309480443902997,
LDAF1,,,,0.005501759531639313,,,
TRAF2,,,,0.005464407039602702,,,
TBK1,,,,0.005145233756111123,,,
PTGR1,,,,0.005027602527271617,,,
TMOD3,,,,0.005007831049075292,,,
CAB39,,,,0.004954614009910976,,,
NPC2,,,,0.004598184492139269,,,
ITGB6,,,,0.004590660244453493,,0.0006112022940152309,
LAMC3,,,,0.004274032296759736,,0.0006247706081639988,
S100A2,,,,0.004092711459537911,,,
C1orf116,,,,0.004042278014789956,,0.00035761655355129264,
CTSH,,,,0.003992313176970201,0.004156687006081241,,
GAK,,,,0.003727733123740299,0.0054578269863945865,,
DPY19L1,,,,0.0036799224948210695,,,
SMG9,,,,0.0035170458290046305,,,
DDN,,,,0.0034856978570321643,,,
SOS1,,,,0.0033793137427523055,,,
ADH1A,,,,0.003217226452762946,,,
ITIH3,,,,0.003180582847931624,,,
ADK,,,,0.003101142151238263,,0.0004125636644753094,
MT2A,,,,0.0030516684374226532,,0.0004000993102111774,
ZNF503,,,,0.0028888444113387554,,0.0003265782987248556,
ANKFY1,,,,0.002752429215224887,,,
DTD1,,,,0.0027499705185498177,,,
RAD23A,,,,0.0027381426903408217,,,
SYNGR2,,,,0.0026034485521459786,,,
SNX1,,,,0.0025389558065294143,,,
SLPI,,,,0.0024691910119954774,,0.00042992717901255904,
GFRA1,,,,0.002331430617665054,,0.0003565762402718043,
HCCS,,,,0.0023296898320531163,,,
SCD5,,,,0.0022490961192498226,,,
LAD1,,,,0.002165045433369391,0.011593314357121813,0.00032497641814478875,
SPNS1,,,,0.0018263330075636405,,,
INPP4B,,,,0.0016911014077772458,,0.00043201667796547057,
CD58,,,,0.0014897881550278078,,,
ITPR3,,,,0.0014352663252418577,,,
C6orf132,,,,0.0013733982178174991,,,
KATNAL1,,,,0.001230668805355811,,,
DDX54,,,,0.0011896829341504073,,,
PAPPA,,,,0.0010491615195315812,,,
