,DT_score_c45,RandomForest_gini,AdaBoost128,LassoLinear,multi_Lasso,SVM,XGboost
0,TJP3,TJP3,PRDX4,CMC1,CMC1,LAMC3,PFKP
1,CMC1,PRDX4,,PRKAR2B,PDHA1,UMOD,LARS2
2,PYGL,CMC1,,SMARCC1,NDUFS5,ITGB6,PSMD10
3,NDUFA10,DPP9,,YWHAH,GPD1L,SFRP1,TJP3
4,TMEM243,SPTBN2,,PKN1,COX6B1,NTN4,PYGL
5,HAPLN1,TRADD,,MAP6,SPTBN2,CPXM1,RECQL
6,NDUFA6,PARD3B,,PDLIM1,PALM3,LAMA2,COL4A4
7,TRADD,AIF1L,,CGNL1,QARS1,WFDC2,
8,MTARC2,PSMB9,,CPNE2,PAPLN,SMARCC1,
9,GJB1,PLOD3,,ACSL4,CTSA,INPP4B,
10,EGFR,PSMB8,,NTN4,NDUFS8,CTNNAL1,
11,L1CAM,ERO1A,,EHBP1L1,PLCL1,SLPI,
12,METTL26,PYGL,,NOL10,PLCD1,ARID1B,
13,NCEH1,PFKFB2,,UMOD,NDUFS7,RBM6,
14,GBP5,MPP7,,GULP1,F9,ADK,
15,NDUFS3,DOCK4,,CCND1,NDUFA8,CRISPLD2,
16,NT5DC3,PFKP,,PSMB9,NDUFS6,MACROH2A2,
17,SLC22A8,CNP,,RASSF8,GLB1,MT2A,
18,PGK2,ANXA4,,RAB25,SIAE,KCP,
19,MGAM,NDUFS5,,CAMSAP1,NDUFA6,NR2F1,
20,PRDX4,PDK1,,LACC1,NUDT9,TOP2B,
21,NDUFB9,HK2,,MAP4K3,SFRP1,MARS1,
22,TAPBP,EPB41L5,,RP2,NDUFA3,PTEN,
23,PPIP5K2,NCOR2,,ANXA7,TJP3,DCDC2,
24,ADPRS,GPD1L,,NFAT5,GPX3,LUC7L,
25,FLT1,ACLY,,NIFK,NDUFA4,NAALADL2,
26,PLOD2,LLGL2,,SFRP1,LLGL2,ERMP1,
27,NNMT,GGH,,FRAS1,RAB25,LYPLA2,
28,P4HA2,IKBIP,,TRAPPC6B,PTPN23,PTBP3,
29,YWHAG,P4HA1,,KCP,PARD3B,NPNT,
30,ACLY,PDHA1,,SMPD1,PFKP,TRIM33,
31,PHKB,EGFR,,MARS1,PSMB9,VWA5A,
32,SPATA18,NDUFA4,,PDXP,LARS2,ZNF618,
33,HSD3B7,IPO9,,VAT1L,KIF13B,C1orf116,
34,TMEM87A,TPD52L2,,PECAM1,COL18A1,FBLN5,
35,CALCRL,PSMD10,,CTNNAL1,COL4A4,GFRA1,
36,NDUFB11,KIF13B,,LDAF1,NDUFV1,LASP1,
37,SEMA5B,NDUFV1,,TRAF2,GRB14,MFAP4,
38,NDUFA8,SIAE,,LGALS3,WDR48,FAM169A,
39,CD70,NDUFA3,,TBK1,CLASP2,GALNT3,
40,MICAL3,PLEKHA2,,PTGR1,SMPD1,ZNF185,
41,PPAT,PSMB10,,TMOD3,FHIT,QARS1,
42,SCGN,QARS1,,CAB39,COA5,KLHL14,
43,GBP1,NDUFA8,,NPC2,EPB41L5,SHROOM2,
44,HPD,COX6B1,,ITGB6,GGT5,LUC7L3,
45,LPGAT1,LARS2,,LAMC3,MAP4K3,RAB11FIP4,
46,P4HB,GIT2,,S100A2,GPRC5C,SYNE2,
47,LOX,NUDT9,,C1orf116,LAD1,EYA3,
48,ADD2,LDHA,,CTSH,TRNT1,MUC1,
49,ERO1A,NDUFA4L2,,PARD3B,DHX30,EPS8L1,
50,SLC2A1,COLGALT1,,GAK,CLIC5,GRB7,
51,HK2,NOL3,,DPY19L1,MAP6,ACSL4,
52,GRAMD4,P4HB,,SMG9,PRKAR2B,MOXD1,
53,LGALS3,SLC16A3,,DDN,DOCK4,PTK7,
54,LPCAT1,NDUFA10,,SOS1,CORO2B,DCAF1,
55,MYDGF,EHBP1L1,,ADH1A,STK33,SORT1,
56,PLIN2,NUDCD3,,ITIH3,GULP1,TUBB2B,
57,TBC1D9B,NDUFS4,,ADK,PIP4K2C,SBSPON,
58,DPEP1,ICAM1,,MT2A,SCPEP1,HGF,
59,APOL2,PLCL1,,ZNF503,MAGI2,USP4,
60,GEMIN5,L1CAM,,ANKFY1,GIT2,YY1,
61,DIAPH2,NDUFA12,,DTD1,PKM,PCMTD1,
62,DIAPH1,NMNAT1,,RAD23A,SH3GLB1,COL4A1,
63,HLA-F,COL4A4,,SYNGR2,STRBP,PROM1,
64,PFKP,ACP3,,SNX1,EPB41L1,COL18A1,
65,RIOK2,FHIT,,SLPI,ADH1C,TJP3,
66,NDUFB4,SIGIRR,,GFRA1,EPCAM,GULP1,
67,DCTPP1,TSR1,,HCCS,NDUFA10,RAB25,
68,VEGFA,NDUFS7,,SCD5,PSMD10,F9,
69,HLA-DRA,PAPLN,,LAD1,FGF1,VPS13C,
70,MGAT1,WDR48,,SIAE,NTN4,GRB14,
71,CD93,NDUFA6,,SPNS1,LDLRAP1,CALCRL,
72,PRKAR2B,NDUFS1,,INPP4B,PDHB,UCHL1,
