,DT_score_c45,RandomForest_gini,AdaBoost128,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
0,PDGFRA,PDGFRA,PDGFRA,GUSB,GUSB,GUSB,PDGFRA,PDGFRA
1,S100A2,PLPP1,,COX7A1,COX7A1,FTH1,,TSPAN6
2,KRT13,COX7A1,,PDGFRA,RFTN1,HRC,,CFH
3,SSPN,FTH1,,MAOA,PDGFRA,DDB2,,GCLC
4,DKK4,PDGFRB,,PRXL2C,DNM1,COX7A1,,SARM1
5,TFF3,RFTN1,,ZEB1,PLA2G7,PDGFRA,,DPM1
6,KRT6A,TSHZ3,,FTH1,HIC1,PARM1,,COPZ2
7,CEACAM5,PALM,,ACYP2,HOXA11,ITGA5,,HSPB6
8,GLYATL2,CD248,,PLA2G7,KNG1,MITD1,,FGR
9,BRF2,CDH11,,IGHG2,HAND2,COL4A1,,SCYL3
10,CCDC18,LPAR1,,PARM1,PHLDB1,PRXL2C,,TSPAN9
11,DHCR24,GUSB,,LPAR1,CDH11,PLPP1,,CD99
12,RPTN,ALDH1A2,,GTPBP2,ENPEP,JAM3,,CEACAM7
13,ALDH3A1,ZEB1,,TRPC4AP,MXRA7,TRNAU1AP,,
14,PLEKHS1,RECK,,OLFML2B,RAB3IL1,FTL,,
15,CALML4,MXRA7,,RFTN1,JAM3,TSPO,,
16,DNASE2,MME,,CDK19,PHF2,LPAR1,,
17,GIPC1,CACNA2D1,,GZMA,PALM,SAA1,,
18,CHGA,SIPA1L3,,MCC,AHSG,MCC,,
19,SLPI,RAB3IL1,,TIE1,IGHG2,ANGPT2,,
20,GGH,THY1,,TSPO,ZBTB20,IGHG2,,
21,AKAP6,COL4A1,,CDH13,ARHGAP10,FAP,,
22,KRT17,STX2,,CALHM5,PLPP1,AKAP5,,
23,OVGP1,JAM3,,GNA11,PROCR,NEFM,,
24,GPCPD1,PKM,,MXRA8,ALDH1A2,MAOA,,
25,IL1RN,ENPEP,,ENSG00000284691,MASP1,RFTN1,,
26,MUC5B,FKBP7,,GYPA,PSD3,CDH13,,
27,CSTA,NR2F2,,PTK7,PCDH18,PLEKHJ1,,
28,KRT23,DNASE2,,SLC4A1,CRMP1,PLA2G7,,
29,SERPINB5,PCDH18,,MME,PRXL2C,CEP89,,
30,MZB1,APOA1,,PLPP1,CD248,MME,,
31,SLC27A2,CDC42BPG,,PALM,PLCD1,MSANTD4,,
32,PRXL2C,TBX3,,RAB8B,ISLR,TPST1,,
33,CRABP1,FOXL2,,GUCY1A1,SERPINH1,ZEB1,,
34,POF1B,ZBTB20,,MSANTD4,GTPBP2,EMP3,,
35,KRT16,PHF2,,FAP,H2AC21,F7,,
36,GBP5,GSPT1,,CD248,CD34,GZMA,,
37,SFN,PRNP,,HSD11B2,CRISPLD2,COL4A2,,
38,HAPLN3,MASP1,,ZBTB20,APOA2,HEPH,,
39,FABP4,ARFGEF3,,CYP1B1,ZEB1,GNA11,,
40,IL18,CPN1,,CACNA2D1,PDGFRB,H2AC21,,
41,CAPN13,AKAP6,,TANGO6,MCC,CALHM5,,
42,AQP5,PROCR,,NAGA,RECK,RAB8B,,
43,SERPINI1,PHLDB1,,PLEKHJ1,MAOA,TRPC4AP,,
44,PLBD1,SERPINA7,,GJA1,PRXL2A,LSAMP,,
45,KRT5,LSAMP,,HBG2,TBX3,ALB,,
46,SOX8,CD93,,OSR2,APOM,SSPN,,
47,LY6G6C,OSBPL5,,CD34,GNA11,TMEM205,,
48,NT5C3A,RAB8B,,LTA4H,MME,ALDH1A3,,
49,CHST6,HOXA11,,TRNAU1AP,HSD11B2,GTPBP2,,
50,LAMA1,MRGPRF,,ZNF436,CORO2B,ADAP2,,
51,HSPA4L,ADGRA2,,DMXL1,FTL,OLFML2B,,
52,RIDA,SDHC,,AHSG,LCOR,STX2,,
53,VTCN1,DNM1,,BGN,ANTXR1,FBXL15,,
54,CXCL1,LGALS1,,THY1,F2,P4HA2,,
55,ALPP,ISLR,,CDH11,TPST1,PRF1,,
56,SLC4A1AP,IGHV3OR15-7,,CD81,ENG,CYP1B1,,
57,AGMAT,PGD,,JAM3,MXRA8,FAM43A,,
58,ASNS,INPP5A,,ZNF260,RAB31,ZBTB45,,
59,FCGBP,APOA2,,HSD17B2,NRP1,DDR2,,
60,RNFT2,DPYSL2,,DESI2,TSPO,ENSG00000284691,,
61,PDIA2,GIPC1,,TMBIM1,GLT8D1,PROCR,,
62,GPC4,SERPINF2,,TSPAN9,NR2F2,OSBPL5,,
63,FABP6,MYO6,,COL4A1,PARM1,GPRIN1,,
64,MT4,FTL,,ACTA1,FTH1,KRTCAP2,,
65,KCTD14,APOF,,SAA1,ATXN1,OMD,,
66,KRT75,APOM,,GPRIN1,HOXA10,INPP5A,,
67,PAX8,RCN3,,IGHV3-72,DAB2,FZD8,,
68,GNPNAT1,QKI,,NEFM,LMF2,CACNA2D1,,
69,KLC3,ACYP2,,SLC1A4,IKBIP,MXRA8,,
70,KIF1A,CSNK1A1,,ANTXR1,OSBPL5,SLC1A4,,
71,SPAG1,PON1,,PDGFRB,FKBP7,YJU2B,,
72,TXLNG,CDH13,,ADAP2,HRG,HSD17B2,,
73,ADAMTSL2,PCBP3,,TSHZ3,CDH13,PCDH18,,
74,PRKCI,WT1,,SSPN,IGKV3D-20,S1PR2,,
75,ESF1,HEATR3,,SLC35B2,STEAP4,LTA4H,,
76,THSD1,NRP1,,APOA2,OSR2,CDH11,,
77,GSPT1,AZGP1,,FTL,TMEM205,CD248,,
78,LAD1,A1BG,,PRIMPOL,TSPAN9,ENPEP,,
79,KDM3A,MCC,,RAB3IL1,RAB8B,RAB31,,
80,SMPDL3B,HRG,,MMP10,KRTCAP2,TAF8,,
81,GRB14,COL5A2,,HEPH,HPR,IGHV3OR15-7,,
82,UFC1,PTPRF,,ZSCAN32,ITGA5,LCOR,,
83,TDRKH,KIAA1210,,DDB2,CACNA2D1,IGFALS,,
84,PTRHD1,ADISSP,,TMEM205,TSHZ3,CTDSP1,,
85,CRAT,CCDC88C,,ALDH1A2,CD93,GLA,,
86,GPX2,TSPAN9,,SUPT4H1,CD81,ASL,,
87,HSPE1,NT5C3A,,MARVELD1,COL4A1,SLC35B2,,
88,ALPG,S100A9,,ITGA5,DPYSL2,TMEM35A,,
89,IREB2,DCHS1,,IGLV2-14,GJA1,GJA1,,
90,B4GALT1,GMDS,,MITD1,BASP1,SDC3,,
91,QSOX1,LMF2,,APOM,PTK7,ANTXR1,,
92,LRIG1,NDN,,LCOR,FAP,PHLDB1,,
93,ATP6V1B1,BASP1,,MPC2,ZNF652,COL4A3,,
94,S100A14,ADAMTSL4,,CEBPD,IGFALS,ACYP2,,
95,PITRM1,CORO2B,,RECK,APOA1,ATP6V0C,,
96,ACBD7,AHSG,,ADGRA3,MARVELD1,PCBP3,,
97,LAMC2,SSBP4,,GNAO1,PAEP,GUCY1B1,,
98,VSNL1,CD81,,ADH1B,THY1,GZMB,,
99,BST2,GNA11,,NRP1,CALCRL,CEBPD,,
