,Volcano Plot_p
DKK4,4.311262624112832
S100A2,3.703032215209612
CHGA,3.0132450819873817
KRT6A,2.867799546562098
RPTN,2.8453244276730993
CEACAM5,2.8320040342757102
TFF3,2.808623184323541
AKR1B10,2.6533737165598077
AKAP6,2.639919631494276
AQP5,2.5287938994952133
KRT17,2.4456791444859665
S100A7,2.347224610427436
GPX2,2.3407220435507257
KRT13,2.2839714946594785
S100A8,2.2680308395790214
S100A9,2.2642504619341492
MUC5B,2.233676915031446
GLYATL2,2.1963113174841107
OVGP1,2.163866781230713
AKR1C2,2.1346636135523336
KRT16,2.069109773282727
IGF2BP3,2.0658491804341224
CRABP1,2.0631263085391165
MUC5AC,2.041568408602339
CALML4,2.010522310308824
FABP4,1.994488802446193
KRT23,1.9367268622736942
SLPI,1.8987444484312754
LRRCC1,1.8955605598728613
ALDH3A1,1.850333152671411
RAD51B,1.832648809789561
VTCN1,1.8285051340151661
ALPG,1.8281341557334978
MZB1,1.8178845319867152
LCN2,1.8166524031840423
KRT5,1.8024186358317575
SERPINB5,1.7500919988382493
VSNL1,1.7165421228845417
LZTS1,1.713679121848753
CAMP,1.701896384201293
NAPSA,1.6853926966212203
CLIC6,1.6820505915640551
SERPINB3,1.6814043050194443
PADI2,1.6779092691501245
PLEKHS1,1.660968169261037
FOLR1,1.6584925459629778
BST2,1.6183156138190813
IL1RN,1.6181478172604733
S100A12,1.6164275125673488
PIGR,1.5944868310714237
IL4I1,1.5758469840559721
PDIA2,1.556841236080971
CSTA,1.540353354988856
PRTN3,1.520958397743232
AZU1,1.515516123108913
WIF1,1.4850513718700518
RETN,1.481615650016221
SFN,1.48124015891658
S100A3,1.4469530187714674
ALOX15,1.4446564862548321
SULF1,1.4178606346279792
FCGBP,1.393026659450447
KIFC3,1.3867569491548033
PLBD1,1.3804854371446227
SERPINI1,1.3657651553008432
ALPP,1.3652397717268345
OLFM4,1.3596701159604063
C1orf116,1.3593611031898316
HES1,1.3460051670701008
CHI3L1,1.3455493191651138
POF1B,1.337981935589991
TRIM29,1.336648357172405
MMP9,1.333964020829613
CHST6,1.3291230155468052
MPO,1.3271220146108003
MMP8,1.319498745897219
PGAM2,1.3153746943988072
CHIT1,1.3024694837229625
BPI,1.2918460481742968
HAPLN3,1.2833109962210756
EPPK1,1.2807267093819774
DEFB1,1.271099925975706
MX1,1.2703998621370471
PPP1R14C,1.2418116741906557
GPC4,1.237955730693693
HSPA4L,1.2341069501753876
DHCR24,1.2292362472233584
MT3,1.216462522296191
COL2A1,1.2072790105982358
AOC1,1.205310912244202
LAMC2,1.1948469056462945
KRT14,1.190899234757902
LAD1,1.181977221883938
PPP1R1B,1.1802951374460857
MISP,1.1758980346942303
TACSTD2,1.1755948672103071
CAPN13,1.1741016519761216
A2ML1,1.1705295707592902
GMDS,1.1677086405630868
CLGN,1.1599896106908043
GLDC,1.1598863703492868
SMPDL3B,1.1586561492485798
MSLN,1.1533876915713441
L1CAM,1.1499862709437334
AKR1C1,1.148795394761699
ADAMTSL2,1.1484837690303116
GGH,1.1483272360442263
DMBT1,1.1433385306740833
VWA2,1.1326969062830003
GBP5,1.1301286640866448
RAB11FIP4,1.1298145401709447
STXBP6,1.1108963728925634
IL18,1.1030899130133618
ACBD7,1.0910396682356125
SPINT2,1.0882151702708909
SCD,1.0855472417985599
THSD4,1.0852952241804241
BAIAP2L1,1.0815273926291042
HSD3B7,1.076717093610336
WFDC2,1.0724773496593687
AGMAT,1.0722635610242708
BCAT1,1.0678561108515485
ELANE,1.063425814636334
FIBIN,1.0535163546393882
SMPD3,1.0439781430923467
SLC1A5,1.0416189020758726
S100A14,1.0373298465330005
EVPL,1.0322282895845767
B4GALT1,1.0251898929585546
RDH10,1.0192244721670674
SLC7A5,1.0116032340915802
MST1R,1.0053422938115428
PADI4,1.0042243007618945
ESRP1,1.0024741404421116
CA8,1.0011110058869872
CPLANE1,1.001002903891035
TCEAL7,-1.0010020399300072
TLE4,-1.0017739296115509
ACE,-1.0064577508527475
RAB3IL1,-1.006553333839957
GSN,-1.0099536549867905
CTSK,-1.010705290906983
OSR2,-1.0108127214733085
ITGA1,-1.0114250345429086
TSPO,-1.011586045374122
PCDH18,-1.013257130553894
TBX3,-1.0137529827645755
F10,-1.0149184932623934
KLKB1,-1.0197892915412838
PTGIS,-1.0231029932874702
VCAN,-1.0248937353551564
BST1,-1.0261847488863478
NPR2,-1.031293845068706
DNAAF1,-1.0370722147633915
JAM2,-1.0393120224555812
GPX8,-1.0485186101162347
HOXA11,-1.0491781622093672
CYBRD1,-1.049431995227932
LTBP4,-1.0494448431969587
HPX,-1.049774838266132
IGHV3-72,-1.0561383016206862
PAMR1,-1.0587723142516101
MXRA8,-1.0599943512892829
FKBP7,-1.0654547669406567
CD5L,-1.0670545766404844
SERPINA7,-1.0683556524536424
IRAG1,-1.0685424757040767
PAPLN,-1.0736407392895713
NR2F2,-1.074049155099863
IGHV6-1,-1.0766132839876157
HRG,-1.077990023151335
TMEM35A,-1.0799432369084672
ITGB3,-1.0808544857576592
TSPAN9,-1.0828030126803647
INPP5A,-1.0830358669164584
ZCCHC24,-1.0886156188120013
WNT4,-1.089657613380387
SGCD,-1.0905220731518745
KMO,-1.0921775740701722
EMILIN1,-1.0945257636779728
MCAM,-1.0965204785062022
MCC,-1.0967650932098942
PRXL2C,-1.1003841627894588
ITIH4,-1.1016762793660946
GATA2,-1.1026263635335458
SDC3,-1.1041749237517624
PCOLCE,-1.1051017034479456
COL4A2,-1.1091192905977434
F2,-1.1097361974651938
NES,-1.112546511307598
HOXA10,-1.1139281719807905
IGHV3OR15-7,-1.1143016555985565
APOH,-1.1146200403711355
APOB,-1.1151218040894397
ITIH1,-1.1158435922235441
PHLDB1,-1.1190029809228104
AOC3,-1.1193397323090464
COL5A2,-1.1241233143610847
PROCR,-1.1248277654120689
F12,-1.1248616784481869
MASP1,-1.1307113406221754
LAMA2,-1.1342023738430056
RRAS,-1.1390599839177626
H2AC21,-1.1403142470082077
FAM89A,-1.1414557688903186
AZGP1,-1.1415485195347381
FBN3,-1.1418136030340345
ECM1,-1.1450598094395126
ENG,-1.149551092477918
CPN1,-1.1537250598261644
SERPINF2,-1.1543802862254648
COL4A6,-1.1572926083702055
ZBTB20,-1.159438582881071
AHSG,-1.1604250045064153
SERPINA1,-1.169739743444156
COL3A1,-1.1739576114577408
DPP6,-1.1793149943711516
NCAM1,-1.1884356796168096
AFM,-1.1926770111788514
MRC2,-1.194600393728168
HSD17B2,-1.1948774052232942
CNRIP1,-1.1961524802744996
ECM2,-1.1965491940775153
IGFALS,-1.198690056070501
H1-1,-1.1992925056557906
TSPYL5,-1.1999586402081395
ITIH2,-1.2003877421737013
DNM1,-1.2013576962717083
GC,-1.2030718586454314
FOXL2,-1.2109580947763177
CPXM1,-1.2144534946044694
GJA1,-1.2183660344978935
ISLR,-1.222072079332417
COLEC12,-1.224244239992032
PON1,-1.227242791018193
NRP1,-1.2315897521613388
CORO2B,-1.242316891181533
SERPINA6,-1.248864399471611
KNG1,-1.252856039386385
ALB,-1.2557923710261694
HIC1,-1.2631346623824962
APOD,-1.2635345797173223
HMGN4,-1.267286197038543
APOM,-1.2845162634195701
COL6A3,-1.291078006589207
PAGE4,-1.2991214910674835
WNT2,-1.3041832990942814
APOC3,-1.3061779873754777
ZEB1,-1.306487978490789
COL1A1,-1.3117667485684128
MOXD1,-1.3128381126247128
HAND2,-1.322290203841875
