,MissingValueProcessing,Standarization,FeatureExpansion,Selection,Modeling,train_precision,train_recall,train_f1-score,train_support,train_sensitivity,train_specificity,train_mcc,train_auc,cv_precision,cv_recall,cv_f1-score,cv_support,cv_sensitivity,cv_specificity,cv_mcc,cv_auc,test_precision,test_recall,test_f1-score,test_support,test_sensitivity,test_specificity,test_mcc,test_auc
0,mean,PowerTransformer,PCA * /,ensemble,rbf-SVM,0.7213114754098361,0.6567164179104478,0.6875,67.0,0.6567164179104478,0.746268656716418,0.40461074939050307,0.7625306304299398,0.6777777777777778,0.6142857142857143,0.636835608169941,13.4,0.6142857142857143,0.7164835164835165,0.3355133176026427,0.736094674556213,0.6097560975609756,0.7575757575757576,0.6756756756756757,33.0,0.7575757575757576,0.5151515151515151,0.2811127713994909,0.6455463728191001
1,mean,PowerTransformer,PCA * /,ensemble,RandomForest,0.75,0.7164179104477612,0.7328244274809161,67.0,0.7164179104477612,0.7611940298507462,0.47809144373375745,0.8432835820895522,0.6434052059052059,0.6450549450549451,0.6332690494114299,13.4,0.6450549450549451,0.6417582417582417,0.2971367862477404,0.7283601014370245,0.6341463414634146,0.7878787878787878,0.7027027027027027,33.0,0.7878787878787878,0.5454545454545454,0.34358227615493336,0.7089072543617998
2,mean,PowerTransformer,PCA * /,None,rbf-SVM,1.0,1.0,1.0,67.0,1.0,1.0,1.0,1.0,0.4746606334841629,0.30659340659340656,0.3083076923076923,13.4,0.30659340659340656,0.6648351648351648,-0.006280645920095529,0.4916314454775993,0.5416666666666666,0.3939393939393939,0.45614035087719296,33.0,0.3939393939393939,0.6666666666666666,0.0629940788348712,0.6285583103764922
3,mean,PowerTransformer,PCA * /,None,RandomForest,1.0,1.0,1.0,67.0,1.0,1.0,1.0,1.0,0.5620536468362556,0.6274725274725276,0.5804567594890175,13.4,0.6274725274725276,0.48241758241758237,0.09980762217629069,0.6026204564666102,0.6111111111111112,0.6666666666666666,0.6376811594202899,33.0,0.6666666666666666,0.5757575757575758,0.2434322477800738,0.613406795224977
4,mean,PowerTransformer,None,ensemble,rbf-SVM,0.7213114754098361,0.6567164179104478,0.6875,67.0,0.6567164179104478,0.746268656716418,0.40461074939050307,0.7625306304299398,0.6777777777777778,0.6142857142857143,0.636835608169941,13.4,0.6142857142857143,0.7164835164835165,0.3355133176026427,0.736094674556213,0.6097560975609756,0.7575757575757576,0.6756756756756757,33.0,0.7575757575757576,0.5151515151515151,0.2811127713994909,0.6455463728191001
5,mean,PowerTransformer,None,ensemble,RandomForest,0.75,0.7164179104477612,0.7328244274809161,67.0,0.7164179104477612,0.7611940298507462,0.47809144373375745,0.8432835820895522,0.6434052059052059,0.6450549450549451,0.6332690494114299,13.4,0.6450549450549451,0.6417582417582417,0.2971367862477404,0.7283601014370245,0.6341463414634146,0.7878787878787878,0.7027027027027027,33.0,0.7878787878787878,0.5454545454545454,0.34358227615493336,0.7089072543617998
6,mean,PowerTransformer,None,None,rbf-SVM,1.0,1.0,1.0,67.0,1.0,1.0,1.0,1.0,0.5419047619047619,0.3021978021978022,0.36976689806357327,13.4,0.3021978021978022,0.7164835164835164,0.029780537428149567,0.47836010143702445,0.5555555555555556,0.45454545454545453,0.5,33.0,0.45454545454545453,0.6363636363636364,0.09245003270420485,0.628099173553719
7,mean,PowerTransformer,None,None,RandomForest,1.0,1.0,1.0,67.0,1.0,1.0,1.0,1.0,0.6703030303030303,0.5945054945054945,0.6239411982320529,13.4,0.5945054945054945,0.7032967032967032,0.30368605824925793,0.6741758241758241,0.5789473684210527,0.6666666666666666,0.619718309859155,33.0,0.6666666666666666,0.5151515151515151,0.18394180184548975,0.6483011937557392
8,mean,StandardScaler,PCA * /,ensemble,rbf-SVM,0.7833333333333333,0.7014925373134329,0.7401574803149608,67.0,0.7014925373134329,0.8059701492537313,0.5102551914095146,0.858543105368679,0.6414141414141414,0.6626373626373626,0.6402812241521919,13.4,0.6626373626373626,0.6307692307692307,0.30310409011536443,0.7396449704142013,0.5609756097560976,0.696969696969697,0.6216216216216217,33.0,0.696969696969697,0.45454545454545453,0.15617376188860607,0.6051423324150598
9,mean,StandardScaler,PCA * /,ensemble,RandomForest,0.6704545454545454,0.8805970149253731,0.7612903225806451,67.0,0.8805970149253731,0.5671641791044776,0.47152096009644856,0.8218979728224548,0.7054212454212454,0.7340659340659341,0.7169382341796136,13.4,0.7340659340659341,0.6879120879120879,0.4240871185829933,0.7518596787827556,0.6304347826086957,0.8787878787878788,0.7341772151898734,33.0,0.8787878787878788,0.48484848484848486,0.3956282840374722,0.7199265381083563
