,DT_score_c45,RandomForest_gini,LassoLinear,multi_Lasso,SVM,AdaBoost128,XGboost,Lightgbm
Column512,0.7058205055529978,,,,,,,
Column69,0.7020540599145337,,,,,,,
Column68,0.7017968763936406,,,,,,,
Column26,0.701754568486957,,,,,,,
Column144,0.7017518097739023,,,,,,,
Column294,0.7016785918881695,,,,,,,
Column70,0.7012958591769569,,,,,,,
Column106,0.7012756225015192,,,,,,,
Column374,0.7012439115498391,,,,,,,
Column145,0.7012215014065593,,,,,,,
Column53,,0.01935716090557196,,,,,,
Column1,,0.015619790691788382,0.039428252345451505,0.0224927828132826,,0.109375,,596.0
Column23,,0.015236379062064731,,,,,,
Column41,,0.015176739852713773,,,,,,339.0
Column57,,0.01486171021619814,,,,,,
Column54,,0.01378477019529567,,,,0.2890625,,
Column559,,0.013178958580290338,,,0.0060272716825804555,,,
Column50,,0.013133935890875562,0.021530967807702604,,0.0046203572472040865,,,647.0
Column51,,0.012440639656786124,,,,,,
Column382,,0.012359745286391386,,,,0.1171875,0.026900098,435.0
Column61,,,0.023152235845351015,,,,,
Column44,,,0.02201518524541381,0.01907125317168645,,,,
Column2,,,0.01878695251068545,,0.005069801563904256,0.1015625,,452.0
Column64,,,0.011399117912244754,,,,,
Column3,,,0.00839000277373095,0.006653162814004515,,,,
Column19,,,0.006473810752071216,,,,,
Column489,,,0.003329096032621724,0.006277774109059742,,,,
Column46,,,0.000440064353653025,,,,,
Column47,,,,0.03043597827062025,,,,
Column60,,,,0.024853761650008462,,,,
Column497,,,,0.009472843724035786,,,,
Column45,,,,0.007871193243304256,,0.0859375,,
Column317,,,,0.005736068567206221,,,,
Column48,,,,0.005348165949852202,,,,
Column446,,,,,0.010761286143133358,,,
Column183,,,,,0.010248373965786263,,,
Column143,,,,,0.0074099164696800985,,,
Column146,,,,,0.005456720302501557,,,
Column557,,,,,0.0049075047252322285,,,
Column25,,,,,0.004619375118424545,,,
Column13,,,,,0.004532409201804837,,,
Column24,,,,,,0.0625,,
Column16,,,,,,0.046875,,
Column513,,,,,,0.0390625,0.021584835,
Column539,,,,,,0.03125,,
Column244,,,,,,0.03125,,
Column337,,,,,,,0.05674349,
Column126,,,,,,,0.043730468,
Column469,,,,,,,0.03565327,
Column538,,,,,,,0.02791512,
Column543,,,,,,,0.024220778,
Column560,,,,,,,0.020939201,
Column465,,,,,,,0.020142896,
Column82,,,,,,,0.018276632,
Column103,,,,,,,,514.0
Column42,,,,,,,,354.0
Column295,,,,,,,,351.0
Column130,,,,,,,,343.0
Column452,,,,,,,,340.0
