,DT_score_c45,RandomForest_gini,AdaBoost128,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
CMC1,0.5865405457628673,0.009230822706825608,1.0,,,,,
NDUFV1,0.5865405457628673,0.009540673078966866,,,,,,2.0
LLGL2,0.5865405457628673,0.010386683942444939,,,,,0.13974285,25.0
PFKP,0.5859939747974924,0.006815143642197655,,,0.020911589100373457,0.002810857693438425,0.5635361,24.0
ALDH4A1,0.5815478781212444,,,,0.008222536428874258,0.003051763805190044,,
PLCD1,0.579705210808552,0.005770129887692088,,,,,,
NDUFB9,0.5773503236397052,0.003731898841612139,,,,,,
DPP9,0.5773481433888794,0.005793898268230431,,,,,,
PARD3B,0.577250999989372,0.008791861022706241,,,,,,
CAV1,0.5763888561635839,,,,,,,
LDHA,0.5758697834240014,0.005027843509104844,,0.004364833343508098,0.012163959055282393,0.005525320483176612,,2.0
CSPG4,0.5755518742505236,,,,,,,
NT5DC3,0.5749769398480121,,,,,,,
HAPLN1,0.5747917628231314,,,,,,,
PGK2,0.5745717771417099,,,,,,,1.0
SLC22A8,0.5738846873557065,,,,,,,
LOX,0.5731698802500974,,,,,,,
NCEH1,0.5731101505626812,,,,,,,
NDRG1,0.5726751363737657,,,0.016919006667821073,0.0008115295188967728,0.0027906799581025213,,1.0
ERGIC1,0.5724059363216284,,,,,,,
CDK18,0.5721455632833115,,,,,,,
GBP1,0.5721091457268499,,,,,,,
LIN7C,0.571908487466833,0.00396422824408759,,,,,,
FTH1,0.5716071141009158,,,,,,,
GRAMD4,0.5712878692608555,,,,,,,
SLC2A1,0.5712177238973367,,,,,,,
SCGN,0.5711704724990884,,,,,,,
TPI1,0.5710453049675288,,,,0.00836037363886396,0.004719685588355307,,
NNMT,0.5708688015962261,,,,0.0010268101229441067,0.0023718553078124253,,
ERO1A,0.5707057085893169,0.0036965512143172542,,,,,,
SEMA5B,0.570669428495682,,,,,,,
HPCAL1,0.5700402035861357,,,,,,,2.0
HSD3B7,0.5699396982153622,,,,,,,
NDUFS1,0.5699063489765109,0.005606767324256044,,,,,,8.0
PGK1,0.5696703858305183,,,0.0033950647047112977,0.0048948782328010415,0.005712607020751937,,2.0
ACAD10,0.5696042902363745,0.006016754201342433,,,,,,
SUOX,0.5693246372367589,0.009424031591525207,,,,,,
SLC36A2,0.5692431311533773,,,,,,,
SPATA18,0.5691003178102999,,,,,,,
ANGPT2,0.56905215880285,,,,,,,
C19orf33,0.5688704083667915,,,,,,,
P4HB,0.5685408666435416,,,0.0016921141743801394,0.002087898584603588,0.0026401787467918774,,
HSPA2,0.5683827334842003,,,,,0.0017547990200348883,,
TAP1,0.5682505400631513,,,,,,,
GBP5,0.5682256210640838,,,,,,,
FECH,0.5678338635407406,0.003575013774157267,,,,,,
P4HA2,0.5675269078185032,,,,,,,
PLOD2,0.5675245556464357,,,,,,,
CPNE6,0.567514884515236,,,,,,,
HLA-F,0.5675045432047399,,,,,,,
SIGIRR,0.5673415281807727,0.007514227714996823,,,,,,
CD70,0.5672188892226853,,,,,,,
BPGM,0.5666264187517205,,,,,,,
GFPT1,0.5663103374255558,,,,,,,
PPAT,0.566219155182544,,,,,,,
ALDOC,0.5659493560013422,,,,,,,
LPCAT1,0.5656566736003485,,,,,,,
PLIN2,0.5656349997135589,,,0.006473260231602344,0.0023623324832258976,0.0029690038079480466,,
PNMA2,0.5653649979972779,,,,,,,
RAB42,0.5653614897442645,,,,,,,
ANXA4,0.5650519802720544,,,0.004205586001351894,0.005688570423034234,0.0058366304466294745,,
LARS2,0.5648993795036146,0.005271130728440883,,,,,0.28638825,3.0
PDK1,0.5648460824257933,,,,,,,
GCLM,0.5647735611242113,,,,,,,
PCK2,0.5646409960851032,,,,,,,1.0
CA9,0.5644096256442775,,,,,,,
MGAT1,0.5643502925569123,,,,,,,
BTN3A3,0.5640240095957049,,,,,,,
GYPA,0.5639621159756466,,,,,,,
PFKFB2,0.5638942703619965,0.005972170563171004,,,,,,2.0
ANK1,0.5637492235440474,,,,,,,
MGAM,0.5636209596881979,,,,,,,
GRB10,0.5635766483571659,,,,,,,
GYPC,0.5635373834874638,,,,,,,
EPB41,0.5635126871352819,,,,,,,
GLRX5,0.5634704249008272,,,,,,,
MGLL,0.5632761433809943,,,,,,,
HMOX1,0.5631424196917566,,,,,,,
TAPBP,0.5630674676937577,,,,,,,
S100A2,0.5630194771443118,0.0030705471633370087,,0.000294298083731134,,,,
RFESD,0.5629062948422286,,,,,,,
PLOD1,0.5628577211762161,,,,,,,
GATM,0.5627403132583012,,,,0.0028944093815830253,0.0045569456580792055,,
CALCRL,0.5627364106762578,,,,,,,
RPIA,0.5626410192639104,,,,,,,
PFKL,0.5625834752649503,,,,,,,
COL4A4,0.5625207899257093,0.005792332036059166,,,,,,
IDO1,0.5625206470444325,,,,,,,
ADD2,0.5625087811277928,,,,,,,
ADSS1,0.5623511258053323,,,,,,,
NDUFC1,0.5623203437170126,0.0033002495236466867,,,,,,
CIT,0.5621492070926819,,,,,,,
PRDX4,0.5620392858911428,,,,,,,
GYS1,0.5619671813779165,,,,,,,
FABP6,0.5619528341268287,,,,,,,
CST3,0.5618648117635746,,,,,,,
DDI2,0.5617901494253906,,,,,,,
PGM3,0.5617204692506554,,,,,,,
CYP2J2,0.5616517664313708,,,,,,,
METTL26,0.561593516518757,,,,,,,
SPTBN2,,0.00937294837410147,,,,,,1.0
AIF1L,,0.009103229254051376,,,,,,5.0
GPD1L,,0.009099203479529458,,,,,,
CNP,,0.008757430909765516,,,,,,
GGH,,0.008708157457354494,,,0.014233263077232924,0.002004841730391598,,
PDHA1,,0.008450581162850582,,,,,,2.0
MPP7,,0.008303756988730098,,,,,0.010332765,5.0
