,DT_score_c45,RandomForest_gini,AdaBoost128,LassoLinear,multi_Lasso,SVM,XGboost,Lightgbm
0,DPP9,SUOX,EBNA1BP2,COL18A1,COX6B1,UMOD,WWC3,PFKP
1,IPO9,PWP1,,FBLN5,HADH,HBD,TBXAS1,P4HA2
2,TRADD,TRADD,,HADH,F9,TNC,P4HA2,BNIP3
3,DOCK4,PDK1,,COL14A1,NDUFA4,BGN,TRADD,ITGAL
4,PFKP,DOCK4,,FHL2,LDHB,PGK1,NUDCD3,NDUFA2
5,EGFR,EBNA1BP2,,ALDH6A1,ABAT,FN1,PFDN4,BRIX1
6,NDUFV1,BRIX1,,DSTN,ATP5F1B,KRT19,ITGAL,CNNM3
7,CDK18,IPO9,,LASP1,MYH10,VIM,RRP15,WWC3
8,SPTBN2,SHC1,,ECH1,GPX3,KRT8,PIK3C3,SLC16A3
9,ALDH4A1,DPP9,,NDRG1,UMOD,GAPDH,,LPCAT1
10,SLC22A8,PLOD3,,ASS1,NHERF1,LDHA,,SMYD2
11,LNPK,ITGAX,,ECHDC3,IDH2,S100A6,,DEPTOR
12,NDUFA8,NDUFV1,,MSN,KRT7,PKM,,NDUFA4
13,LRRK2,GGH,,LGALS4,NDRG1,ENO1,,NMT2
14,C19orf33,SPTBN2,,KRT19,PEPD,COL18A1,,IFI35
15,HAPLN1,PFDN4,,UMOD,VCL,ANXA4,,LMBRD2
16,ENPP3,VPS39,,DBI,ASS1,CNDP2,,TRADD
17,NDUFB9,GPD1L,,PDZK1,SUCLG2,FABP7,,RALGAPB
18,MGAM,AIF1L,,S100A6,GGH,PRDX2,,YTHDC2
19,TPI1,CNP,,GAPDH,NDUFA4L2,HSPB1,,IFT57
20,PRPS1,PPAT,,LGALS3,ATP1B1,TAGLN2,,TMEM43
21,STAT2,PYGL,,FN1,PFKP,TPI1,,TSPAN6
22,GFPT1,IFIH1,,UCHL1,GPI,GPX3,,NDUFS1
23,RPIA,ERO1A,,ANXA1,ECHS1,ANXA1,,ATP2B4
24,FTH1,NEK6,,CP,ATP1A1,UCHL1,,WWTR1
25,GBP5,PDHA1,,CAVIN1,ATP5F1A,CRYAB,,NUDCD3
26,HSD3B7,COX6B1,,TAGLN2,SLC4A1,PFKP,,THBS4
27,DDX54,P4HA2,,COX6B1,ADH1C,ASS1,,IFITM3
28,NCEH1,PIK3C3,,GC,TKT,LGALS1,,MARS2
29,HBE1,PPIP5K2,,FGA,TINAGL1,IGHM,,WDR12
30,GCLM,NOP16,,PLIN2,LDHA,KRT18,,NDUFV1
31,PGK1,ACBD6,,PRELP,ALDH6A1,HP,,UBE2V2
32,MCM7,NCOR2,,APOC1,ACLY,NDRG1,,NOP16
33,GBP1,NOL3,,IGHG4,S100A6,FGA,,RELB
34,GOLGA3,NDUFA10,,HBD,MT-CO2,GSTM3,,WNK1
35,SCGN,PFKP,,GSTM3,MIF,APOA4,,ELMO2
36,NT5DC3,NDUFS5,,PGK1,TPI1,PLIN2,,SMIM24
37,ABCC3,RRP1,,IDH1,ACSF2,COL14A1,,PTPN12
38,ITGAL,RIC8A,,APCS,FN1,ALDH1A1,,HK2
39,MICAL3,SLC16A3,,REEP5,ADH1B,LUM,,PPAT
40,SLC2A1,PKN1,,ANXA4,HIBCH,COX6B1,,RPP40
41,NDRG1,HK2,,ALDOB,HBD,F9,,PPP4R1
42,NEFL,LRRK2,,CMBL,UCHL1,SCARF2,,PYGL
43,PLOD3,PSMB9,,ANXA2,BDH2,PIGR,,PFDN4
44,GBP4,NT5DC3,,PRDX2,VIM,TYMP,,SCGN
45,NNMT,KRR1,,BHMT,ALDH4A1,ALDOB,,MEMO1
46,EPB41,NDUFA8,,ACSM2A,ALDH1A1,LDHB,,PPP1R3D
47,PTGR3,PLEKHA2,,FGB,ANXA1,MFAP4,,SFN
