,Volcano Plot_p
NDUFA4L2,3.1992091167492496
NNMT,2.545262564464845
FTL,2.420215543696601
FABP7,2.3890927645918456
PLIN2,2.3284060910126536
FABP6,2.3023846074133067
HBE1,2.271024029862728
SCGN,2.21822342162258
RAB42,2.204855133709634
SEMA5B,2.1524579393719367
FCER1G,2.101643819551051
PLOD2,2.079310449691409
HAPLN1,2.0657736069436075
CA9,2.02057611233466
CD70,2.007811070974083
ENO2,1.9848373957409875
TMEM243,1.982517655713009
COL23A1,1.93281261362718
THBS2,1.9291872254263174
IL32,1.9212934844366938
AHNAK2,1.9092303062698124
SLC16A3,1.902582954590141
SLC2A1,1.8758397130332154
PFKP,1.858186258795977
HK2,1.854611902203338
FTH1,1.8447713196638547
TYROBP,1.8323849714950378
RHAG,1.82444360416902
HAVCR1,1.8050400272357512
NT5DC3,1.7696803664231708
SDS,1.7487722421119463
PYGL,1.7434316970394959
PNMA2,1.7196734965500098
PNCK,1.6743075029002252
TNFAIP6,1.673154865861485
POSTN,1.6714943055549187
SCARB1,1.6705920009391435
LOXL2,1.6678561923930844
NOL3,1.655735560820307
CYP2J2,1.6525205853533456
ANGPTL4,1.6432948624553458
HLA-DQA1,1.628721818953246
ITGAX,1.6241780020698346
SLC4A1,1.615274822287461
CDH4,1.6151127706190693
GYPA,1.6076243952195715
P2RX7,1.5706673680011278
SPTA1,1.5685598782122812
GBP5,1.5674784524808993
ADAMTS7,1.5552572979482087
LOX,1.5442054458023877
LPCAT1,1.536994874844048
FCGR3A,1.5345230484689296
H1-5,1.5332396241830422
MFSD13A,1.5328949954140787
CTHRC1,1.527267649162014
SERPINE1,1.5245289818485876
P4HA1,1.5230244337529801
IGF2BP3,1.520375880353347
INTU,1.5165038191981048
CAV1,1.5148287927569535
IKBIP,1.511075009521766
OMD,1.5100760936510793
P4HA2,1.4980858575649063
ESM1,1.4882189377100623
NEFL,1.487090066474193
SLC2A3,1.4857586963749914
IDO1,1.4733066181594932
TMSB10,1.4723761192638483
TGM2,1.461785290769909
ANXA4,1.4566113094593223
ANGPT2,1.4536704153815623
CYBB,1.4462356172107709
ALOX5,1.4417912341728876
SPTB,1.4391763742833035
SCD,1.4350175243305836
COL21A1,1.4331659352987416
SPATA18,1.4295670799064626
TYMP,1.4255027525001143
MT3,1.4187187032932231
SLC43A3,1.4131536698688751
GBP2,1.411671672364502
ENPP3,1.4064676267306335
EPX,1.3957740446298006
ANK1,1.3920771899613442
VEGFA,1.3768760477637008
LDHA,1.3719423538719893
ARHGAP22,1.3697787551852063
PARVG,1.354756551783133
EPB42,1.3491267346163027
DCLK1,1.344818615695406
C4orf3,1.3425880229147964
GPX8,1.3424823403081434
APBB1IP,1.3390688768320396
HBD,1.337417089086989
HLA-DQB2,1.3370071182404544
MAP3K7CL,1.3347138836897896
EMILIN2,1.3334008396298611
FCGR1A,1.333093670739981
C19orf33,1.3315859998625257
ABCG1,1.3263860007784871
COL3A1,1.3234183700302091
GINS1,1.3224068776871365
CCND1,1.3203018674133564
PDK1,1.3193743184485962
C5AR1,1.3178702182283373
LRRC25,1.3175674543335936
ITGB2,1.3159232282213187
GYS1,1.3158302693310995
GBP1,1.3124326748399286
